,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
15,1.0,1.0,31.80000000000045,0.01245834472452012,1.25,-0.049999999999998934,0.5918621972609568,1.1332685126906121,1749058819,,False,1,f4cb3_00015,2025-06-04_18-40-19,6.670543432235718,6.670543432235718,3792573,cnl-brain9,155.198.99.250,6.670543432235718,1,0.3125,f4cb3_00015
16,1.0,1.0,30.180000000000387,0.01896116613260812,1.25,-0.049999999999998934,0.6199683266665552,1.1027098688908936,1749058822,,False,1,f4cb3_00016,2025-06-04_18-40-22,9.276171684265137,9.276171684265137,3792574,cnl-brain9,155.198.99.250,9.276171684265137,1,0.33,f4cb3_00016
17,1.0,1.0,28.740000000000332,0.012892997014959384,1.25,-0.049999999999998934,0.6412290608039455,1.114553120023202,1749058819,,False,1,f4cb3_00017,2025-06-04_18-40-19,6.441494464874268,6.441494464874268,3792575,cnl-brain9,155.198.99.250,6.441494464874268,1,0.34750000000000003,f4cb3_00017
18,1.0,1.0,27.510000000000286,0.01861189891281745,1.25,-0.049999999999998934,0.6693239222202747,1.0911322983524583,1749058820,,False,1,f4cb3_00018,2025-06-04_18-40-20,7.763203144073486,7.763203144073486,3792580,cnl-brain9,155.198.99.250,7.763203144073486,1,0.36500000000000005,f4cb3_00018
19,1.0,1.0,26.31000000000024,0.023271503449296738,1.0,-0.049999999999998934,0.6954816644123523,1.0735497019758622,1749058818,,False,1,f4cb3_00019,2025-06-04_18-40-18,5.6773717403411865,5.6773717403411865,3792581,cnl-brain9,155.198.99.250,5.6773717403411865,1,0.3825,f4cb3_00019
20,1.0,1.0,25.170000000000197,0.02709296380827464,1.25,0.05000000000000071,0.7214173783960289,1.0601966811850638,1749058818,,False,1,f4cb3_00020,2025-06-04_18-40-18,5.633869409561157,5.633869409561157,3792583,cnl-brain9,155.198.99.250,5.633869409561157,1,0.4,f4cb3_00020
21,1.0,1.0,191.10000000000647,-0.0258887782948789,1.0,-0.049999999999998934,0.2410172038003675,1.3192840727540678,1749058844,,False,1,f4cb3_00021,2025-06-04_18-40-44,31.19076704978943,31.19076704978943,3792584,cnl-brain9,155.198.99.250,31.19076704978943,1,0.05,f4cb3_00021
22,1.0,1.0,141.9000000000046,-0.02303328614792255,1.0,-0.049999999999998934,0.2686183940497111,1.8775912005753772,1749058837,,False,1,f4cb3_00022,2025-06-04_18-40-37,24.08255624771118,24.08255624771118,3792586,cnl-brain9,155.198.99.250,24.08255624771118,1,0.0675,f4cb3_00022
23,1.0,1.0,113.04000000000352,-0.01962922227169006,1.0,-0.049999999999998934,0.2900352427736985,2.015154005441798,1749058834,,False,1,f4cb3_00023,2025-06-04_18-40-34,21.65115976333618,21.65115976333618,3792587,cnl-brain9,155.198.99.250,21.65115976333618,1,0.085,f4cb3_00023
24,1.0,1.0,93.9600000000028,-0.017671213728715163,1.25,-0.049999999999998934,0.3163900617922404,1.9354684134784164,1749058830,,False,1,f4cb3_00024,2025-06-04_18-40-30,16.99059510231018,16.99059510231018,3792588,cnl-brain9,155.198.99.250,16.99059510231018,1,0.10250000000000001,f4cb3_00024
25,1.0,1.0,80.46000000000228,-0.014425485882951783,1.25,-0.049999999999998934,0.3386906659870643,1.778199109119474,1749058829,,False,1,f4cb3_00025,2025-06-04_18-40-29,16.0568790435791,16.0568790435791,3792591,cnl-brain9,155.198.99.250,16.0568790435791,1,0.12000000000000001,f4cb3_00025
26,1.0,1.0,70.4100000000019,-0.0131808329815577,1.25,-0.049999999999998934,0.36029859824677635,1.6617933056087084,1749058826,,False,1,f4cb3_00026,2025-06-04_18-40-26,13.210427284240723,13.210427284240723,3792593,cnl-brain9,155.198.99.250,13.210427284240723,1,0.1375,f4cb3_00026
27,1.0,1.0,62.61000000000161,-0.011456633623013524,1.25,-0.049999999999998934,0.38267532699248274,1.5580130641388878,1749058828,,False,1,f4cb3_00027,2025-06-04_18-40-28,14.818320989608765,14.818320989608765,3792595,cnl-brain9,155.198.99.250,14.818320989608765,1,0.15500000000000003,f4cb3_00027
28,1.0,1.0,56.46000000000138,-0.008974870924978173,1.25,-0.049999999999998934,0.40462800465430737,1.4666600842344426,1749058824,,False,1,f4cb3_00028,2025-06-04_18-40-24,11.623322248458862,11.623322248458862,3792597,cnl-brain9,155.198.99.250,11.623322248458862,1,0.17250000000000001,f4cb3_00028
29,1.0,1.0,51.42000000000119,-0.00363116670212138,1.25,-0.049999999999998934,0.43316851938023015,1.3704945180469184,1749058823,,False,1,f4cb3_00029,2025-06-04_18-40-23,10.626310586929321,10.626310586929321,3792599,cnl-brain9,155.198.99.250,10.626310586929321,1,0.19,f4cb3_00029
30,1.0,1.0,47.22000000000103,-0.0009894026452030857,1.25,-0.049999999999998934,0.45736953695659555,1.3131449150776122,1749058825,,False,1,f4cb3_00030,2025-06-04_18-40-25,12.358967542648315,12.358967542648315,3792600,cnl-brain9,155.198.99.250,12.358967542648315,1,0.20750000000000002,f4cb3_00030
31,1.0,1.0,43.56000000000089,-0.0005782944299785875,1.25,-0.049999999999998934,0.4815174004422489,1.279818588978594,1749058823,,False,1,f4cb3_00031,2025-06-04_18-40-23,10.627047777175903,10.627047777175903,3792601,cnl-brain9,155.198.99.250,10.627047777175903,1,0.22500000000000003,f4cb3_00031
32,1.0,1.0,40.62000000000078,0.0013414518984489199,1.25,-0.049999999999998934,0.503555939490159,1.2434234105475594,1749058821,,False,1,f4cb3_00032,2025-06-04_18-40-21,8.657804012298584,8.657804012298584,3792602,cnl-brain9,155.198.99.250,8.657804012298584,1,0.2425,f4cb3_00032
33,1.0,1.0,37.92000000000068,0.0036767974852227603,1.25,-0.049999999999998934,0.5266492155481415,1.2108390699290557,1749058822,,False,1,f4cb3_00033,2025-06-04_18-40-22,9.585917949676514,9.585917949676514,3792603,cnl-brain9,155.198.99.250,9.585917949676514,1,0.26,f4cb3_00033
34,1.0,1.0,35.64000000000059,0.011412773027485557,1.25,-0.049999999999998934,0.5499425860029401,1.1599394470075621,1749058822,,False,1,f4cb3_00034,2025-06-04_18-40-22,9.478075504302979,9.478075504302979,3792604,cnl-brain9,155.198.99.250,9.478075504302979,1,0.2775,f4cb3_00034
35,1.0,1.0,33.60000000000051,0.009474188667306649,1.5,-0.049999999999998934,0.5705815155587919,1.1553563831290163,1749058823,,False,1,f4cb3_00035,2025-06-04_18-40-23,9.78228235244751,9.78228235244751,3792605,cnl-brain9,155.198.99.250,9.78228235244751,1,0.29500000000000004,f4cb3_00035
36,1.0,1.0,31.86000000000045,0.011908723976117308,1.25,-0.049999999999998934,0.591627083217495,1.1352334163785978,1749058823,,False,1,f4cb3_00036,2025-06-04_18-40-23,10.108307123184204,10.108307123184204,3792606,cnl-brain9,155.198.99.250,10.108307123184204,1,0.3125,f4cb3_00036
37,1.0,1.0,30.27000000000039,0.015841340011587768,1.25,-0.049999999999998934,0.6180935141257802,1.1129010530702426,1749058820,,False,1,f4cb3_00037,2025-06-04_18-40-20,7.390308380126953,7.390308380126953,3792607,cnl-brain9,155.198.99.250,7.390308380126953,1,0.33,f4cb3_00037
38,1.0,1.0,28.830000000000336,0.014043831371531201,1.25,-0.049999999999998934,0.6418246886619579,1.1110222684807103,1749058819,,False,1,f4cb3_00038,2025-06-04_18-40-19,6.563984632492065,6.563984632492065,3792608,cnl-brain9,155.198.99.250,6.563984632492065,1,0.34750000000000003,f4cb3_00038
39,1.0,1.0,27.450000000000284,0.021786670397560215,1.25,-0.049999999999998934,0.6711785205874987,1.0822353713572253,1749058819,,False,1,f4cb3_00039,2025-06-04_18-40-19,5.971465587615967,5.971465587615967,3792609,cnl-brain9,155.198.99.250,5.971465587615967,1,0.36500000000000005,f4cb3_00039
40,1.0,1.0,26.31000000000024,0.023130728927884814,1.0,-0.049999999999998934,0.6954483946253931,1.0739294742365728,1749058819,,False,1,f4cb3_00040,2025-06-04_18-40-19,6.150696754455566,6.150696754455566,3792610,cnl-brain9,155.198.99.250,6.150696754455566,1,0.3825,f4cb3_00040
41,1.0,1.0,25.2600000000002,0.029978351013395077,1.0,0.05000000000000071,0.7194547249783443,1.053239125136706,1749058819,,False,1,f4cb3_00041,2025-06-04_18-40-19,6.652671813964844,6.652671813964844,3792611,cnl-brain9,155.198.99.250,6.652671813964844,1,0.4,f4cb3_00041
42,1.0,1.0,310.5599999999593,-0.026541744244416243,1.0,-0.049999999999998934,0.24106994227851652,1.3241776445098157,1749058845,,False,1,f4cb3_00042,2025-06-04_18-40-45,31.759198427200317,31.759198427200317,3792612,cnl-brain9,155.198.99.250,31.759198427200317,1,0.05,f4cb3_00042
43,1.0,1.0,141.9300000000046,-0.022822008069717015,1.0,-0.049999999999998934,0.2686207843270969,1.8743440711771708,1749058838,,False,1,f4cb3_00043,2025-06-04_18-40-38,25.17153763771057,25.17153763771057,3792613,cnl-brain9,155.198.99.250,25.17153763771057,1,0.0675,f4cb3_00043
44,1.0,1.0,113.01000000000352,-0.020721713633802263,1.25,-0.049999999999998934,0.2901485394203456,2.0362909005247665,1749058833,,False,1,f4cb3_00044,2025-06-04_18-40-33,19.860790014266968,19.860790014266968,3792614,cnl-brain9,155.198.99.250,19.860790014266968,1,0.085,f4cb3_00044
