,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/object_shift,logdir
84,2.0,2.0,39.42,0.009008557032205378,1.25,-0.049999999999998934,0.48502429722818485,1.1648854281551182,0.8333747094699282,4.450847870624201,1776465972,,False,1,ff302_00084,2026-04-17_23-46-12,30.551130056381226,30.551130056381226,1261003,cnl-brain9,155.198.99.250,30.551130056381226,1,-1.2999999999999998,ff302_00084
85,2.0,2.0,39.48,0.01151108412742774,1.25,-0.049999999999998934,0.46993659417488587,1.1475764869907066,0.8289412866464589,4.435241129003569,1776465970,,False,1,ff302_00085,2026-04-17_23-46-10,29.284372806549072,29.284372806549072,1261091,cnl-brain9,155.198.99.250,29.284372806549072,1,-1.1999999999999997,ff302_00085
86,2.0,2.0,39.51,0.013776552765327743,1.25,-1.1499999999999995,0.48842199868235125,0.7689477327060642,0.8247981702749625,4.418941409013691,1776465972,,False,1,ff302_00086,2026-04-17_23-46-12,30.50783658027649,30.50783658027649,1261021,cnl-brain9,155.198.99.250,30.50783658027649,1,-1.1,ff302_00086
87,2.0,2.0,39.45,0.011392423733865176,1.25,-1.0499999999999994,0.49571345668306765,0.7564087580883215,0.8224299937294165,4.452719700303981,1776465972,,False,1,ff302_00087,2026-04-17_23-46-12,30.50304341316223,30.50304341316223,1261025,cnl-brain9,155.198.99.250,30.50304341316223,1,-1.0,ff302_00087
88,2.0,2.0,39.42,0.011911932837023631,1.25,-0.9499999999999993,0.506760552786242,0.9033825549712344,0.8227086421106579,4.427231314598057,1776465972,,False,1,ff302_00088,2026-04-17_23-46-12,30.28048062324524,30.28048062324524,1261080,cnl-brain9,155.198.99.250,30.28048062324524,1,-0.8999999999999999,ff302_00088
89,2.0,2.0,39.48,0.01379997726999127,1.25,-0.8499999999999992,0.5320155491352749,1.0539381288386933,0.8270671647886929,4.469138887903116,1776465972,,False,1,ff302_00089,2026-04-17_23-46-12,30.364428997039795,30.364428997039795,1261119,cnl-brain9,155.198.99.250,30.364428997039795,1,-0.7999999999999998,ff302_00089
90,2.0,2.0,39.42,0.009016956485765615,1.25,-0.7499999999999991,1.1586370921079436,0.967901919186273,0.8380134178966983,4.450137972209059,1776465971,,False,1,ff302_00090,2026-04-17_23-46-11,30.267860174179077,30.267860174179077,1261154,cnl-brain9,155.198.99.250,30.267860174179077,1,-0.6999999999999997,ff302_00090
91,2.0,2.0,39.51,0.007740029317407693,1.25,-0.5499999999999994,1.0411012130260504,0.8712125915977468,0.8571960954766179,4.544819263388955,1776465972,,False,1,ff302_00091,2026-04-17_23-46-12,30.309874296188354,30.309874296188354,1261147,cnl-brain9,155.198.99.250,30.309874296188354,1,-0.6000000000000001,ff302_00091
92,2.0,2.0,39.48,0.009474357328818517,1.5,-0.4499999999999993,0.9395444551173169,0.8060109462206931,0.8819997152217874,4.831440898872073,1776465971,,False,1,ff302_00092,2026-04-17_23-46-11,30.023447513580322,30.023447513580322,1261155,cnl-brain9,155.198.99.250,30.023447513580322,1,-0.5,ff302_00092
93,2.0,2.0,39.42,0.009753518074354872,1.25,-0.3499999999999992,0.8197554000266885,0.9004327882424173,0.9192992043926567,5.533778170848513,1776465972,,False,1,ff302_00093,2026-04-17_23-46-12,30.476564168930054,30.476564168930054,1261176,cnl-brain9,155.198.99.250,30.476564168930054,1,-0.3999999999999999,ff302_00093
94,2.0,2.0,39.51,0.012721582176863588,1.25,-0.2499999999999991,0.7167819563917419,0.8863024951299106,0.9597313917972862,6.173112183537129,1776465972,,False,1,ff302_00094,2026-04-17_23-46-12,30.110759019851685,30.110759019851685,1261163,cnl-brain9,155.198.99.250,30.110759019851685,1,-0.2999999999999998,ff302_00094
95,1.0,1.0,39.51,0.012495023700702212,1.25,-0.049999999999998934,0.514538946211367,1.215148616498284,0.801690249566388,4.491227210439247,1776465972,,False,1,ff302_00095,2026-04-17_23-46-12,30.455615043640137,30.455615043640137,1261159,cnl-brain9,155.198.99.250,30.455615043640137,1,-0.19999999999999973,ff302_00095
96,1.0,1.0,39.45,0.012136196558293566,1.25,-0.049999999999998934,0.5144170561308039,1.216985396688741,0.8016902673681534,4.572168474251321,1776465987,,False,1,ff302_00096,2026-04-17_23-46-27,29.67290449142456,29.67290449142456,1262946,cnl-brain9,155.198.99.250,29.67290449142456,1,-0.10000000000000009,ff302_00096
97,1.0,1.0,39.45,0.01436274148681882,1.25,-0.049999999999998934,0.5151981858201937,1.205637679313479,0.801690279713878,4.504367925220398,1776465984,,False,1,ff302_00097,2026-04-17_23-46-24,15.364900350570679,15.364900350570679,1263099,cnl-brain9,155.198.99.250,15.364900350570679,1,0.0,ff302_00097
98,1.0,1.0,39.45,0.013856599622124044,1.25,-0.049999999999998934,0.5150173119958148,1.2082087589098502,0.8016902962861545,4.496918884469956,1776465999,,False,1,ff302_00098,2026-04-17_23-46-39,29.32294487953186,29.32294487953186,1263188,cnl-brain9,155.198.99.250,29.32294487953186,1,0.10000000000000009,ff302_00098
99,1.0,1.0,39.36,0.007730409365954483,1.25,-0.049999999999998934,0.5129554640368723,1.2396976742196955,0.8016902708283589,4.445489227003853,1776466000,,False,1,ff302_00099,2026-04-17_23-46-40,29.538464069366455,29.538464069366455,1263192,cnl-brain9,155.198.99.250,29.538464069366455,1,0.20000000000000018,ff302_00099
100,1.0,1.0,39.45,0.013506971045374794,1.25,-0.049999999999998934,0.5148946567804082,1.2099888471454658,0.8016902829086179,4.460637900043553,1776465999,,False,1,ff302_00100,2026-04-17_23-46-39,29.092549085617065,29.092549085617065,1263193,cnl-brain9,155.198.99.250,29.092549085617065,1,0.30000000000000027,ff302_00100
101,2.0,2.0,39.51,0.012763945871210769,1.25,0.05000000000000071,0.8174936495720266,0.7065324240938882,0.9195331691811746,5.481555095818536,1776466000,,False,1,ff302_00101,2026-04-17_23-46-40,29.371858596801758,29.371858596801758,1263189,cnl-brain9,155.198.99.250,29.371858596801758,1,0.3999999999999999,ff302_00101
102,2.0,2.0,39.42,0.009448668705283936,1.25,0.050000000000001155,0.9394132239125468,0.7989967862598178,0.881666535297812,4.8321447809951374,1776465999,,False,1,ff302_00102,2026-04-17_23-46-39,29.089428186416626,29.089428186416626,1263191,cnl-brain9,155.198.99.250,29.089428186416626,1,0.5000000000000004,ff302_00102
103,2.0,2.0,39.51,0.013535807447962345,1.25,0.050000000000001155,1.0524109996981315,0.8834020297834498,0.8553201913865307,4.456804496504751,1776466000,,False,1,ff302_00103,2026-04-17_23-46-40,29.362927436828613,29.362927436828613,1263194,cnl-brain9,155.198.99.250,29.362927436828613,1,0.6000000000000001,ff302_00103
104,2.0,2.0,39.45,0.010646648150288485,1.25,-0.04999999999999849,1.1717110835842264,0.9930287797301277,0.8361737062935206,4.349334738193817,1776466001,,False,1,ff302_00104,2026-04-17_23-46-41,28.874733448028564,28.874733448028564,1263820,cnl-brain9,155.198.99.250,28.874733448028564,1,0.6999999999999997,ff302_00104
105,2.0,2.0,39.48,0.012235301245153263,1.25,-0.04999999999999938,0.5279215863354203,1.0724612490901986,0.8264747612620786,4.41344217397017,1776466001,,False,1,ff302_00105,2026-04-17_23-46-41,29.164344310760498,29.164344310760498,1263822,cnl-brain9,155.198.99.250,29.164344310760498,1,0.8000000000000003,ff302_00105
106,2.0,2.0,39.54,0.014135611517317681,1.25,-0.04999999999999938,0.5061395985909742,1.1325309429849042,0.8226396974124127,4.439607223558428,1776466001,,False,1,ff302_00106,2026-04-17_23-46-41,28.912754774093628,28.912754774093628,1263824,cnl-brain9,155.198.99.250,28.912754774093628,1,0.8999999999999999,ff302_00106
107,2.0,2.0,39.45,0.011554779933932835,1.25,-0.04999999999999849,0.492660409250381,1.1992290001887946,0.8225835116899483,4.455057821029603,1776466001,,False,1,ff302_00107,2026-04-17_23-46-41,29.331416130065918,29.331416130065918,1263826,cnl-brain9,155.198.99.250,29.331416130065918,1,1.0000000000000004,ff302_00107
108,2.0,2.0,39.51,0.008527674172264632,1.25,-0.04999999999999849,0.4840201087258129,1.2604254569635847,0.8254156106912598,4.461894548435373,1776466003,,False,1,ff302_00108,2026-04-17_23-46-43,28.7224862575531,28.7224862575531,1264311,cnl-brain9,155.198.99.250,28.7224862575531,1,1.1,ff302_00108
109,2.0,2.0,39.45,0.010192608955581939,1.25,1.1500000000000008,0.47074489605254577,0.7110934345080858,0.8292859948784809,4.4664894153749355,1776466003,,False,1,ff302_00109,2026-04-17_23-46-43,28.914064168930054,28.914064168930054,1264323,cnl-brain9,155.198.99.250,28.914064168930054,1,1.2000000000000006,ff302_00109
110,2.0,2.0,39.54,0.01403367834789826,1.25,1.2500000000000004,0.4900135449559535,0.7052745324448703,0.8341117745355751,4.480802916988187,1776466003,,False,1,ff302_00110,2026-04-17_23-46-43,28.76968502998352,28.76968502998352,1264320,cnl-brain9,155.198.99.250,28.76968502998352,1,1.3000000000000003,ff302_00110
111,2.0,2.0,39.45,0.014705728417397701,1.25,1.350000000000001,0.5056263890332557,0.8814110860977484,0.8391143819205775,4.483975574824851,1776466005,,False,1,ff302_00111,2026-04-17_23-46-45,30.15755343437195,30.15755343437195,1264328,cnl-brain9,155.198.99.250,30.15755343437195,1,1.4,ff302_00111
