,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
21,1.0,1.0,32.01000000000045,0.020260250392022616,1.25,-0.049999999999998934,0.657058318680845,1.0867840105389692,1759200107,,False,1,f9692_00021,2025-09-30_03-41-47,10.857916355133057,10.857916355133057,3988907,cnl-brain9,155.198.99.250,10.857916355133057,1,0.3125,f9692_00021
22,1.0,1.0,30.420000000000396,0.020793070609481212,1.25,0.05000000000000071,0.6582112603260732,1.0955260683795585,1759200106,,False,1,f9692_00022,2025-09-30_03-41-46,9.782028913497925,9.782028913497925,3988908,cnl-brain9,155.198.99.250,9.782028913497925,1,0.325,f9692_00022
23,1.0,1.0,28.65000000000033,0.013170692656328864,1.25,-0.049999999999998934,0.6026715541023164,1.1151095988637447,1759200106,,False,1,f9692_00023,2025-09-30_03-41-46,9.570881366729736,9.570881366729736,3988909,cnl-brain9,155.198.99.250,9.570881366729736,1,0.3375,f9692_00023
24,1.0,1.0,28.14000000000031,0.023284479161941984,1.25,0.05000000000000071,0.7973290970245075,1.0770727810874634,1759200105,,False,1,f9692_00024,2025-09-30_03-41-45,8.449483633041382,8.449483633041382,3988910,cnl-brain9,155.198.99.250,8.449483633041382,1,0.35000000000000003,f9692_00024
25,1.0,1.0,28.290000000000315,0.02589064390880269,1.0,0.05000000000000071,0.6339980187128105,1.0881343543162356,1759200104,,False,1,f9692_00025,2025-09-30_03-41-44,7.657884120941162,7.657884120941162,3988911,cnl-brain9,155.198.99.250,7.657884120941162,1,0.3625,f9692_00025
26,1.0,1.0,27.12000000000027,0.011308808645553281,1.25,-0.049999999999998934,0.5914422083969342,1.1660128916809338,1759200104,,False,1,f9692_00026,2025-09-30_03-41-44,8.167933940887451,8.167933940887451,3988912,cnl-brain9,155.198.99.250,8.167933940887451,1,0.375,f9692_00026
27,1.0,1.0,25.590000000000213,0.030015787799519078,1.25,0.05000000000000071,0.8158296627651334,1.0599509899402917,1759200105,,False,1,f9692_00027,2025-09-30_03-41-45,8.662905216217041,8.662905216217041,3988913,cnl-brain9,155.198.99.250,8.662905216217041,1,0.3875,f9692_00027
28,1.0,1.0,25.47000000000021,0.03914788773914468,1.25,-0.049999999999998934,0.859861159449471,1.056476635776689,1759200105,,False,1,f9692_00028,2025-09-30_03-41-45,8.448882818222046,8.448882818222046,3988914,cnl-brain9,155.198.99.250,8.448882818222046,1,0.4,f9692_00028
29,1.0,1.0,246.57000000000858,-0.021628224102852478,1.0,-0.049999999999998934,0.24980410681243193,1.4124184487983578,1759200138,,False,1,f9692_00029,2025-09-30_03-42-18,41.14302468299866,41.14302468299866,3988915,cnl-brain9,155.198.99.250,41.14302468299866,1,0.05,f9692_00029
30,1.0,1.0,225.60000000000778,-0.01601239484909822,1.25,-0.049999999999998934,0.2893568759794478,1.2268147589363962,1759200133,,False,1,f9692_00030,2025-09-30_03-42-13,36.56811809539795,36.56811809539795,3988916,cnl-brain9,155.198.99.250,36.56811809539795,1,0.0625,f9692_00030
31,1.0,1.0,119.10000000000375,-0.01776044147792266,1.0,-0.049999999999998934,0.29025256560302237,2.5212079237262675,1759200136,,False,1,f9692_00031,2025-09-30_03-42-16,39.18894815444946,39.18894815444946,3988919,cnl-brain9,155.198.99.250,39.18894815444946,1,0.07500000000000001,f9692_00031
32,1.0,1.0,111.96000000000348,-0.009783993934040947,1.0,-0.049999999999998934,0.3763253826037132,1.8081612378544965,1759200132,,False,1,f9692_00032,2025-09-30_03-42-12,35.232826232910156,35.232826232910156,3988918,cnl-brain9,155.198.99.250,35.232826232910156,1,0.08750000000000001,f9692_00032
33,1.0,1.0,90.24000000000265,-0.0012103882276250921,1.25,-0.049999999999998934,0.39814328600958904,2.045410678081871,1759200121,,False,1,f9692_00033,2025-09-30_03-42-01,24.641845226287842,24.641845226287842,3988917,cnl-brain9,155.198.99.250,24.641845226287842,1,0.1,f9692_00033
34,1.0,1.0,87.27000000000254,-0.006230839541755184,1.25,-0.049999999999998934,0.3384905843423085,1.4136170870489675,1759200121,,False,1,f9692_00034,2025-09-30_03-42-01,24.33191990852356,24.33191990852356,3988920,cnl-brain9,155.198.99.250,24.33191990852356,1,0.1125,f9692_00034
35,1.0,1.0,80.10000000000227,-0.012744481382255035,1.25,-0.049999999999998934,0.3402074871157543,1.5706852441801393,1759200122,,False,1,f9692_00035,2025-09-30_03-42-02,25.02708077430725,25.02708077430725,3988921,cnl-brain9,155.198.99.250,25.02708077430725,1,0.125,f9692_00035
36,1.0,1.0,67.56000000000179,-0.016408913351066978,1.25,-0.049999999999998934,0.3371694078720009,1.6583632862852815,1759200116,,False,1,f9692_00036,2025-09-30_03-41-56,19.3116512298584,19.3116512298584,3988922,cnl-brain9,155.198.99.250,19.3116512298584,1,0.1375,f9692_00036
37,1.0,1.0,68.67000000000183,0.0007968970317002722,1.25,-0.049999999999998934,0.39643946023639387,1.5024035184314446,1759200116,,False,1,f9692_00037,2025-09-30_03-41-56,19.16668939590454,19.16668939590454,3988923,cnl-brain9,155.198.99.250,19.16668939590454,1,0.15000000000000002,f9692_00037
38,1.0,1.0,58.710000000001465,-0.0021682139755561103,1.25,-0.049999999999998934,0.41202684265927525,1.3457774026010714,1759200115,,False,1,f9692_00038,2025-09-30_03-41-55,18.8235023021698,18.8235023021698,3988924,cnl-brain9,155.198.99.250,18.8235023021698,1,0.1625,f9692_00038
39,1.0,1.0,49.80000000000113,-0.003368146026601959,1.25,-0.049999999999998934,0.41657039067057156,1.5468684793740815,1759200115,,False,1,f9692_00039,2025-09-30_03-41-55,18.37649941444397,18.37649941444397,3988925,cnl-brain9,155.198.99.250,18.37649941444397,1,0.175,f9692_00039
40,1.0,1.0,52.890000000001244,0.0011553213105934823,1.25,-0.049999999999998934,0.4888104287475947,1.2579312402642295,1759200112,,False,1,f9692_00040,2025-09-30_03-41-52,15.486155271530151,15.486155271530151,3988927,cnl-brain9,155.198.99.250,15.486155271530151,1,0.1875,f9692_00040
41,1.0,1.0,48.660000000001084,0.005453604664813039,1.25,-0.049999999999998934,0.5281012566344048,1.214214199133742,1759200113,,False,1,f9692_00041,2025-09-30_03-41-53,16.74341058731079,16.74341058731079,3988929,cnl-brain9,155.198.99.250,16.74341058731079,1,0.2,f9692_00041
42,1.0,1.0,45.300000000000956,0.0037851120797025573,1.25,-0.049999999999998934,0.4953213919329813,1.2732491958558831,1759200109,,False,1,f9692_00042,2025-09-30_03-41-49,12.453159093856812,12.453159093856812,3988931,cnl-brain9,155.198.99.250,12.453159093856812,1,0.21250000000000002,f9692_00042
