,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
16,1.0,1.0,39.30000000000073,-0.00504064170160623,1.25,-0.049999999999998934,0.4395225569128356,1.2906466496444557,1751978849,,False,1,ac861_00016,2025-07-08_13-47-29,8.826794862747192,8.826794862747192,1538219,cnl-brain9,155.198.99.250,8.826794862747192,1,0.25,ac861_00016
17,1.0,1.0,37.44000000000066,0.013545582678732515,1.25,-0.049999999999998934,0.6617118947293386,1.137077124641327,1751978850,,False,1,ac861_00017,2025-07-08_13-47-30,10.120009899139404,10.120009899139404,1538220,cnl-brain9,155.198.99.250,10.120009899139404,1,0.2625,ac861_00017
18,1.0,1.0,36.21000000000061,0.007898169383135478,1.0,-0.049999999999998934,0.5426937974291768,1.1587114425203602,1751978849,,False,1,ac861_00018,2025-07-08_13-47-29,9.420974731445312,9.420974731445312,1538221,cnl-brain9,155.198.99.250,9.420974731445312,1,0.275,ac861_00018
19,1.0,1.0,34.89000000000056,0.005636665814678032,1.25,-0.049999999999998934,0.5719476666683714,1.20225622931042,1751978849,,False,1,ac861_00019,2025-07-08_13-47-29,9.454636812210083,9.454636812210083,1538222,cnl-brain9,155.198.99.250,9.454636812210083,1,0.28750000000000003,ac861_00019
20,1.0,1.0,32.55000000000047,0.017577922994011175,1.25,-0.049999999999998934,0.6433122025052236,1.1358596012947049,1751978850,,False,1,ac861_00020,2025-07-08_13-47-30,10.539094924926758,10.539094924926758,1538223,cnl-brain9,155.198.99.250,10.539094924926758,1,0.3,ac861_00020
21,1.0,1.0,32.100000000000456,-0.00353567404979227,1.25,-0.049999999999998934,0.4949813236762952,1.1850487475743035,1751978848,,False,1,ac861_00021,2025-07-08_13-47-28,8.022394180297852,8.022394180297852,1538224,cnl-brain9,155.198.99.250,8.022394180297852,1,0.3125,ac861_00021
22,1.0,1.0,30.27000000000039,0.02021109732506776,1.25,0.05000000000000071,0.6655076779213669,1.115528741213408,1751978847,,False,1,ac861_00022,2025-07-08_13-47-27,7.036856174468994,7.036856174468994,1538225,cnl-brain9,155.198.99.250,7.036856174468994,1,0.325,ac861_00022
23,1.0,1.0,28.470000000000322,0.013133728052048266,1.25,-0.049999999999998934,0.6167395283512129,1.1098613868556277,1751978847,,False,1,ac861_00023,2025-07-08_13-47-27,6.890345811843872,6.890345811843872,1538226,cnl-brain9,155.198.99.250,6.890345811843872,1,0.3375,ac861_00023
24,1.0,1.0,30.30000000000039,0.021535703893146962,1.0,-0.049999999999998934,0.6602872096051033,1.1160681687476575,1751978849,,False,1,ac861_00024,2025-07-08_13-47-29,9.370349884033203,9.370349884033203,1538227,cnl-brain9,155.198.99.250,9.370349884033203,1,0.35000000000000003,ac861_00024
25,1.0,1.0,27.180000000000273,0.019095162994135606,1.25,-0.049999999999998934,0.6244892745380275,1.0884989418681836,1751978849,,False,1,ac861_00025,2025-07-08_13-47-29,9.160578966140747,9.160578966140747,1538228,cnl-brain9,155.198.99.250,9.160578966140747,1,0.3625,ac861_00025
