,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/target_moved,logdir
71,2.0,2.0,39.450000000000735,0.007510780135227879,1.25,-0.049999999999998934,0.4939041198146841,1.1808713735550636,1749058939,,False,1,3422b_00071,2025-06-04_18-42-19,19.555463314056396,19.555463314056396,3807293,cnl-brain9,155.198.99.250,19.555463314056396,1,1.0,3422b_00071
72,2.0,2.0,39.39000000000073,0.00357587031979989,1.25,-0.04999999999999849,0.48527158311240726,1.243806809130095,1749058940,,False,1,3422b_00072,2025-06-04_18-42-20,20.527397871017456,20.527397871017456,3807294,cnl-brain9,155.198.99.250,20.527397871017456,1,1.1,3422b_00072
73,2.0,2.0,39.420000000000734,0.0021417801751346666,1.25,-0.049999999999998934,0.4811551845734967,1.2817054858733878,1749058938,,False,1,3422b_00073,2025-06-04_18-42-18,18.490024089813232,18.490024089813232,3807296,cnl-brain9,155.198.99.250,18.490024089813232,1,1.2000000000000002,3422b_00073
74,2.0,2.0,39.420000000000734,0.002194035717037135,1.25,1.2500000000000004,0.4907621322745168,0.7069041672009345,1749058941,,False,1,3422b_00074,2025-06-04_18-42-21,21.651324033737183,21.651324033737183,3807297,cnl-brain9,155.198.99.250,21.651324033737183,1,1.3000000000000003,3422b_00074
75,2.0,2.0,39.39000000000073,0.003961021318048985,1.25,1.3500000000000014,0.5040164185234355,0.9019135187389083,1749058940,,False,1,3422b_00075,2025-06-04_18-42-20,20.56158685684204,20.56158685684204,3807299,cnl-brain9,155.198.99.250,20.56158685684204,1,1.4000000000000004,3422b_00075
76,2.0,2.0,39.480000000000736,0.007048099310341449,1.25,1.450000000000001,0.521983405250996,0.7274677112989973,1749058941,,False,1,3422b_00076,2025-06-04_18-42-21,21.796239376068115,21.796239376068115,3807303,cnl-brain9,155.198.99.250,21.796239376068115,1,1.5,3422b_00076
77,2.0,2.0,39.39000000000073,0.002769554246136785,1.25,1.550000000000002,0.5334292459787546,1.1565822506280068,1749058938,,False,1,3422b_00077,2025-06-04_18-42-18,18.906559705734253,18.906559705734253,3807307,cnl-brain9,155.198.99.250,18.906559705734253,1,1.6,3422b_00077
78,2.0,2.0,39.450000000000735,0.0065002312245643346,1.25,1.6500000000000012,0.539859891635869,0.7490671855517604,1749058942,,False,1,3422b_00078,2025-06-04_18-42-22,22.41544795036316,22.41544795036316,3807308,cnl-brain9,155.198.99.250,22.41544795036316,1,1.7000000000000002,3422b_00078
79,2.0,2.0,39.51000000000074,0.005563174275435401,1.25,1.7500000000000004,0.545195026757729,0.7638663467544482,1749058940,,False,1,3422b_00079,2025-06-04_18-42-20,20.748984575271606,20.748984575271606,3807313,cnl-brain9,155.198.99.250,20.748984575271606,1,1.8000000000000003,3422b_00079
80,2.0,2.0,39.36000000000073,0.002792153504531214,1.25,1.8500000000000014,0.5483847187352291,0.7780774601526378,1749058939,,False,1,3422b_00080,2025-06-04_18-42-19,19.525243759155273,19.525243759155273,3807315,cnl-brain9,155.198.99.250,19.525243759155273,1,1.9000000000000004,3422b_00080
81,2.0,2.0,39.450000000000735,0.007425751735617769,1.25,1.950000000000001,0.5504053403286431,0.7692974243080485,1749058939,,False,1,3422b_00081,2025-06-04_18-42-19,19.423234224319458,19.423234224319458,3807318,cnl-brain9,155.198.99.250,19.423234224319458,1,2.0,3422b_00081
82,2.0,2.0,39.39000000000073,0.00316455384183012,1.25,-0.049999999999998934,0.5498771053981684,1.2047807429789115,1749058940,,False,1,3422b_00082,2025-06-04_18-42-20,19.977662563323975,19.977662563323975,3807322,cnl-brain9,155.198.99.250,19.977662563323975,1,-2.0,3422b_00082
83,2.0,2.0,39.420000000000734,0.00672180923967991,1.25,-0.049999999999998934,0.5497511547745484,1.1814078190023878,1749058941,,False,1,3422b_00083,2025-06-04_18-42-21,21.79568886756897,21.79568886756897,3807328,cnl-brain9,155.198.99.250,21.79568886756897,1,-1.9,3422b_00083
84,2.0,2.0,39.450000000000735,0.007090946306196333,1.25,-0.049999999999998934,0.5462666081345313,1.1733948272525234,1749058938,,False,1,3422b_00084,2025-06-04_18-42-18,18.34477686882019,18.34477686882019,3807329,cnl-brain9,155.198.99.250,18.34477686882019,1,-1.8,3422b_00084
85,2.0,2.0,39.36000000000073,0.0007518779070014858,1.25,-0.049999999999998934,0.5374238133388274,1.1989230063256904,1749058938,,False,1,3422b_00085,2025-06-04_18-42-18,17.94235587120056,17.94235587120056,3807334,cnl-brain9,155.198.99.250,17.94235587120056,1,-1.7,3422b_00085
86,2.0,2.0,39.450000000000735,0.0062807611671296115,1.25,-0.049999999999998934,0.5321593124983139,1.1627590330152664,1749058940,,False,1,3422b_00086,2025-06-04_18-42-20,20.03170680999756,20.03170680999756,3807340,cnl-brain9,155.198.99.250,20.03170680999756,1,-1.6,3422b_00086
87,2.0,2.0,39.420000000000734,0.0012590534214407256,1.25,-0.049999999999998934,0.5188794158092409,1.1809200467262972,1749058941,,False,1,3422b_00087,2025-06-04_18-42-21,21.416919946670532,21.416919946670532,3807347,cnl-brain9,155.198.99.250,21.416919946670532,1,-1.5,3422b_00087
88,2.0,2.0,39.450000000000735,0.0012269126331490021,1.25,-0.049999999999998934,0.5024934674932413,1.1733731704916663,1749058943,,False,1,3422b_00088,2025-06-04_18-42-23,23.27371096611023,23.27371096611023,3807360,cnl-brain9,155.198.99.250,23.27371096611023,1,-1.4,3422b_00088
89,2.0,2.0,39.39000000000073,0.0008112762209671054,1.25,-0.049999999999998934,0.4857253597498432,1.1688598481550017,1749058938,,False,1,3422b_00089,2025-06-04_18-42-18,18.424012184143066,18.424012184143066,3807367,cnl-brain9,155.198.99.250,18.424012184143066,1,-1.2999999999999998,3422b_00089
90,2.0,2.0,39.420000000000734,0.002300229280668642,1.25,-0.049999999999998934,0.4693396090728381,1.1565760204809135,1749058950,,False,1,3422b_00090,2025-06-04_18-42-30,21.501073360443115,21.501073360443115,3807266,cnl-brain9,155.198.99.250,21.501073360443115,1,-1.2,3422b_00090
91,2.0,2.0,39.39000000000073,0.003291810069636192,1.25,-1.1499999999999995,0.48839495922231135,0.7706277759957312,1749058950,,False,1,3422b_00091,2025-06-04_18-42-30,20.817091464996338,20.817091464996338,3807195,cnl-brain9,155.198.99.250,20.817091464996338,1,-1.1,3422b_00091
92,2.0,2.0,39.420000000000734,0.0013227948033698311,1.25,-1.0499999999999994,0.493600976931694,0.7752136237530288,1749058954,,False,1,3422b_00092,2025-06-04_18-42-34,17.898659467697144,17.898659467697144,3807215,cnl-brain9,155.198.99.250,17.898659467697144,1,-1.0,3422b_00092
93,2.0,2.0,39.450000000000735,0.0023338026172381454,1.25,-0.9499999999999993,0.5092366203955971,0.884616716693587,1749058957,,False,1,3422b_00093,2025-06-04_18-42-37,20.190694093704224,20.190694093704224,3807206,cnl-brain9,155.198.99.250,20.190694093704224,1,-0.8999999999999999,3422b_00093
94,2.0,2.0,39.420000000000734,0.0021480640405395768,1.25,-0.8499999999999992,0.5309687414803763,1.065538328819036,1749058959,,False,1,3422b_00094,2025-06-04_18-42-39,21.843720197677612,21.843720197677612,3807071,cnl-brain9,155.198.99.250,21.843720197677612,1,-0.7999999999999998,3422b_00094
95,2.0,2.0,39.450000000000735,0.0066430848960314925,1.25,-0.7499999999999991,1.167002831232403,0.9887306147746233,1749058957,,False,1,3422b_00095,2025-06-04_18-42-37,19.353970289230347,19.353970289230347,3807281,cnl-brain9,155.198.99.250,19.353970289230347,1,-0.7,3422b_00095
