,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/target_shift,logdir
89,2.0,2.0,38.640000000000704,0.015408023829024398,1.25,-0.8499999999999992,0.5919947857853614,1.0047671346627758,1759200199,,False,1,1f7ba_00089,2025-09-30_03-43-19,21.083921909332275,21.083921909332275,3997850,cnl-brain9,155.198.99.250,21.083921909332275,1,-0.7999999999999998,1f7ba_00089
90,2.0,2.0,39.54000000000074,-0.003474670424083559,1.25,-0.7499999999999991,0.5184778630520945,1.0090609426256008,1759200197,,False,1,1f7ba_00090,2025-09-30_03-43-17,18.338617086410522,18.338617086410522,3997835,cnl-brain9,155.198.99.250,18.338617086410522,1,-0.6999999999999997,1f7ba_00090
91,2.0,2.0,39.78000000000075,0.009051422132511089,1.25,-0.6499999999999995,1.0862638827320388,0.6813882967402437,1759200198,,False,1,1f7ba_00091,2025-09-30_03-43-18,19.193147897720337,19.193147897720337,3997834,cnl-brain9,155.198.99.250,19.193147897720337,1,-0.6000000000000001,1f7ba_00091
92,2.0,2.0,39.54000000000074,0.018767182199120658,1.5,-0.5499999999999994,0.8828574376538665,0.542510166118667,1759200200,,False,1,1f7ba_00092,2025-09-30_03-43-20,20.74752640724182,20.74752640724182,3997823,cnl-brain9,155.198.99.250,20.74752640724182,1,-0.5,1f7ba_00092
93,2.0,2.0,38.01000000000068,-0.0011101244216447093,1.25,-0.3499999999999992,0.8366397034227457,0.8467197292374155,1759200200,,False,1,1f7ba_00093,2025-09-30_03-43-20,20.78168272972107,20.78168272972107,3997819,cnl-brain9,155.198.99.250,20.78168272972107,1,-0.3999999999999999,1f7ba_00093
94,2.0,2.0,38.5200000000007,0.004602346428467463,1.25,-0.2499999999999991,0.758547361041138,0.9231699793417281,1759200201,,False,1,1f7ba_00094,2025-09-30_03-43-21,21.347105026245117,21.347105026245117,3997851,cnl-brain9,155.198.99.250,21.347105026245117,1,-0.2999999999999998,1f7ba_00094
95,2.0,2.0,37.56000000000066,0.010742682246502877,1.25,-0.14999999999999902,0.6104125255487856,1.240150913236902,1759200209,,False,1,1f7ba_00095,2025-09-30_03-43-29,23.295438528060913,23.295438528060913,3997844,cnl-brain9,155.198.99.250,23.295438528060913,1,-0.19999999999999973,1f7ba_00095
96,1.0,1.0,40.20000000000076,-0.0018517568537883555,1.25,-0.049999999999998934,0.46064313608505136,1.2463111045273034,1759200219,,False,1,1f7ba_00096,2025-09-30_03-43-39,25.678399562835693,25.678399562835693,3997812,cnl-brain9,155.198.99.250,25.678399562835693,1,-0.10000000000000009,1f7ba_00096
97,1.0,1.0,40.29000000000077,0.0010996523524617885,1.25,-0.049999999999998934,0.4801441584076551,1.243391651595523,1759200208,,False,1,1f7ba_00097,2025-09-30_03-43-28,14.295292139053345,14.295292139053345,3997815,cnl-brain9,155.198.99.250,14.295292139053345,1,0.0,1f7ba_00097
98,1.0,1.0,39.81000000000075,0.0015890713829023184,1.25,-0.049999999999998934,0.4439104954528639,1.1623910543077147,1759200196,,False,1,1f7ba_00098,2025-09-30_03-43-16,19.066102743148804,19.066102743148804,3997837,cnl-brain9,155.198.99.250,19.066102743148804,1,0.10000000000000009,1f7ba_00098
99,1.0,1.0,38.01000000000068,0.008159822998523136,1.0,-0.049999999999998934,0.5253061907357042,1.25764540838736,1759200219,,False,1,1f7ba_00099,2025-09-30_03-43-39,24.489017963409424,24.489017963409424,3997857,cnl-brain9,155.198.99.250,24.489017963409424,1,0.20000000000000018,1f7ba_00099
100,1.0,1.0,41.580000000000815,-0.00020961554207410416,1.25,-0.049999999999998934,0.4920231171212217,1.2347643269235913,1759200221,,False,1,1f7ba_00100,2025-09-30_03-43-41,26.477274417877197,26.477274417877197,3997833,cnl-brain9,155.198.99.250,26.477274417877197,1,0.30000000000000027,1f7ba_00100
101,2.0,2.0,39.720000000000745,0.00016032084589356899,1.25,0.05000000000000071,0.8334204454751388,0.7014926586147714,1759200217,,False,1,1f7ba_00101,2025-09-30_03-43-37,22.25961661338806,22.25961661338806,3997849,cnl-brain9,155.198.99.250,22.25961661338806,1,0.3999999999999999,1f7ba_00101
102,2.0,2.0,41.88000000000083,-0.0026390320102760434,1.25,0.050000000000001155,0.9500225241301585,0.8383948454525015,1759200220,,False,1,1f7ba_00102,2025-09-30_03-43-40,25.421834707260132,25.421834707260132,3997688,cnl-brain9,155.198.99.250,25.421834707260132,1,0.5000000000000004,1f7ba_00102
103,2.0,2.0,41.52000000000081,0.012679486485489111,1.25,0.050000000000001155,1.1434754400215508,0.8519454610438673,1759200194,,False,1,1f7ba_00103,2025-09-30_03-43-14,17.450998544692993,17.450998544692993,3997857,cnl-brain9,155.198.99.250,17.450998544692993,1,0.6000000000000001,1f7ba_00103
104,2.0,2.0,40.47000000000077,0.013849845286372897,1.25,0.050000000000001155,1.2804390318827843,0.9034220174345954,1759200223,,False,1,1f7ba_00104,2025-09-30_03-43-43,27.880956649780273,27.880956649780273,3997859,cnl-brain9,155.198.99.250,27.880956649780273,1,0.6999999999999997,1f7ba_00104
105,2.0,2.0,40.86000000000079,0.006371585480771547,1.25,-0.04999999999999938,0.6351705355965915,1.0111177951135355,1759200220,,False,1,1f7ba_00105,2025-09-30_03-43-40,24.848737478256226,24.848737478256226,3997807,cnl-brain9,155.198.99.250,24.848737478256226,1,0.8000000000000003,1f7ba_00105
106,2.0,2.0,39.93000000000075,0.006095089596482861,1.25,0.850000000000001,0.4139411029957678,1.2920478401490982,1759200217,,False,1,1f7ba_00106,2025-09-30_03-43-37,21.660732984542847,21.660732984542847,3997816,cnl-brain9,155.198.99.250,21.660732984542847,1,0.8999999999999999,1f7ba_00106
107,2.0,2.0,39.78000000000075,0.007171164405592734,1.25,0.9500000000000015,0.4702500453435219,0.7081724035067545,1759200218,,False,1,1f7ba_00107,2025-09-30_03-43-38,22.521698713302612,22.521698713302612,3997832,cnl-brain9,155.198.99.250,22.521698713302612,1,1.0000000000000004,1f7ba_00107
108,2.0,2.0,38.4900000000007,0.010520688717087445,1.25,1.1500000000000017,0.4894638396821396,1.0459633099382168,1759200218,,False,1,1f7ba_00108,2025-09-30_03-43-38,22.9874484539032,22.9874484539032,3997619,cnl-brain9,155.198.99.250,22.9874484539032,1,1.1,1f7ba_00108
109,2.0,2.0,40.98000000000079,-0.00733192040876407,1.25,-0.04999999999999938,0.415533190186943,1.3155466171020347,1759200221,,False,1,1f7ba_00109,2025-09-30_03-43-41,25.547996759414673,25.547996759414673,3997741,cnl-brain9,155.198.99.250,25.547996759414673,1,1.2000000000000006,1f7ba_00109
110,2.0,2.0,40.38000000000077,0.002668268043615196,1.25,-0.04999999999999938,0.5180946333406147,1.4173774085871496,1759200218,,False,1,1f7ba_00110,2025-09-30_03-43-38,22.61961078643799,22.61961078643799,3997854,cnl-brain9,155.198.99.250,22.61961078643799,1,1.3000000000000003,1f7ba_00110
111,2.0,2.0,38.73000000000071,0.0012820686894272626,1.25,1.350000000000001,0.42929425389963516,0.8896548663739919,1759200197,,False,1,1f7ba_00111,2025-09-30_03-43-17,19.85090208053589,19.85090208053589,3997808,cnl-brain9,155.198.99.250,19.85090208053589,1,1.4,1f7ba_00111
112,2.0,2.0,39.36000000000073,-0.005666408754733787,1.25,-0.04999999999999849,0.40496529758076383,1.263846953428081,1759200223,,False,1,1f7ba_00112,2025-09-30_03-43-43,27.108994245529175,27.108994245529175,3997837,cnl-brain9,155.198.99.250,27.108994245529175,1,1.5000000000000004,1f7ba_00112
113,2.0,2.0,37.41000000000066,0.009525959322601807,1.25,1.550000000000002,0.623220496649731,1.1045979100329553,1759200222,,False,1,1f7ba_00113,2025-09-30_03-43-42,25.59713363647461,25.59713363647461,3997806,cnl-brain9,155.198.99.250,25.59713363647461,1,1.6,1f7ba_00113
114,2.0,2.0,42.060000000000834,0.015192029692522091,1.25,1.6500000000000008,0.5670636358436418,0.7276608809427562,1759200221,,False,1,1f7ba_00114,2025-09-30_03-43-41,24.929017782211304,24.929017782211304,3997829,cnl-brain9,155.198.99.250,24.929017782211304,1,1.7000000000000006,1f7ba_00114
115,2.0,2.0,38.670000000000705,0.01636890396595536,1.25,1.7500000000000004,0.6290972624308573,0.7779647525088579,1759200223,,False,1,1f7ba_00115,2025-09-30_03-43-43,27.116823434829712,27.116823434829712,3997724,cnl-brain9,155.198.99.250,27.116823434829712,1,1.8000000000000003,1f7ba_00115
116,2.0,2.0,39.720000000000745,-0.009737084438248722,1.25,-0.04999999999999938,0.3742646239142431,1.6993546189985003,1759200198,,False,1,1f7ba_00116,2025-09-30_03-43-18,20.026483297348022,20.026483297348022,3997810,cnl-brain9,155.198.99.250,20.026483297348022,1,1.9,1f7ba_00116
117,2.0,2.0,40.44000000000077,0.0042546435408934435,1.25,1.9500000000000015,0.517235924660544,0.7832363648057017,1759200221,,False,1,1f7ba_00117,2025-09-30_03-43-41,24.319770574569702,24.319770574569702,3997839,cnl-brain9,155.198.99.250,24.319770574569702,1,2.0000000000000004,1f7ba_00117
118,2.0,2.0,39.93000000000075,0.0176217805455261,1.25,2.050000000000002,0.6296616330017466,1.1603184921248206,1759200220,,False,1,1f7ba_00118,2025-09-30_03-43-40,23.459983587265015,23.459983587265015,3997824,cnl-brain9,155.198.99.250,23.459983587265015,1,2.1,1f7ba_00118
119,2.0,2.0,38.25000000000069,-0.0015843431947937248,1.25,-0.04999999999999938,0.44332290752238546,1.3406722786952625,1759200222,,False,1,1f7ba_00119,2025-09-30_03-43-42,25.26898741722107,25.26898741722107,3997814,cnl-brain9,155.198.99.250,25.26898741722107,1,2.2000000000000006,1f7ba_00119
120,2.0,2.0,37.890000000000676,0.010174373210793952,1.25,2.2500000000000004,0.4354450182866598,0.5524900696046929,1759200219,,False,1,1f7ba_00120,2025-09-30_03-43-39,21.902453422546387,21.902453422546387,3997826,cnl-brain9,155.198.99.250,21.902453422546387,1,2.3000000000000003,1f7ba_00120
