,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/BTSP_lr_fact,config/inhibit_weight,config/regularization_alpha,logdir
486,1,1,4.859999999999984,1.337758678234329,0.010388866346504155,0.08624999999999994,1701366774,,False,1,3fd1b_00486,2023-11-30_17-52-54,1.57523512840271,1.57523512840271,108538,cnl-brain9,155.198.99.250,1.57523512840271,1,33,1.3,0.7,3fd1b_00486
487,1,1,5.0399999999999805,1.3669894418695434,0.007267384729039206,0.08624999999999994,1701366774,,False,1,3fd1b_00487,2023-11-30_17-52-54,2.1686599254608154,2.1686599254608154,108509,cnl-brain9,155.198.99.250,2.1686599254608154,1,32,1.3,0.7,3fd1b_00487
488,1,1,5.07999999999998,1.449300070838603,0.01647627358031345,0.08624999999999994,1701366772,,False,1,3fd1b_00488,2023-11-30_17-52-52,1.5217266082763672,1.5217266082763672,108585,cnl-brain9,155.198.99.250,1.5217266082763672,1,31,1.3,0.7,3fd1b_00488
489,1,1,5.0399999999999805,1.3105922783227053,0.004164224549010331,0.08624999999999994,1701366774,,False,1,3fd1b_00489,2023-11-30_17-52-54,1.8958122730255127,1.8958122730255127,108674,cnl-brain9,155.198.99.250,1.8958122730255127,1,30,1.3,0.7,3fd1b_00489
490,1,1,5.239999999999976,1.4094766037092714,0.010620632608488556,0.08624999999999994,1701366773,,False,1,3fd1b_00490,2023-11-30_17-52-53,1.3413231372833252,1.3413231372833252,108585,cnl-brain9,155.198.99.250,1.3413231372833252,1,34,1.35,0.7,3fd1b_00490
491,1,1,5.199999999999977,1.4492042017921791,0.010806780738647825,0.08624999999999994,1701366774,,False,1,3fd1b_00491,2023-11-30_17-52-54,1.788619041442871,1.788619041442871,108522,cnl-brain9,155.198.99.250,1.788619041442871,1,33,1.35,0.7,3fd1b_00491
492,1,1,5.259999999999976,1.355864121278183,0.009841531269194848,0.08624999999999994,1701366772,,False,1,3fd1b_00492,2023-11-30_17-52-52,1.440981149673462,1.440981149673462,108509,cnl-brain9,155.198.99.250,1.440981149673462,1,32,1.35,0.7,3fd1b_00492
493,1,1,5.259999999999976,1.459501870627784,0.015066228910649904,0.08624999999999994,1701366775,,False,1,3fd1b_00493,2023-11-30_17-52-55,1.861459732055664,1.861459732055664,108250,cnl-brain9,155.198.99.250,1.861459732055664,1,31,1.35,0.7,3fd1b_00493
494,1,1,5.339999999999974,1.5208201457038029,0.02427424892756802,0.08624999999999994,1701366774,,False,1,3fd1b_00494,2023-11-30_17-52-54,1.684697151184082,1.684697151184082,108515,cnl-brain9,155.198.99.250,1.684697151184082,1,30,1.35,0.7,3fd1b_00494
495,1,1,5.379999999999973,1.6185862714504269,0.026946934004558498,0.08624999999999994,1701366774,,False,1,3fd1b_00495,2023-11-30_17-52-54,1.8072974681854248,1.8072974681854248,108635,cnl-brain9,155.198.99.250,1.8072974681854248,1,34,1.4,0.7,3fd1b_00495
496,1,1,7.119999999999936,1.5050401911849334,0.018745245973217695,0.08624999999999994,1701366775,,False,1,3fd1b_00496,2023-11-30_17-52-55,1.926988124847412,1.926988124847412,108503,cnl-brain9,155.198.99.250,1.926988124847412,1,33,1.4,0.7,3fd1b_00496
497,1,1,4.959999999999982,1.2282840610641315,-0.0006991544748479184,0.08624999999999994,1701366773,,False,1,3fd1b_00497,2023-11-30_17-52-53,1.8034570217132568,1.8034570217132568,108505,cnl-brain9,155.198.99.250,1.8034570217132568,1,32,1.4,0.7,3fd1b_00497
498,1,1,5.119999999999979,1.3230722321503874,0.004991748681058894,0.08624999999999994,1701366775,,False,1,3fd1b_00498,2023-11-30_17-52-55,2.216977119445801,2.216977119445801,108529,cnl-brain9,155.198.99.250,2.216977119445801,1,31,1.4,0.7,3fd1b_00498
499,1,1,5.019999999999981,1.5708526785575978,0.029799699921792544,0.08624999999999994,1701366775,,False,1,3fd1b_00499,2023-11-30_17-52-55,1.8148643970489502,1.8148643970489502,108519,cnl-brain9,155.198.99.250,1.8148643970489502,1,30,1.4,0.7,3fd1b_00499
500,1,1,5.119999999999979,1.428969156259452,0.010196852523413624,0.08624999999999994,1701366775,,False,1,3fd1b_00500,2023-11-30_17-52-55,1.931746482849121,1.931746482849121,108617,cnl-brain9,155.198.99.250,1.931746482849121,1,34,1.2,0.5,3fd1b_00500
501,1,1,5.159999999999978,1.4002051608438277,0.013555011554445717,0.08624999999999994,1701366774,,False,1,3fd1b_00501,2023-11-30_17-52-54,1.6219019889831543,1.6219019889831543,108556,cnl-brain9,155.198.99.250,1.6219019889831543,1,33,1.2,0.5,3fd1b_00501
