,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/BTSP_lr_fact,config/inhibit_weight,config/regularization_alpha,logdir
10,1,2,0,1,1,0,5.019999999999981,25.71999999999954,,1.413322243992682,0.9661533850749436,0.9661533850749436,0.027254518169606667,-0.0004971703424313523,,0.08624999999999994,0.023749999999999938,0.023749999999999938,1701705299,,False,1,5c4fa_00010,2023-12-04_15-54-59,20.79264521598816,20.79264521598816,499171,cnl-brain9,155.198.99.250,20.79264521598816,1,20.0,1.2,0.5,5c4fa_00010
11,1,1,0,1,1,0,5.119999999999979,29.879999999999452,,1.212207568927381,0.8707327581916897,0.8707327581916897,0.002989829333521654,-0.01262768630660005,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705304,,False,1,5c4fa_00011,2023-12-04_15-55-04,24.273119688034058,24.273119688034058,499173,cnl-brain9,155.198.99.250,24.273119688034058,1,23.0,1.2,0.5,5c4fa_00011
12,1,1,0,1,1,0,5.499999999999971,23.83999999999958,,1.3694070581053477,0.926492422633891,0.926492422633891,0.015493648805744553,-0.0220592359976034,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705301,,False,1,5c4fa_00012,2023-12-04_15-55-01,21.289772987365723,21.289772987365723,499174,cnl-brain9,155.198.99.250,21.289772987365723,1,26.0,1.2,0.5,5c4fa_00012
13,1,1,0,1,1,0,5.0399999999999805,24.27999999999957,,1.540583786450693,1.0526913159763847,1.0526913159763847,0.023640059544415948,-0.040674092999501754,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705295,,False,1,5c4fa_00013,2023-12-04_15-54-55,14.169774293899536,14.169774293899536,499176,cnl-brain9,155.198.99.250,14.169774293899536,1,29.0,1.2,0.5,5c4fa_00013
14,1,1,0,1,1,0,5.359999999999974,23.699999999999584,,1.5622741341181572,1.0115603329920666,1.0115603329920666,0.01924661778685921,-0.039904203754334344,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705295,,False,1,5c4fa_00014,2023-12-04_15-54-55,17.343873977661133,17.343873977661133,499172,cnl-brain9,155.198.99.250,17.343873977661133,1,32.0,1.2,0.5,5c4fa_00014
15,1,1,0,1,1,0,5.07999999999998,37.02000000000019,,1.1641968318605898,1.206291055317543,1.206291055317543,-0.0018034441099136211,0.01109242902565255,,0.08624999999999994,0.023749999999999938,0.023749999999999938,1701705293,,False,1,5c4fa_00015,2023-12-04_15-54-53,15.454519033432007,15.454519033432007,499175,cnl-brain9,155.198.99.250,15.454519033432007,1,20.0,1.2999999999999998,0.5,5c4fa_00015
16,1,0,0,1,0,0,5.219999999999977,,,1.3209932892508522,1.3209932892508522,1.3209932892508522,0.014648411781665205,,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705298,,False,1,5c4fa_00016,2023-12-04_15-54-58,21.476593255996704,21.476593255996704,499177,cnl-brain9,155.198.99.250,21.476593255996704,1,23.0,1.2999999999999998,0.5,5c4fa_00016
17,1,0,0,1,0,0,5.05999999999998,,,1.2736362178560012,1.2736362178560012,1.2736362178560012,0.008172992815758784,,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705288,,False,1,5c4fa_00017,2023-12-04_15-54-48,14.685486078262329,14.685486078262329,499183,cnl-brain9,155.198.99.250,14.685486078262329,1,26.0,1.2999999999999998,0.5,5c4fa_00017
18,1,1,0,1,1,0,4.859999999999984,37.320000000000235,,1.2524176431273928,0.877076088272045,0.877076088272045,0.0012621260923686428,-0.027279500894376696,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705297,,False,1,5c4fa_00018,2023-12-04_15-54-57,16.375529289245605,16.375529289245605,499178,cnl-brain9,155.198.99.250,16.375529289245605,1,29.0,1.2999999999999998,0.5,5c4fa_00018
19,1,0,1,1,0,1,5.019999999999981,,58.48000000000354,1.3262917854563785,1.3262917854563785,0.9029868635530272,0.006637341696704491,,-0.03123032697792094,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705284,,False,1,5c4fa_00019,2023-12-04_15-54-44,12.30656623840332,12.30656623840332,499179,cnl-brain9,155.198.99.250,12.30656623840332,1,32.0,1.2999999999999998,0.5,5c4fa_00019
