,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
33,1,1,93.51000000000278,1.25,1.5725654059674599,0.04643974127553596,0.046875,1722392133,,False,1,bd2ac_00033,2024-07-31_03-15-33,8.375275373458862,8.375275373458862,54537,cnl-brain10,155.198.100.139,8.375275373458862,1,0.45,250.0,4.5,bd2ac_00033
34,1,1,94.89000000000283,1.5,0.8696655647629753,0.05975898951903247,0.140625,1722392134,,False,1,bd2ac_00034,2024-07-31_03-15-34,8.76624321937561,8.76624321937561,54529,cnl-brain10,155.198.100.139,8.76624321937561,1,0.5,250.0,4.5,bd2ac_00034
35,0,0,,0.0,,,,1722392134,,False,1,bd2ac_00035,2024-07-31_03-15-34,9.455397367477417,9.455397367477417,54536,cnl-brain10,155.198.100.139,9.455397367477417,1,0.3,250.0,4.0,bd2ac_00035
36,0,0,,0.0,,,,1722392134,,False,1,bd2ac_00036,2024-07-31_03-15-34,9.329119682312012,9.329119682312012,54538,cnl-brain10,155.198.100.139,9.329119682312012,1,0.35,250.0,4.0,bd2ac_00036
37,1,1,93.45000000000277,1.25,1.3346246863020519,0.028329165922300836,0.046875,1722392133,,False,1,bd2ac_00037,2024-07-31_03-15-33,8.740748643875122,8.740748643875122,54539,cnl-brain10,155.198.100.139,8.740748643875122,1,0.4,250.0,4.0,bd2ac_00037
38,1,1,92.37000000000273,1.5,1.5158748598989087,0.04783672823959262,0.046875,1722392132,,False,1,bd2ac_00038,2024-07-31_03-15-32,7.723832130432129,7.723832130432129,54540,cnl-brain10,155.198.100.139,7.723832130432129,1,0.45,250.0,4.0,bd2ac_00038
39,1,1,93.45000000000277,1.75,0.8680124980050541,0.06090356311447187,0.140625,1722392133,,False,1,bd2ac_00039,2024-07-31_03-15-33,8.316654682159424,8.316654682159424,54541,cnl-brain10,155.198.100.139,8.316654682159424,1,0.5,250.0,4.0,bd2ac_00039
40,0,0,,0.0,,,,1722392139,,False,1,bd2ac_00040,2024-07-31_03-15-39,7.724290370941162,7.724290370941162,54454,cnl-brain10,155.198.100.139,7.724290370941162,1,0.3,250.0,3.5,bd2ac_00040
41,0,0,,0.0,,,,1722392140,,False,1,bd2ac_00041,2024-07-31_03-15-40,7.989863634109497,7.989863634109497,54434,cnl-brain10,155.198.100.139,7.989863634109497,1,0.35,250.0,3.5,bd2ac_00041
42,1,1,95.25000000000284,1.5,1.4261401185871247,0.0294344771520596,0.046875,1722392141,,False,1,bd2ac_00042,2024-07-31_03-15-41,9.267995834350586,9.267995834350586,54416,cnl-brain10,155.198.100.139,9.267995834350586,1,0.4,250.0,3.5,bd2ac_00042
43,1,1,95.49000000000285,1.75,0.7205863184695207,0.05284405420191063,0.140625,1722392140,,False,1,bd2ac_00043,2024-07-31_03-15-40,7.706126928329468,7.706126928329468,54417,cnl-brain10,155.198.100.139,7.706126928329468,1,0.45,250.0,3.5,bd2ac_00043
44,1,1,92.34000000000273,1.75,0.8778319954063606,0.06234700639934876,0.140625,1722392140,,False,1,bd2ac_00044,2024-07-31_03-15-40,7.746738433837891,7.746738433837891,54249,cnl-brain10,155.198.100.139,7.746738433837891,1,0.5,250.0,3.5,bd2ac_00044
45,0,0,,0.0,,,,1722392141,,False,1,bd2ac_00045,2024-07-31_03-15-41,8.240609645843506,8.240609645843506,54451,cnl-brain10,155.198.100.139,8.240609645843506,1,0.3,250.0,3.0,bd2ac_00045
46,1,1,95.70000000000286,1.5,1.0796150027240292,-0.009545173078227442,0.046875,1722392141,,False,1,bd2ac_00046,2024-07-31_03-15-41,8.963185787200928,8.963185787200928,54540,cnl-brain10,155.198.100.139,8.963185787200928,1,0.35,250.0,3.0,bd2ac_00046
47,1,1,91.23000000000269,2.0,1.3775323449243837,0.03189813273323394,0.046875,1722392142,,False,1,bd2ac_00047,2024-07-31_03-15-42,9.085041522979736,9.085041522979736,54532,cnl-brain10,155.198.100.139,9.085041522979736,1,0.4,250.0,3.0,bd2ac_00047
48,1,1,92.28000000000273,2.25,0.8660273857399692,0.04720876357842485,0.140625,1722392142,,False,1,bd2ac_00048,2024-07-31_03-15-42,9.065179824829102,9.065179824829102,54494,cnl-brain10,155.198.100.139,9.065179824829102,1,0.45,250.0,3.0,bd2ac_00048
49,2,2,95.19000000000284,2.25,0.9132370859723968,0.06776687033178597,0.140625,1722392141,,False,1,bd2ac_00049,2024-07-31_03-15-41,7.718374967575073,7.718374967575073,54284,cnl-brain10,155.198.100.139,7.718374967575073,1,0.5,250.0,3.0,bd2ac_00049
50,0,0,,0.0,,,,1722392141,,False,1,bd2ac_00050,2024-07-31_03-15-41,8.25495958328247,8.25495958328247,54452,cnl-brain10,155.198.100.139,8.25495958328247,1,0.3,250.0,2.5,bd2ac_00050
51,1,1,92.52000000000274,2.0,1.0363704986103364,0.002014888130793535,0.046875,1722392142,,False,1,bd2ac_00051,2024-07-31_03-15-42,9.150803089141846,9.150803089141846,54491,cnl-brain10,155.198.100.139,9.150803089141846,1,0.35,250.0,2.5,bd2ac_00051
52,1,1,94.50000000000281,2.75,1.4305419200425606,0.03411521664425776,0.046875,1722392143,,False,1,bd2ac_00052,2024-07-31_03-15-43,9.807600498199463,9.807600498199463,54535,cnl-brain10,155.198.100.139,9.807600498199463,1,0.4,250.0,2.5,bd2ac_00052
53,1,1,91.6500000000027,3.25,0.869471057846823,0.050048567726377335,0.140625,1722392143,,False,1,bd2ac_00053,2024-07-31_03-15-43,9.824058532714844,9.824058532714844,54541,cnl-brain10,155.198.100.139,9.824058532714844,1,0.45,250.0,2.5,bd2ac_00053
54,1,1,94.62000000000282,3.5,0.9745727589572475,0.064533035395264,0.140625,1722392142,,False,1,bd2ac_00054,2024-07-31_03-15-42,9.194999694824219,9.194999694824219,54537,cnl-brain10,155.198.100.139,9.194999694824219,1,0.5,250.0,2.5,bd2ac_00054
55,0,0,,0.0,,,,1722392142,,False,1,bd2ac_00055,2024-07-31_03-15-42,9.34048843383789,9.34048843383789,54455,cnl-brain10,155.198.100.139,9.34048843383789,1,0.3,250.0,2.0,bd2ac_00055
56,1,1,93.9600000000028,2.5,1.0816652007901018,0.0048157950713969555,0.046875,1722392143,,False,1,bd2ac_00056,2024-07-31_03-15-43,9.514403343200684,9.514403343200684,54528,cnl-brain10,155.198.100.139,9.514403343200684,1,0.35,250.0,2.0,bd2ac_00056
57,1,1,92.61000000000274,3.75,0.8071670849560739,0.030582894440082997,0.140625,1722392142,,False,1,bd2ac_00057,2024-07-31_03-15-42,8.790898323059082,8.790898323059082,54527,cnl-brain10,155.198.100.139,8.790898323059082,1,0.4,250.0,2.0,bd2ac_00057
58,1,1,93.90000000000279,4.5,0.8571266246688538,0.0548424048706484,0.140625,1722392141,,False,1,bd2ac_00058,2024-07-31_03-15-41,8.02918028831482,8.02918028831482,54179,cnl-brain10,155.198.100.139,8.02918028831482,1,0.45,250.0,2.0,bd2ac_00058
59,1,1,91.98000000000272,4.75,0.8292790963197003,0.06762317621317049,0.140625,1722392143,,False,1,bd2ac_00059,2024-07-31_03-15-43,9.233699083328247,9.233699083328247,54539,cnl-brain10,155.198.100.139,9.233699083328247,1,0.5,250.0,2.0,bd2ac_00059
60,0,0,,0.0,,,,1722392143,,False,1,bd2ac_00060,2024-07-31_03-15-43,9.708853244781494,9.708853244781494,54529,cnl-brain10,155.198.100.139,9.708853244781494,1,0.3,300.0,4.5,bd2ac_00060
61,0,0,,0.0,,,,1722392142,,False,1,bd2ac_00061,2024-07-31_03-15-42,8.51892352104187,8.51892352104187,54114,cnl-brain10,155.198.100.139,8.51892352104187,1,0.35,300.0,4.5,bd2ac_00061
62,1,1,95.73000000000286,1.0,1.1951406826799225,0.02246462080154843,0.046875,1722392142,,False,1,bd2ac_00062,2024-07-31_03-15-42,8.859540224075317,8.859540224075317,54533,cnl-brain10,155.198.100.139,8.859540224075317,1,0.4,300.0,4.5,bd2ac_00062
63,1,1,94.95000000000283,1.25,0.7605621820263546,0.04236210119049688,0.140625,1722392141,,False,1,bd2ac_00063,2024-07-31_03-15-41,7.753904342651367,7.753904342651367,54267,cnl-brain10,155.198.100.139,7.753904342651367,1,0.45,300.0,4.5,bd2ac_00063
64,1,1,94.1400000000028,1.25,0.8654247767644314,0.055988492395015355,0.140625,1722392141,,False,1,bd2ac_00064,2024-07-31_03-15-41,7.675997972488403,7.675997972488403,54473,cnl-brain10,155.198.100.139,7.675997972488403,1,0.5,300.0,4.5,bd2ac_00064
65,0,0,,0.0,,,,1722392143,,False,1,bd2ac_00065,2024-07-31_03-15-43,9.39067816734314,9.39067816734314,54266,cnl-brain10,155.198.100.139,9.39067816734314,1,0.3,300.0,4.0,bd2ac_00065
66,0,0,,0.0,,,,1722392142,,False,1,bd2ac_00066,2024-07-31_03-15-42,8.22611379623413,8.22611379623413,54453,cnl-brain10,155.198.100.139,8.22611379623413,1,0.35,300.0,4.0,bd2ac_00066
67,1,1,94.89000000000283,1.25,1.4263084048195034,0.02719603497528822,0.046875,1722392143,,False,1,bd2ac_00067,2024-07-31_03-15-43,9.222520589828491,9.222520589828491,54456,cnl-brain10,155.198.100.139,9.222520589828491,1,0.4,300.0,4.0,bd2ac_00067
68,1,1,93.90000000000279,1.5,1.5307128422697596,0.048026811406942205,0.046875,1722392143,,False,1,bd2ac_00068,2024-07-31_03-15-43,8.757977724075317,8.757977724075317,54534,cnl-brain10,155.198.100.139,8.757977724075317,1,0.45,300.0,4.0,bd2ac_00068
69,1,1,92.94000000000275,1.75,1.6379420724095828,0.06262544758277855,0.046875,1722392143,,False,1,bd2ac_00069,2024-07-31_03-15-43,8.74284291267395,8.74284291267395,54212,cnl-brain10,155.198.100.139,8.74284291267395,1,0.5,300.0,4.0,bd2ac_00069
70,0,0,,0.0,,,,1722392144,,False,1,bd2ac_00070,2024-07-31_03-15-44,9.580922365188599,9.580922365188599,54214,cnl-brain10,155.198.100.139,9.580922365188599,1,0.3,300.0,3.5,bd2ac_00070
71,0,0,,0.0,,,,1722392144,,False,1,bd2ac_00071,2024-07-31_03-15-44,9.62186074256897,9.62186074256897,54493,cnl-brain10,155.198.100.139,9.62186074256897,1,0.35,300.0,3.5,bd2ac_00071
72,1,1,92.91000000000275,1.75,1.3101677345674079,0.027566507460019096,0.046875,1722392143,,False,1,bd2ac_00072,2024-07-31_03-15-43,8.999406576156616,8.999406576156616,54351,cnl-brain10,155.198.100.139,8.999406576156616,1,0.4,300.0,3.5,bd2ac_00072
