,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
42,1,1,55.11000000000133,1.25,0.9559194382204246,-0.011873769488381036,0.049999999999998934,1746727252,,False,1,4e41c_00042,2025-05-08_19-00-52,27.55941367149353,27.55941367149353,2762407,cnl-brain9,155.198.99.250,27.55941367149353,1,0.13,0.4,1.2,4e41c_00042
43,1,1,55.41000000000134,1.5,0.9736684251094436,0.004621413658999263,0.049999999999998934,1746727246,,False,1,4e41c_00043,2025-05-08_19-00-46,22.46112871170044,22.46112871170044,2762408,cnl-brain9,155.198.99.250,22.46112871170044,1,0.13,0.5,1.2,4e41c_00043
44,2,1,55.86000000000136,1.5,0.9225294822276322,-0.010670987344211902,0.049999999999998934,1746727248,,False,1,4e41c_00044,2025-05-08_19-00-48,23.59018564224243,23.59018564224243,2762409,cnl-brain9,155.198.99.250,23.59018564224243,1,0.13,0.6,1.2,4e41c_00044
45,0,0,,0.5,,,,1746727247,,False,1,4e41c_00045,2025-05-08_19-00-47,23.39066743850708,23.39066743850708,2762410,cnl-brain9,155.198.99.250,23.39066743850708,1,0.13,0.2,1.8,4e41c_00045
46,0,0,,0.75,,,,1746727250,,False,1,4e41c_00046,2025-05-08_19-00-50,25.223592519760132,25.223592519760132,2762411,cnl-brain9,155.198.99.250,25.223592519760132,1,0.13,0.3,1.8,4e41c_00046
47,1,1,94.92000000000283,1.0,0.9406673473872093,-0.008445615547402863,0.049999999999998934,1746727251,,False,1,4e41c_00047,2025-05-08_19-00-51,26.572453260421753,26.572453260421753,2762412,cnl-brain9,155.198.99.250,26.572453260421753,1,0.13,0.4,1.8,4e41c_00047
48,1,1,56.55000000000138,1.0,0.9573909301886796,-0.009650632928826841,0.049999999999998934,1746727252,,False,1,4e41c_00048,2025-05-08_19-00-52,27.204169988632202,27.204169988632202,2762416,cnl-brain9,155.198.99.250,27.204169988632202,1,0.13,0.5,1.8,4e41c_00048
49,1,1,56.25000000000137,1.25,0.9595520516246202,-0.005239551675219722,0.049999999999998934,1746727249,,False,1,4e41c_00049,2025-05-08_19-00-49,24.838441848754883,24.838441848754883,2762415,cnl-brain9,155.198.99.250,24.838441848754883,1,0.13,0.6,1.8,4e41c_00049
50,6,3,54.3600000000013,14.75,0.8210559870325811,-0.0011914840739981614,0.14999999999999902,1746727247,,False,1,4e41c_00050,2025-05-08_19-00-47,22.921324729919434,22.921324729919434,2762414,cnl-brain9,155.198.99.250,22.921324729919434,1,0.15,0.2,0.6,4e41c_00050
51,6,3,55.560000000001345,17.75,0.848593903018539,-0.0023884816232522255,0.14999999999999902,1746727246,,False,1,4e41c_00051,2025-05-08_19-00-46,22.056684494018555,22.056684494018555,2762413,cnl-brain9,155.198.99.250,22.056684494018555,1,0.15,0.3,0.6,4e41c_00051
52,6,3,55.98000000000136,16.75,1.5783217566013832,-0.004782827281374136,0.049999999999998934,1746727245,,False,1,4e41c_00052,2025-05-08_19-00-45,20.265552759170532,20.265552759170532,2763215,cnl-brain9,155.198.99.250,20.265552759170532,1,0.15,0.4,0.6,4e41c_00052
53,6,3,56.16000000000137,15.75,0.9054652779223149,-0.001529024043836369,0.14999999999999902,1746727246,,False,1,4e41c_00053,2025-05-08_19-00-46,21.23683476448059,21.23683476448059,2763248,cnl-brain9,155.198.99.250,21.23683476448059,1,0.15,0.5,0.6,4e41c_00053
54,6,3,55.11000000000133,17.0,0.8564531085809002,-0.0005673150147305073,0.14999999999999902,1746727247,,False,1,4e41c_00054,2025-05-08_19-00-47,22.939632654190063,22.939632654190063,2763251,cnl-brain9,155.198.99.250,22.939632654190063,1,0.15,0.6,0.6,4e41c_00054
55,2,1,56.43000000000138,1.0,0.9062578897364398,-0.013635537341480486,0.049999999999998934,1746727244,,False,1,4e41c_00055,2025-05-08_19-00-44,20.012919187545776,20.012919187545776,2763252,cnl-brain9,155.198.99.250,20.012919187545776,1,0.15,0.2,0.8,4e41c_00055
56,2,1,54.81000000000132,1.5,0.9293599440238745,-0.009737919657619276,0.049999999999998934,1746727243,,False,1,4e41c_00056,2025-05-08_19-00-43,18.539658784866333,18.539658784866333,2763254,cnl-brain9,155.198.99.250,18.539658784866333,1,0.15,0.3,0.8,4e41c_00056
57,2,2,55.65000000000135,1.75,0.9695770361899779,0.0005736121359980473,0.049999999999998934,1746727246,,False,1,4e41c_00057,2025-05-08_19-00-46,21.47287154197693,21.47287154197693,2763262,cnl-brain9,155.198.99.250,21.47287154197693,1,0.15,0.4,0.8,4e41c_00057
58,2,1,55.71000000000135,2.0,0.9689356126912303,0.0017890768524417844,0.049999999999998934,1746727250,,False,1,4e41c_00058,2025-05-08_19-00-50,25.609772205352783,25.609772205352783,2763264,cnl-brain9,155.198.99.250,25.609772205352783,1,0.15,0.5,0.8,4e41c_00058
59,3,2,54.240000000001295,2.0,0.943799361956899,-0.009219432864009836,0.049999999999998934,1746727252,,False,1,4e41c_00059,2025-05-08_19-00-52,27.603925943374634,27.603925943374634,2763273,cnl-brain9,155.198.99.250,27.603925943374634,1,0.15,0.6,0.8,4e41c_00059
60,1,1,96.7200000000029,1.0,0.9545172254925358,-0.005508870886467676,0.049999999999998934,1746727251,,False,1,4e41c_00060,2025-05-08_19-00-51,26.951008319854736,26.951008319854736,2763270,cnl-brain9,155.198.99.250,26.951008319854736,1,0.15,0.2,1.0,4e41c_00060
61,1,1,55.23000000000133,1.25,0.9661601967349662,-0.001213896043368301,0.049999999999998934,1746727251,,False,1,4e41c_00061,2025-05-08_19-00-51,26.094226121902466,26.094226121902466,2763268,cnl-brain9,155.198.99.250,26.094226121902466,1,0.15,0.3,1.0,4e41c_00061
62,2,1,54.510000000001305,1.25,0.9185319419370639,-0.007778804246810989,0.049999999999998934,1746727253,,False,1,4e41c_00062,2025-05-08_19-00-53,28.878125429153442,28.878125429153442,2763276,cnl-brain9,155.198.99.250,28.878125429153442,1,0.15,0.4,1.0,4e41c_00062
63,2,1,53.76000000000128,1.75,0.9098990458565349,-0.001818826625429093,0.049999999999998934,1746727246,,False,1,4e41c_00063,2025-05-08_19-00-46,21.517857789993286,21.517857789993286,2763277,cnl-brain9,155.198.99.250,21.517857789993286,1,0.15,0.5,1.0,4e41c_00063
64,2,2,55.08000000000133,2.0,0.9465424496729472,0.00023962820849199318,0.049999999999998934,1746727250,,False,1,4e41c_00064,2025-05-08_19-00-50,25.376226902008057,25.376226902008057,2763281,cnl-brain9,155.198.99.250,25.376226902008057,1,0.15,0.6,1.0,4e41c_00064
65,0,0,,0.75,,,,1746727249,,False,1,4e41c_00065,2025-05-08_19-00-49,24.94715976715088,24.94715976715088,2763284,cnl-brain9,155.198.99.250,24.94715976715088,1,0.15,0.2,1.2,4e41c_00065
66,1,1,55.62000000000135,1.0,0.9640751848868874,0.001960455330620725,0.049999999999998934,1746727246,,False,1,4e41c_00066,2025-05-08_19-00-46,21.623559951782227,21.623559951782227,2763286,cnl-brain9,155.198.99.250,21.623559951782227,1,0.15,0.3,1.2,4e41c_00066
67,1,1,56.25000000000137,1.25,0.9554312441493311,0.0006033287605582416,0.049999999999998934,1746727250,,False,1,4e41c_00067,2025-05-08_19-00-50,25.298189878463745,25.298189878463745,2763288,cnl-brain9,155.198.99.250,25.298189878463745,1,0.15,0.4,1.2,4e41c_00067
68,1,1,56.04000000000136,1.5,0.956933547623006,-0.0033961815010625784,0.049999999999998934,1746727254,,False,1,4e41c_00068,2025-05-08_19-00-54,29.18164849281311,29.18164849281311,2763292,cnl-brain9,155.198.99.250,29.18164849281311,1,0.15,0.5,1.2,4e41c_00068
69,1,1,56.55000000000138,1.5,0.9630450946285016,-0.003044658888723628,0.049999999999998934,1746727245,,False,1,4e41c_00069,2025-05-08_19-00-45,20.294553518295288,20.294553518295288,2763294,cnl-brain9,155.198.99.250,20.294553518295288,1,0.15,0.6,1.2,4e41c_00069
70,0,0,,0.5,,,,1746727247,,False,1,4e41c_00070,2025-05-08_19-00-47,22.745577096939087,22.745577096939087,2763295,cnl-brain9,155.198.99.250,22.745577096939087,1,0.15,0.2,1.8,4e41c_00070
71,0,0,,0.75,,,,1746727245,,False,1,4e41c_00071,2025-05-08_19-00-45,20.742111206054688,20.742111206054688,2763296,cnl-brain9,155.198.99.250,20.742111206054688,1,0.15,0.3,1.8,4e41c_00071
