,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/max_normalization_(single),metric/98th_percentile_firingrate_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/max_normalization_(reverse),metric/98th_percentile_firingrate_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/max_normalization_(back_and_forth),metric/98th_percentile_firingrate_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
167,0.0,0.0,,,0.75,,0.0,,,0.7542828876484031,0.0,0.0,,,0.75,,0.0,,,0.7509740713533634,0.0,0.0,,,0.75,,0.0,,,0.7436196838153748,1776488772,,False,1,5af3d_00167,2026-04-18_06-06-12,65.82171511650085,65.82171511650085,1850690,cnl-brain9,155.198.99.250,65.82171511650085,1,0.15,0.30000000000000004,1.625,5af3d_00167
168,1.0,1.0,293.4,0.022808710568293478,1.0,-0.049999999999998934,0.7242026350882753,1.1062703229308526,0.740426661979689,1.1157614112111895,0.0,0.0,,,0.75,-0.049999999999998934,0.7242026350882753,1.1062703229308526,,2.4891796553591554,0.0,0.0,,,0.0,-0.049999999999998934,0.7242026350882753,1.1062703229308526,,2.7807185097761917,1776488776,,False,1,5af3d_00168,2026-04-18_06-06-16,69.78794312477112,69.78794312477112,1850693,cnl-brain9,155.198.99.250,69.78794312477112,1,0.15,0.35000000000000003,1.625,5af3d_00168
169,1.0,1.0,247.62,0.007572763519226644,1.0,-0.049999999999998934,0.6131802290846311,1.135139829607814,0.7502855732292462,1.119261965830072,1.0,1.0,598.5,-0.0612162098709792,1.0,-0.049999999999998934,0.8573431807005556,1.088168055452259,0.8274655862519785,3.1238108656705785,0.0,0.0,,,0.0,-0.049999999999998934,0.8573431807005556,1.088168055452259,,4.0716394880912885,1776488773,,False,1,5af3d_00169,2026-04-18_06-06-13,66.89506244659424,66.89506244659424,1850686,cnl-brain9,155.198.99.250,66.89506244659424,1,0.15,0.4,1.625,5af3d_00169
170,0.0,0.0,,,0.5,,0.0,,,0.7443116804837537,0.0,0.0,,,0.5,,0.0,,,0.7473872587454006,0.0,0.0,,,0.5,,0.0,,,0.7677428034715923,1776488774,,False,1,5af3d_00170,2026-04-18_06-06-14,67.18285036087036,67.18285036087036,1850695,cnl-brain9,155.198.99.250,67.18285036087036,1,0.15,0.2,2.0,5af3d_00170
171,0.0,0.0,,,0.5,,0.0,,,0.7497476983770834,0.0,0.0,,,0.5,,0.0,,,0.7803386178183563,0.0,0.0,,,0.5,,0.0,,,0.7499418026775382,1776488776,,False,1,5af3d_00171,2026-04-18_06-06-16,69.356520652771,69.356520652771,1850692,cnl-brain9,155.198.99.250,69.356520652771,1,0.15,0.25,2.0,5af3d_00171
172,0.0,0.0,,,0.75,,0.0,,,0.7527989030018217,0.0,0.0,,,0.5,,0.0,,,0.7743445021364309,0.0,0.0,,,0.5,,0.0,,,0.7494011411512465,1776488773,,False,1,5af3d_00172,2026-04-18_06-06-13,66.12604570388794,66.12604570388794,1851011,cnl-brain9,155.198.99.250,66.12604570388794,1,0.15,0.30000000000000004,2.0,5af3d_00172
173,0.0,0.0,,,0.75,,0.0,,,0.7484612261983535,0.0,0.0,,,0.75,,0.0,,,0.7517286536043394,0.0,0.0,,,0.75,,0.0,,,0.7668848427057052,1776488775,,False,1,5af3d_00173,2026-04-18_06-06-15,66.49482274055481,66.49482274055481,1851688,cnl-brain9,155.198.99.250,66.49482274055481,1,0.15,0.35000000000000003,2.0,5af3d_00173
174,0.0,0.0,,,0.75,,0.0,,,0.772558763834812,0.0,0.0,,,0.75,,0.0,,,0.7419107701753376,0.0,0.0,,,0.75,,0.0,,,0.7442367133821163,1776488773,,False,1,5af3d_00174,2026-04-18_06-06-13,64.3213529586792,64.3213529586792,1851691,cnl-brain9,155.198.99.250,64.3213529586792,1,0.15,0.4,2.0,5af3d_00174
175,9.0,2.0,49.86,0.05370458456428118,5.75,-0.049999999999998934,0.7043127265766325,1.7626179450120185,1.3570857162723016,6.505759212181254,9.0,1.0,428.43,0.0005717709004753324,5.0,0.05000000000000071,0.49481679909391296,0.5801163793310933,1.3630021893039592,6.837769509701113,9.0,2.0,824.43,0.02773103608693228,10.75,0.05000000000000071,0.5655386893632417,0.6758398820421511,1.3249195167776093,7.150013746330174,1776488777,,False,1,5af3d_00175,2026-04-18_06-06-17,67.82303881645203,67.82303881645203,1851692,cnl-brain9,155.198.99.250,67.82303881645203,1,0.2,0.2,0.5,5af3d_00175
176,9.0,2.0,53.82,0.03506977935924516,6.25,-0.049999999999998934,0.669531755902268,1.4740352194368023,1.2904230410537232,6.286680681266204,9.0,2.0,430.11,0.0048902903703837985,6.75,0.05000000000000071,0.5660167858535305,0.4976764479349114,1.3146734853827555,6.713242816681199,9.0,2.0,820.8,0.009367122275262041,6.5,0.05000000000000071,0.6610898680449075,0.8756485188213488,1.2933699170848332,6.826577416789739,1776488776,,False,1,5af3d_00176,2026-04-18_06-06-16,66.68620228767395,66.68620228767395,1851690,cnl-brain9,155.198.99.250,66.68620228767395,1,0.2,0.25,0.5,5af3d_00176
