,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
418,1.0,1.0,56.640000000001386,0.010576411365458505,1.25,-0.049999999999998934,0.5834385849991506,1.155561842956447,0.0,0.0,,,0.5,-0.049999999999998934,0.5834385849991506,1.155561842956447,0.0,0.0,,,0.0,-0.049999999999998934,0.5834385849991506,1.155561842956447,1759202090,,False,1,6f4d4_00418,2025-09-30_04-14-50,56.79567289352417,56.79567289352417,4019764,cnl-brain9,155.198.99.250,56.79567289352417,1,0.15,0.35000000000000003,1.1,6f4d4_00418
419,1.0,1.0,54.510000000001305,0.008912560654976698,1.25,-0.049999999999998934,0.5761602480177666,1.1402029717163087,0.0,0.0,,,0.75,-0.049999999999998934,0.5761602480177666,1.1402029717163087,0.0,0.0,,,0.75,-0.049999999999998934,0.5761602480177666,1.1402029717163087,1759202090,,False,1,6f4d4_00419,2025-09-30_04-14-50,55.131542444229126,55.131542444229126,4019774,cnl-brain9,155.198.99.250,55.131542444229126,1,0.15,0.4,1.1,6f4d4_00419
420,0.0,0.0,,,0.75,,0.0,,0.0,0.0,,,0.75,,0.0,,0.0,0.0,,,0.75,,0.0,,1759202091,,False,1,6f4d4_00420,2025-09-30_04-14-51,55.4388906955719,55.4388906955719,4019784,cnl-brain9,155.198.99.250,55.4388906955719,1,0.15,0.2,1.2,6f4d4_00420
421,1.0,1.0,55.89000000000136,0.004875188763509897,1.0,-0.049999999999998934,0.5585623613280832,1.1876265190102977,0.0,0.0,,,0.0,-0.049999999999998934,0.5585623613280832,1.1876265190102977,0.0,0.0,,,0.0,-0.049999999999998934,0.5585623613280832,1.1876265190102977,1759202093,,False,1,6f4d4_00421,2025-09-30_04-14-53,56.607367753982544,56.607367753982544,4019753,cnl-brain9,155.198.99.250,56.607367753982544,1,0.15,0.25,1.2,6f4d4_00421
422,1.0,1.0,55.92000000000136,0.0010994421039138835,1.0,-0.049999999999998934,0.5136268287652421,1.1637889200266391,0.0,0.0,,,0.0,-0.049999999999998934,0.5136268287652421,1.1637889200266391,0.0,0.0,,,0.0,-0.049999999999998934,0.5136268287652421,1.1637889200266391,1759202093,,False,1,6f4d4_00422,2025-09-30_04-14-53,56.986464738845825,56.986464738845825,4019780,cnl-brain9,155.198.99.250,56.986464738845825,1,0.15,0.30000000000000004,1.2,6f4d4_00422
423,1.0,1.0,54.57000000000131,0.004045137299292012,1.25,-0.049999999999998934,0.5054637823945831,1.1803642860216426,0.0,0.0,,,0.0,-0.049999999999998934,0.5054637823945831,1.1803642860216426,0.0,0.0,,,0.0,-0.049999999999998934,0.5054637823945831,1.1803642860216426,1759202093,,False,1,6f4d4_00423,2025-09-30_04-14-53,56.575462341308594,56.575462341308594,4019752,cnl-brain9,155.198.99.250,56.575462341308594,1,0.15,0.35000000000000003,1.2,6f4d4_00423
424,1.0,1.0,56.19000000000137,0.00023131800632159027,1.25,-0.049999999999998934,0.4842126863357308,1.1981638399189936,0.0,0.0,,,0.0,-0.049999999999998934,0.4842126863357308,1.1981638399189936,0.0,0.0,,,0.0,-0.049999999999998934,0.4842126863357308,1.1981638399189936,1759202039,,False,1,6f4d4_00424,2025-09-30_04-13-59,55.94032096862793,55.94032096862793,4019751,cnl-brain9,155.198.99.250,55.94032096862793,1,0.15,0.4,1.2,6f4d4_00424
425,1.0,1.0,53.700000000001275,0.008175183602427971,1.25,-0.049999999999998934,0.6055505690832468,1.1736945669119758,0.0,0.0,,,0.75,-0.049999999999998934,0.6055505690832468,1.1736945669119758,0.0,0.0,,,0.75,-0.049999999999998934,0.6055505690832468,1.1736945669119758,1759202093,,False,1,6f4d4_00425,2025-09-30_04-14-53,55.71985960006714,55.71985960006714,4019742,cnl-brain9,155.198.99.250,55.71985960006714,1,0.18,0.2,0.8,6f4d4_00425
426,1.0,1.0,56.610000000001385,-0.004312507198318993,1.5,-0.049999999999998934,0.4717210292017735,1.270478500737949,1.0,1.0,353.48999999992026,-0.009494991118411011,1.0,-0.049999999999998934,0.46199416180094843,1.0578928867189308,0.0,0.0,,,0.0,-0.049999999999998934,0.46199416180094843,1.0578928867189308,1759202093,,False,1,6f4d4_00426,2025-09-30_04-14-53,56.2160587310791,56.2160587310791,4019746,cnl-brain9,155.198.99.250,56.2160587310791,1,0.18,0.25,0.8,6f4d4_00426
427,2.0,1.0,55.95000000000136,0.006973404606656519,1.5,-0.049999999999998934,0.540737027243106,1.3054043667348054,0.0,0.0,,,0.25,-0.049999999999998934,0.540737027243106,1.3054043667348054,0.0,0.0,,,0.0,-0.049999999999998934,0.540737027243106,1.3054043667348054,1759202094,,False,1,6f4d4_00427,2025-09-30_04-14-54,57.19342017173767,57.19342017173767,4019766,cnl-brain9,155.198.99.250,57.19342017173767,1,0.18,0.30000000000000004,0.8,6f4d4_00427
