,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
284,2.0,1.0,55.320000000001336,0.01140920991068528,1.5,-0.049999999999998934,0.7156753779208671,1.2338008113934864,1748699463,,False,1,0e48f_00284,2025-05-31_14-51-03,28.273905277252197,28.273905277252197,1508532,cnl-brain9,155.198.99.250,28.273905277252197,1,0.15,0.4,0.9,0e48f_00284
285,1.0,1.0,178.350000000006,0.005564007747425492,1.0,-0.049999999999998934,0.6760507376235565,1.1748038809609829,1748699458,,False,1,0e48f_00285,2025-05-31_14-50-58,23.031519174575806,23.031519174575806,1508512,cnl-brain9,155.198.99.250,23.031519174575806,1,0.15,0.2,1.0,0e48f_00285
286,1.0,1.0,55.590000000001346,-0.0006362578893073234,1.25,-0.049999999999998934,0.6639624040776555,1.1929800425136823,1748699458,,False,1,0e48f_00286,2025-05-31_14-50-58,22.752171993255615,22.752171993255615,1508515,cnl-brain9,155.198.99.250,22.752171993255615,1,0.15,0.25,1.0,0e48f_00286
287,1.0,1.0,57.120000000001404,0.005718165806667397,1.25,-0.049999999999998934,0.6329944225518598,1.170044314883161,1748699459,,False,1,0e48f_00287,2025-05-31_14-50-59,23.328429698944092,23.328429698944092,1508481,cnl-brain9,155.198.99.250,23.328429698944092,1,0.15,0.30000000000000004,1.0,0e48f_00287
288,1.0,1.0,54.480000000001304,0.004492166276586218,1.25,-0.049999999999998934,0.6943705359380279,1.1769092669559464,1748699457,,False,1,0e48f_00288,2025-05-31_14-50-57,22.07642889022827,22.07642889022827,1508467,cnl-brain9,155.198.99.250,22.07642889022827,1,0.15,0.35000000000000003,1.0,0e48f_00288
289,2.0,1.0,53.700000000001275,0.009725835302315744,1.25,-0.049999999999998934,0.7016822204753166,1.2201648376509542,1748699460,,False,1,0e48f_00289,2025-05-31_14-51-00,24.930009365081787,24.930009365081787,1508462,cnl-brain9,155.198.99.250,24.930009365081787,1,0.15,0.4,1.0,0e48f_00289
290,1.0,1.0,57.27000000000141,-0.004480055243663461,1.0,-0.049999999999998934,0.6148239980422026,1.2166689164342237,1748699463,,False,1,0e48f_00290,2025-05-31_14-51-03,27.12129855155945,27.12129855155945,1508536,cnl-brain9,155.198.99.250,27.12129855155945,1,0.15,0.2,1.1,0e48f_00290
291,1.0,1.0,56.40000000000138,-0.003323497687033772,1.0,-0.049999999999998934,0.6124418831608196,1.237859635368497,1748699457,,False,1,0e48f_00291,2025-05-31_14-50-57,21.010833024978638,21.010833024978638,1508578,cnl-brain9,155.198.99.250,21.010833024978638,1,0.15,0.25,1.1,0e48f_00291
292,1.0,1.0,53.76000000000128,0.016809182993808403,1.0,-0.049999999999998934,0.7315820735191796,1.1200786791285482,1748699460,,False,1,0e48f_00292,2025-05-31_14-51-00,24.427820920944214,24.427820920944214,1508522,cnl-brain9,155.198.99.250,24.427820920944214,1,0.15,0.30000000000000004,1.1,0e48f_00292
293,1.0,1.0,56.79000000000139,0.003035510280477549,1.25,-0.049999999999998934,0.6514375240485055,1.1929730006606498,1748699462,,False,1,0e48f_00293,2025-05-31_14-51-02,26.0622341632843,26.0622341632843,1508458,cnl-brain9,155.198.99.250,26.0622341632843,1,0.15,0.35000000000000003,1.1,0e48f_00293
