,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
1078,1,2,1,1,2,1,79.50000000000225,250.86000000000874,417.47999999986206,7.5,7.0,7.25,1.1302716884645978,1.1224065524451021,1.1300268528825488,0.08705375651606789,-0.08209060694953274,0.08676411023731112,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274145,,False,1,c8ec7_01078,2024-01-14_23-15-45,23.683295488357544,23.683295488357544,80089,cnl-brain10,155.198.100.139,23.683295488357544,1,0.6499999999999999,100.0,2.0,c8ec7_01078
1079,1,2,1,1,1,1,80.19000000000227,249.5400000000087,413.51999999986566,8.0,7.5,8.0,1.172468114135653,1.6344255587825074,1.016533277387738,0.0909577409117377,-0.09207781568146622,0.09183806264449246,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274147,,False,1,c8ec7_01079,2024-01-14_23-15-47,25.308517694473267,25.308517694473267,80109,cnl-brain10,155.198.100.139,25.308517694473267,1,0.7,100.0,2.0,c8ec7_01079
1080,0,1,1,0,1,1,,290.4299999999776,419.69999999986004,0.75,2.5,2.0,,0.3951936241254522,0.7719591229970607,,-0.057164862636417846,0.06418953527104365,,-0.13020833333333337,0.15104166666666663,1705274150,,False,1,c8ec7_01080,2024-01-14_23-15-50,23.606827974319458,23.606827974319458,79708,cnl-brain10,155.198.100.139,23.606827974319458,1,0.5,150.0,4.5,c8ec7_01080
1081,1,0,0,1,0,0,77.91000000000219,,,2.5,0.75,0.75,0.7924368938175916,0.7924368938175916,0.7924368938175916,0.07044026837426581,,,0.19270833333333331,0.5260416666666666,0.5260416666666666,1705274153,,False,1,c8ec7_01081,2024-01-14_23-15-53,24.15547800064087,24.15547800064087,79827,cnl-brain10,155.198.100.139,24.15547800064087,1,0.55,150.0,4.5,c8ec7_01081
1082,1,0,1,1,0,1,77.55000000000217,,441.5099999998402,2.5,0.75,2.25,0.8335147355919639,0.8335147355919639,1.4969811754142814,0.07917052798405821,,-0.07174830442280011,0.19270833333333331,0.5260416666666666,-0.22395833333333337,1705274154,,False,1,c8ec7_01082,2024-01-14_23-15-54,24.79810667037964,24.79810667037964,80100,cnl-brain10,155.198.100.139,24.79810667037964,1,0.6,150.0,4.5,c8ec7_01082
1083,1,1,2,1,1,2,76.47000000000213,218.91000000000753,384.569999999892,2.75,2.5,1.75,1.0648712796983308,1.6346164768692526,1.8431855724829238,0.08612356929550241,-0.0838041837280652,0.07398229528424749,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705274153,,False,1,c8ec7_01083,2024-01-14_23-15-53,24.337249040603638,24.337249040603638,80117,cnl-brain10,155.198.100.139,24.337249040603638,1,0.6499999999999999,150.0,4.5,c8ec7_01083
1084,1,1,1,1,1,1,115.02000000000359,216.03000000000742,418.16999999986143,2.5,2.5,1.75,1.2117279893734691,1.3761036679740077,1.0028937604372763,0.08652528173365823,-0.0889401313349254,0.0831315707337491,0.19270833333333331,-0.22395833333333337,0.24479166666666663,1705274153,,False,1,c8ec7_01084,2024-01-14_23-15-53,23.634024620056152,23.634024620056152,80085,cnl-brain10,155.198.100.139,23.634024620056152,1,0.7,150.0,4.5,c8ec7_01084
1085,0,1,1,0,1,1,,288.38999999997947,419.78999999985996,0.75,2.75,2.5,,0.45471544683263476,0.76935817708943,,-0.06115249873997697,0.06602162364922115,,-0.13020833333333337,0.15104166666666663,1705274154,,False,1,c8ec7_01085,2024-01-14_23-15-54,24.12321710586548,24.12321710586548,80075,cnl-brain10,155.198.100.139,24.12321710586548,1,0.5,150.0,4.0,c8ec7_01085
1086,1,1,2,1,1,2,79.02000000000223,255.78000000000893,386.8799999998899,3.0,2.75,2.0,0.8213667017408702,0.30280794250252197,1.82726251752681,0.0698045210238672,-0.06896521260894595,0.06545370664478178,0.19270833333333331,-0.13020833333333337,-0.22395833333333337,1705274155,,False,1,c8ec7_01086,2024-01-14_23-15-55,24.690902948379517,24.690902948379517,80076,cnl-brain10,155.198.100.139,24.690902948379517,1,0.55,150.0,4.0,c8ec7_01086
1087,1,1,2,1,1,2,77.22000000000216,257.3400000000077,386.0699999998906,3.0,2.75,2.0,0.8941076641434167,1.330731331780214,1.7600878953683046,0.07755863574436278,-0.07507584942192436,0.07643140849999808,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705274154,,False,1,c8ec7_01087,2024-01-14_23-15-54,23.35588312149048,23.35588312149048,80116,cnl-brain10,155.198.100.139,23.35588312149048,1,0.6,150.0,4.0,c8ec7_01087
