,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_regularization_alpha,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
31,1,1,1,1,1,1,42.630000000000855,295.4099999999731,594.3899999997012,2.25,2.25,2.0,0.9498743759597341,1.071216864754447,1.1491145546436068,0.013237984055722185,-0.004700206995693623,0.031808672868041565,0.11666666666666647,-0.11666666666666714,-0.01666666666666705,1740569489,,False,1,1de84_00031,2025-02-26_11-31-29,41.96495962142944,41.96495962142944,1025977,cnl-brain9,155.198.99.250,41.96495962142944,1,0.5,75.0,1.3,1de84_00031
32,1,1,1,1,1,1,43.650000000000894,333.35999999993857,738.5999999995701,1.5,1.5,1.25,0.9214413870941861,1.0709413980839002,1.1365436824988526,0.0017746652996806223,-0.0013553248750231006,0.03141978541932522,0.11666666666666647,-0.11666666666666714,-0.01666666666666705,1740569489,,False,1,1de84_00032,2025-02-26_11-31-29,41.80496335029602,41.80496335029602,1025978,cnl-brain9,155.198.99.250,41.80496335029602,1,0.5,75.0,1.8,1de84_00032
33,1,1,0,1,1,0,115.2300000000036,313.5299999999566,,1.0,1.0,0.0,0.9689640877665477,1.058061768695732,1.058061768695732,0.0023457305233489656,-0.0027626620927168055,,0.11666666666666647,-0.11666666666666714,-0.11666666666666714,1740569489,,False,1,1de84_00033,2025-02-26_11-31-29,42.26762342453003,42.26762342453003,1025979,cnl-brain9,155.198.99.250,42.26762342453003,1,0.5,75.0,3.0,1de84_00033
34,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740569487,,False,1,1de84_00034,2025-02-26_11-31-27,40.59526491165161,40.59526491165161,1025980,cnl-brain9,155.198.99.250,40.59526491165161,1,0.5,75.0,5.0,1de84_00034
35,2,2,9,1,1,2,43.980000000000906,280.8599999999863,576.6899999997173,3.5,3.75,11.5,1.0082549680608,0.9807802639179971,0.872758336069622,0.015589288577820604,0.00519377912275143,0.051233750185335936,0.11666666666666647,-0.11666666666666714,-0.01666666666666705,1740569488,,False,1,1de84_00035,2025-02-26_11-31-28,41.23137879371643,41.23137879371643,1025981,cnl-brain9,155.198.99.250,41.23137879371643,1,0.5,100.0,0.8,1de84_00035
36,1,1,1,1,1,1,43.680000000000895,334.1999999999378,595.3499999997003,2.25,2.25,1.25,0.927056718511698,1.0735446497642256,0.8975006792382794,0.010019107386550319,-0.009523715832653323,0.017941845590111694,0.11666666666666647,-0.11666666666666714,0.08333333333333304,1740569489,,False,1,1de84_00036,2025-02-26_11-31-29,42.395177602767944,42.395177602767944,1025982,cnl-brain9,155.198.99.250,42.395177602767944,1,0.5,100.0,1.3,1de84_00036
37,1,1,0,1,1,0,42.57000000000085,314.8499999999554,,1.5,1.5,0.0,0.9204248545264367,1.0793776662307686,1.0793776662307686,0.005746989958238746,-0.0021851293295997998,,0.11666666666666647,-0.11666666666666714,-0.11666666666666714,1740569490,,False,1,1de84_00037,2025-02-26_11-31-30,42.94467329978943,42.94467329978943,1025983,cnl-brain9,155.198.99.250,42.94467329978943,1,0.5,100.0,1.8,1de84_00037
38,1,1,0,1,1,0,43.05000000000087,335.99999999993616,,1.0,1.0,0.0,0.9379491652533645,1.0655259637810477,1.0655259637810477,-0.007107099361420399,0.008698567736419971,,0.11666666666666647,-0.11666666666666714,-0.11666666666666714,1740569489,,False,1,1de84_00038,2025-02-26_11-31-29,41.67805790901184,41.67805790901184,1025985,cnl-brain9,155.198.99.250,41.67805790901184,1,0.5,100.0,3.0,1de84_00038
39,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740569489,,False,1,1de84_00039,2025-02-26_11-31-29,41.890969038009644,41.890969038009644,1025986,cnl-brain9,155.198.99.250,41.890969038009644,1,0.5,100.0,5.0,1de84_00039
40,2,2,9,1,1,2,43.950000000000905,281.3099999999859,580.8299999997136,3.5,3.25,12.75,0.9650317996410498,0.973023360253727,1.1280279030913403,0.01658470554678404,0.004399121444135012,0.05727208546127471,0.11666666666666647,-0.11666666666666714,-0.11666666666666714,1740569486,,False,1,1de84_00040,2025-02-26_11-31-26,39.677308559417725,39.677308559417725,1025987,cnl-brain9,155.198.99.250,39.677308559417725,1,0.5,125.0,0.8,1de84_00040
