,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
42,1.0,1.0,54.270000000001296,0.0046976262386180245,1.0,-0.049999999999998934,0.5082474726541095,1.1824833501582195,1759199950,,False,1,96fee_00042,2025-09-30_03-39-10,17.104035139083862,17.104035139083862,3970300,cnl-brain9,155.198.99.250,17.104035139083862,1,0.15,0.30000000000000004,1.1,96fee_00042
43,1.0,1.0,56.370000000001376,-0.0010930855400985706,1.25,-0.049999999999998934,0.4486224923039144,1.2470609002173523,1759199950,,False,1,96fee_00043,2025-09-30_03-39-10,17.463459730148315,17.463459730148315,3970301,cnl-brain9,155.198.99.250,17.463459730148315,1,0.15,0.35000000000000003,1.1,96fee_00043
44,1.0,1.0,54.270000000001296,0.005169403898329428,1.25,-0.049999999999998934,0.5016618465596174,1.215192746190584,1759199950,,False,1,96fee_00044,2025-09-30_03-39-10,17.198586225509644,17.198586225509644,3970303,cnl-brain9,155.198.99.250,17.198586225509644,1,0.15,0.4,1.1,96fee_00044
45,0.0,0.0,,,0.75,,0.0,,1759199949,,False,1,96fee_00045,2025-09-30_03-39-09,16.789474487304688,16.789474487304688,3970304,cnl-brain9,155.198.99.250,16.789474487304688,1,0.15,0.2,1.2,96fee_00045
46,1.0,1.0,98.34000000000296,0.0036343839333854433,1.0,-0.049999999999998934,0.5012626668901077,1.1797490248259326,1759199950,,False,1,96fee_00046,2025-09-30_03-39-10,17.5052433013916,17.5052433013916,3970305,cnl-brain9,155.198.99.250,17.5052433013916,1,0.15,0.25,1.2,96fee_00046
47,1.0,1.0,54.60000000000131,0.01534264472270408,1.0,-0.049999999999998934,0.6360370986417871,1.1305809986855948,1759199950,,False,1,96fee_00047,2025-09-30_03-39-10,17.242000102996826,17.242000102996826,3970307,cnl-brain9,155.198.99.250,17.242000102996826,1,0.15,0.30000000000000004,1.2,96fee_00047
48,1.0,1.0,54.780000000001316,-5.6166130538493064e-05,1.0,-0.049999999999998934,0.4815405542385669,1.2386472144751477,1759199950,,False,1,96fee_00048,2025-09-30_03-39-10,17.085914611816406,17.085914611816406,3970308,cnl-brain9,155.198.99.250,17.085914611816406,1,0.15,0.35000000000000003,1.2,96fee_00048
49,1.0,1.0,53.37000000000126,0.014363116062976466,1.0,-0.049999999999998934,0.5935871721147543,1.1058091460172685,1759199950,,False,1,96fee_00049,2025-09-30_03-39-10,17.22927761077881,17.22927761077881,3970310,cnl-brain9,155.198.99.250,17.22927761077881,1,0.15,0.4,1.2,96fee_00049
50,1.0,1.0,54.72000000000131,0.015915539244873322,1.25,-0.049999999999998934,0.636935908663034,1.1360492555032058,1759199967,,False,1,96fee_00050,2025-09-30_03-39-27,19.254377603530884,19.254377603530884,3970233,cnl-brain9,155.198.99.250,19.254377603530884,1,0.18,0.2,0.8,96fee_00050
51,2.0,1.0,53.64000000000127,0.012044845101791157,1.25,-0.049999999999998934,0.5678281143314843,1.3113842471060746,1759199967,,False,1,96fee_00051,2025-09-30_03-39-27,18.89893412590027,18.89893412590027,3969942,cnl-brain9,155.198.99.250,18.89893412590027,1,0.18,0.25,0.8,96fee_00051
52,2.0,1.0,54.480000000001304,0.012476958111450553,1.25,-0.049999999999998934,0.5126744126026397,1.3100493531498538,1759199967,,False,1,96fee_00052,2025-09-30_03-39-27,18.771819829940796,18.771819829940796,3969841,cnl-brain9,155.198.99.250,18.771819829940796,1,0.18,0.30000000000000004,0.8,96fee_00052
53,2.0,1.0,54.93000000000132,0.010192763471341237,1.5,-0.049999999999998934,0.5784140856461799,1.2680321612304832,1759199968,,False,1,96fee_00053,2025-09-30_03-39-28,19.94767475128174,19.94767475128174,3970245,cnl-brain9,155.198.99.250,19.94767475128174,1,0.18,0.35000000000000003,0.8,96fee_00053
54,2.0,1.0,54.69000000000131,0.0003859981269087598,1.75,-0.049999999999998934,0.5220225399892304,1.31114371928176,1759199968,,False,1,96fee_00054,2025-09-30_03-39-28,19.920637607574463,19.920637607574463,3969941,cnl-brain9,155.198.99.250,19.920637607574463,1,0.18,0.4,0.8,96fee_00054
55,1.0,1.0,55.23000000000133,0.0026490383231649872,1.0,-0.049999999999998934,0.5109976478745621,1.2249252495146412,1759199968,,False,1,96fee_00055,2025-09-30_03-39-28,19.671756267547607,19.671756267547607,3970243,cnl-brain9,155.198.99.250,19.671756267547607,1,0.18,0.2,0.9,96fee_00055
56,1.0,1.0,55.11000000000133,0.01213831703204038,1.25,-0.049999999999998934,0.5964575394604674,1.1620551963318357,1759199970,,False,1,96fee_00056,2025-09-30_03-39-30,21.123395204544067,21.123395204544067,3970282,cnl-brain9,155.198.99.250,21.123395204544067,1,0.18,0.25,0.9,96fee_00056
57,1.0,1.0,55.92000000000136,0.007297707017251298,1.25,-0.049999999999998934,0.5661157447557508,1.1766671266404354,1759199969,,False,1,96fee_00057,2025-09-30_03-39-29,20.124812364578247,20.124812364578247,3970287,cnl-brain9,155.198.99.250,20.124812364578247,1,0.18,0.30000000000000004,0.9,96fee_00057
58,1.0,1.0,54.780000000001316,0.008650752978916376,1.5,-0.049999999999998934,0.5080846892090451,1.2196481167740298,1759199971,,False,1,96fee_00058,2025-09-30_03-39-31,22.106324672698975,22.106324672698975,3970272,cnl-brain9,155.198.99.250,22.106324672698975,1,0.18,0.35000000000000003,0.9,96fee_00058
59,1.0,1.0,54.3900000000013,-0.008421006104996298,1.75,-0.049999999999998934,0.399486647272731,1.3566701154478806,1759199970,,False,1,96fee_00059,2025-09-30_03-39-30,20.628636598587036,20.628636598587036,3970239,cnl-brain9,155.198.99.250,20.628636598587036,1,0.18,0.4,0.9,96fee_00059
60,1.0,1.0,55.38000000000134,0.004822676277590254,1.0,-0.049999999999998934,0.5352994484474194,1.2106856477585681,1759199970,,False,1,96fee_00060,2025-09-30_03-39-30,20.862109184265137,20.862109184265137,3970297,cnl-brain9,155.198.99.250,20.862109184265137,1,0.18,0.2,1.0,96fee_00060
61,1.0,1.0,55.44000000000134,0.006232108770606093,1.0,-0.049999999999998934,0.5262406961718162,1.1934092563498315,1759199971,,False,1,96fee_00061,2025-09-30_03-39-31,21.605557918548584,21.605557918548584,3969455,cnl-brain9,155.198.99.250,21.605557918548584,1,0.18,0.25,1.0,96fee_00061
62,1.0,1.0,53.91000000000128,0.011542723788439346,1.0,-0.049999999999998934,0.5622258971360599,1.159324491637945,1759199970,,False,1,96fee_00062,2025-09-30_03-39-30,21.469163417816162,21.469163417816162,3969939,cnl-brain9,155.198.99.250,21.469163417816162,1,0.18,0.30000000000000004,1.0,96fee_00062
63,1.0,1.0,55.65000000000135,-0.0007899458521252178,1.5,-0.049999999999998934,0.5008939412579441,1.2744662546778767,1759199969,,False,1,96fee_00063,2025-09-30_03-39-29,20.43022894859314,20.43022894859314,3969634,cnl-brain9,155.198.99.250,20.43022894859314,1,0.18,0.35000000000000003,1.0,96fee_00063
64,1.0,1.0,55.35000000000134,0.0064442595906419875,1.5,-0.049999999999998934,0.5740899193077893,1.1922750301889558,1759199971,,False,1,96fee_00064,2025-09-30_03-39-31,21.5836181640625,21.5836181640625,3970237,cnl-brain9,155.198.99.250,21.5836181640625,1,0.18,0.4,1.0,96fee_00064
65,1.0,1.0,135.96000000000438,0.007799169211446966,1.0,-0.049999999999998934,0.5413603511478717,1.1698865024228953,1759199971,,False,1,96fee_00065,2025-09-30_03-39-31,21.653825044631958,21.653825044631958,3970279,cnl-brain9,155.198.99.250,21.653825044631958,1,0.18,0.2,1.1,96fee_00065
66,1.0,1.0,55.08000000000133,0.007865947463285838,1.0,-0.049999999999998934,0.5475723155504619,1.1499575752293762,1759199970,,False,1,96fee_00066,2025-09-30_03-39-30,20.793790340423584,20.793790340423584,3970286,cnl-brain9,155.198.99.250,20.793790340423584,1,0.18,0.25,1.1,96fee_00066
67,1.0,1.0,54.84000000000132,0.007456459374481472,1.25,-0.049999999999998934,0.5561980131555906,1.1678127920253827,1759199970,,False,1,96fee_00067,2025-09-30_03-39-30,20.715749263763428,20.715749263763428,3970260,cnl-brain9,155.198.99.250,20.715749263763428,1,0.18,0.30000000000000004,1.1,96fee_00067
68,1.0,1.0,53.37000000000126,0.005720478133330875,1.25,-0.049999999999998934,0.5004758968779344,1.1566664868255914,1759199969,,False,1,96fee_00068,2025-09-30_03-39-29,19.868301153182983,19.868301153182983,3970241,cnl-brain9,155.198.99.250,19.868301153182983,1,0.18,0.35000000000000003,1.1,96fee_00068
69,1.0,1.0,55.86000000000136,0.0031130387172182417,1.25,-0.049999999999998934,0.4905011748724952,1.1745606449509798,1759199970,,False,1,96fee_00069,2025-09-30_03-39-30,20.593082666397095,20.593082666397095,3970236,cnl-brain9,155.198.99.250,20.593082666397095,1,0.18,0.4,1.1,96fee_00069
70,0.0,0.0,,,0.75,,0.0,,1759199972,,False,1,96fee_00070,2025-09-30_03-39-32,22.239665985107422,22.239665985107422,3970266,cnl-brain9,155.198.99.250,22.239665985107422,1,0.18,0.2,1.2,96fee_00070
71,1.0,1.0,56.76000000000139,0.0068168230320164724,1.0,-0.049999999999998934,0.5541732728676649,1.2041983389673108,1759199971,,False,1,96fee_00071,2025-09-30_03-39-31,21.71615195274353,21.71615195274353,3970276,cnl-brain9,155.198.99.250,21.71615195274353,1,0.18,0.25,1.2,96fee_00071
72,1.0,1.0,56.9400000000014,0.008114831236819775,1.0,-0.049999999999998934,0.5434865196060046,1.1968248150452045,1759199974,,False,1,96fee_00072,2025-09-30_03-39-34,23.8185977935791,23.8185977935791,3970300,cnl-brain9,155.198.99.250,23.8185977935791,1,0.18,0.30000000000000004,1.2,96fee_00072
73,1.0,1.0,56.19000000000137,0.004252568819082647,1.25,-0.049999999999998934,0.534041901428091,1.201724318675153,1759199972,,False,1,96fee_00073,2025-09-30_03-39-32,22.31251883506775,22.31251883506775,3969874,cnl-brain9,155.198.99.250,22.31251883506775,1,0.18,0.35000000000000003,1.2,96fee_00073
74,1.0,1.0,55.44000000000134,0.005886664033038613,1.25,-0.049999999999998934,0.5556838183106203,1.1798210873517456,1759199971,,False,1,96fee_00074,2025-09-30_03-39-31,21.04489040374756,21.04489040374756,3970310,cnl-brain9,155.198.99.250,21.04489040374756,1,0.18,0.4,1.2,96fee_00074
75,1.0,1.0,57.0000000000014,0.004247061072865321,1.25,-0.049999999999998934,0.5382806461545799,1.2141278082215237,1759199974,,False,1,96fee_00075,2025-09-30_03-39-34,24.473917245864868,24.473917245864868,3970235,cnl-brain9,155.198.99.250,24.473917245864868,1,0.21,0.2,0.8,96fee_00075
76,1.0,1.0,54.93000000000132,-0.0001337991586636278,1.5,-0.049999999999998934,0.5036280819294321,1.2847131733307946,1759199972,,False,1,96fee_00076,2025-09-30_03-39-32,22.67399311065674,22.67399311065674,3970280,cnl-brain9,155.198.99.250,22.67399311065674,1,0.21,0.25,0.8,96fee_00076
77,1.0,1.0,55.89000000000136,0.0040634113257635995,1.5,-0.049999999999998934,0.5145355343960252,1.2125328734097132,1759199971,,False,1,96fee_00077,2025-09-30_03-39-31,21.66007399559021,21.66007399559021,3970307,cnl-brain9,155.198.99.250,21.66007399559021,1,0.21,0.30000000000000004,0.8,96fee_00077
78,2.0,1.0,54.3600000000013,0.002040558070286469,1.75,-0.049999999999998934,0.530145726242766,1.3060625548364786,1759199972,,False,1,96fee_00078,2025-09-30_03-39-32,21.976351022720337,21.976351022720337,3970303,cnl-brain9,155.198.99.250,21.976351022720337,1,0.21,0.35000000000000003,0.8,96fee_00078
79,2.0,1.0,57.24000000000141,0.013502641586993214,1.5,-0.049999999999998934,0.6053436273049058,1.2608872523176513,1759199975,,False,1,96fee_00079,2025-09-30_03-39-35,24.669065475463867,24.669065475463867,3970308,cnl-brain9,155.198.99.250,24.669065475463867,1,0.21,0.4,0.8,96fee_00079
80,1.0,1.0,55.38000000000134,0.011661361431251294,1.0,-0.049999999999998934,0.5699606341120487,1.1809872684836107,1759199971,,False,1,96fee_00080,2025-09-30_03-39-31,21.505112409591675,21.505112409591675,3970292,cnl-brain9,155.198.99.250,21.505112409591675,1,0.21,0.2,0.9,96fee_00080
81,1.0,1.0,56.370000000001376,-0.0027787442450066813,1.25,-0.049999999999998934,0.5076685509815739,1.2834236353924546,1759199973,,False,1,96fee_00081,2025-09-30_03-39-33,22.98958706855774,22.98958706855774,3970281,cnl-brain9,155.198.99.250,22.98958706855774,1,0.21,0.25,0.9,96fee_00081
82,1.0,1.0,55.77000000000135,0.012473123902721817,1.25,-0.049999999999998934,0.5729278449642394,1.1741552306294238,1759199974,,False,1,96fee_00082,2025-09-30_03-39-34,24.445815801620483,24.445815801620483,3970305,cnl-brain9,155.198.99.250,24.445815801620483,1,0.21,0.30000000000000004,0.9,96fee_00082
83,1.0,1.0,56.46000000000138,0.005839231499690456,1.5,-0.049999999999998934,0.5376184088747644,1.1733274024704607,1759199974,,False,1,96fee_00083,2025-09-30_03-39-34,23.89522361755371,23.89522361755371,3970283,cnl-brain9,155.198.99.250,23.89522361755371,1,0.21,0.35000000000000003,0.9,96fee_00083
84,1.0,1.0,56.28000000000137,-0.0027183150794098943,1.75,-0.049999999999998934,0.47052066128490555,1.3115455851196376,1759199973,,False,1,96fee_00084,2025-09-30_03-39-33,22.705507278442383,22.705507278442383,3970298,cnl-brain9,155.198.99.250,22.705507278442383,1,0.21,0.4,0.9,96fee_00084
85,1.0,1.0,55.290000000001335,0.004100240742727745,1.0,-0.049999999999998934,0.5112503668558461,1.2257916415757113,1759199970,,False,1,96fee_00085,2025-09-30_03-39-30,21.068440437316895,21.068440437316895,3970304,cnl-brain9,155.198.99.250,21.068440437316895,1,0.21,0.2,1.0,96fee_00085
86,1.0,1.0,56.070000000001365,0.0024258626915880654,1.25,-0.049999999999998934,0.5390850639284954,1.2112139237295734,1759199974,,False,1,96fee_00086,2025-09-30_03-39-34,24.179405212402344,24.179405212402344,3970294,cnl-brain9,155.198.99.250,24.179405212402344,1,0.21,0.25,1.0,96fee_00086
87,1.0,1.0,55.20000000000133,0.007194119578162184,1.25,-0.049999999999998934,0.5281510254629453,1.225494535295548,1759199972,,False,1,96fee_00087,2025-09-30_03-39-32,22.088601112365723,22.088601112365723,3970242,cnl-brain9,155.198.99.250,22.088601112365723,1,0.21,0.30000000000000004,1.0,96fee_00087
88,1.0,1.0,54.84000000000132,0.005676283635817736,1.25,-0.049999999999998934,0.5485928614855,1.1805625138697173,1759199973,,False,1,96fee_00088,2025-09-30_03-39-33,22.7438805103302,22.7438805103302,3970289,cnl-brain9,155.198.99.250,22.7438805103302,1,0.21,0.35000000000000003,1.0,96fee_00088
89,1.0,1.0,56.640000000001386,0.0034355964085825974,1.5,-0.049999999999998934,0.5335307172210526,1.2579167297618175,1759199973,,False,1,96fee_00089,2025-09-30_03-39-33,22.653584241867065,22.653584241867065,3970238,cnl-brain9,155.198.99.250,22.653584241867065,1,0.21,0.4,1.0,96fee_00089
90,1.0,1.0,56.13000000000137,0.0012192449660104465,1.0,-0.049999999999998934,0.4943418930863448,1.2530123008129512,1759199975,,False,1,96fee_00090,2025-09-30_03-39-35,24.6036376953125,24.6036376953125,3970288,cnl-brain9,155.198.99.250,24.6036376953125,1,0.21,0.2,1.1,96fee_00090
91,1.0,1.0,94.65000000000282,-0.0001591021827724859,1.0,-0.049999999999998934,0.4856248937485286,1.2791260460849843,1759199972,,False,1,96fee_00091,2025-09-30_03-39-32,22.15152382850647,22.15152382850647,3970285,cnl-brain9,155.198.99.250,22.15152382850647,1,0.21,0.25,1.1,96fee_00091
