,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_FWHM_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_FWHM_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_FWHM_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
237,1.0,1.0,47.22000000000103,-0.004876414942016183,1.5,-0.049999999999998934,0.6461220446366447,1.2732108519452314,0.0,0.0,,,0.5,-0.049999999999998934,0.6461220446366447,1.2732108519452314,1.0,1.0,755.3399999995548,-0.03636554343525544,1.0,-0.049999999999998934,0.7244398831051719,1.165490059059719,1748702638,,False,1,203ad_00237,2025-05-31_15-43-58,72.1520004272461,72.1520004272461,1588537,cnl-brain9,155.198.99.250,72.1520004272461,1,0.24,0.30000000000000004,1.0,203ad_00237
238,1.0,1.0,54.3300000000013,-0.00679862672736764,1.25,-0.049999999999998934,0.635959353524818,1.1021359812397937,1.0,1.0,368.2799999999068,-0.02733510156016372,1.0,-0.049999999999998934,0.7169200537006142,1.1988453852402976,0.0,0.0,,,0.0,-0.049999999999998934,0.7169200537006142,1.1988453852402976,1748702646,,False,1,203ad_00238,2025-05-31_15-44-06,79.725088596344,79.725088596344,1588548,cnl-brain9,155.198.99.250,79.725088596344,1,0.24,0.35000000000000003,1.0,203ad_00238
239,1.0,1.0,51.48000000000119,0.03364619175125183,1.0,-0.14999999999999902,0.7071164238318604,0.7029804425849437,2.0,1.0,444.2699999998377,-0.025301515461523483,1.0,-0.14999999999999902,0.9793919258190646,0.7867479203450463,0.0,0.0,,,0.75,-0.14999999999999902,0.9793919258190646,0.7867479203450463,1748702654,,False,1,203ad_00239,2025-05-31_15-44-14,86.90052556991577,86.90052556991577,1588488,cnl-brain9,155.198.99.250,86.90052556991577,1,0.24,0.4,1.0,203ad_00239
240,0.0,0.0,,,0.75,,0.0,,0.0,0.0,,,0.75,,0.0,,1.0,1.0,788.3099999995248,0.017898859167680747,1.0,-0.049999999999998934,0.9948367013066357,1.2000385127047155,1748702648,,False,1,203ad_00240,2025-05-31_15-44-08,80.53963255882263,80.53963255882263,1588451,cnl-brain9,155.198.99.250,80.53963255882263,1,0.24,0.2,1.1,203ad_00240
241,1.0,1.0,50.10000000000114,0.020642420132630956,1.0,-0.049999999999998934,1.014693147766133,1.1232580223508088,0.0,0.0,,,0.0,-0.049999999999998934,1.014693147766133,1.1232580223508088,0.0,0.0,,,0.0,-0.049999999999998934,1.014693147766133,1.1232580223508088,1748702656,,False,1,203ad_00241,2025-05-31_15-44-16,88.44253921508789,88.44253921508789,1588540,cnl-brain9,155.198.99.250,88.44253921508789,1,0.24,0.25,1.1,203ad_00241
242,1.0,1.0,51.12000000000118,0.0070297759312976105,1.0,-0.049999999999998934,0.645396817724234,1.3304748804851405,0.0,0.0,,,0.0,-0.049999999999998934,0.645396817724234,1.3304748804851405,0.0,0.0,,,0.25,-0.049999999999998934,0.645396817724234,1.3304748804851405,1748702645,,False,1,203ad_00242,2025-05-31_15-44-05,76.58414554595947,76.58414554595947,1588448,cnl-brain9,155.198.99.250,76.58414554595947,1,0.24,0.30000000000000004,1.1,203ad_00242
243,1.0,1.0,48.36000000000107,0.05204470399950445,1.0,-0.14999999999999902,1.0364354363878436,0.9192379750571391,0.0,0.0,,,0.5,-0.14999999999999902,1.0364354363878436,0.9192379750571391,0.0,0.0,,,0.5,-0.14999999999999902,1.0364354363878436,0.9192379750571391,1748702644,,False,1,203ad_00243,2025-05-31_15-44-04,75.52535104751587,75.52535104751587,1588502,cnl-brain9,155.198.99.250,75.52535104751587,1,0.24,0.35000000000000003,1.1,203ad_00243
244,1.0,1.0,47.340000000001034,0.01928886192383006,1.25,0.05000000000000071,0.8631690161720513,1.1309226190948933,0.0,0.0,,,0.5,0.05000000000000071,0.8631690161720513,1.1309226190948933,0.0,0.0,,,0.0,0.05000000000000071,0.8631690161720513,1.1309226190948933,1748702652,,False,1,203ad_00244,2025-05-31_15-44-12,82.98220086097717,82.98220086097717,1588438,cnl-brain9,155.198.99.250,82.98220086097717,1,0.24,0.4,1.1,203ad_00244
245,0.0,0.0,,,0.75,,0.0,,0.0,0.0,,,0.75,,0.0,,0.0,0.0,,,0.75,,0.0,,1748702660,,False,1,203ad_00245,2025-05-31_15-44-20,91.69351148605347,91.69351148605347,1588569,cnl-brain9,155.198.99.250,91.69351148605347,1,0.24,0.2,1.2,203ad_00245
246,1.0,1.0,52.74000000000124,-0.004480739582104487,1.0,-0.049999999999998934,0.6029223597952682,1.5945853483325896,0.0,0.0,,,0.5,-0.049999999999998934,0.6029223597952682,1.5945853483325896,0.0,0.0,,,0.0,-0.049999999999998934,0.6029223597952682,1.5945853483325896,1748702646,,False,1,203ad_00246,2025-05-31_15-44-06,76.6899619102478,76.6899619102478,1588565,cnl-brain9,155.198.99.250,76.6899619102478,1,0.24,0.25,1.2,203ad_00246
247,1.0,1.0,45.66000000000097,0.023494641649030257,1.0,-0.14999999999999902,0.8210073330658845,0.8894278383379434,0.0,0.0,,,0.0,-0.14999999999999902,0.8210073330658845,0.8894278383379434,0.0,0.0,,,0.0,-0.14999999999999902,0.8210073330658845,0.8894278383379434,1748702640,,False,1,203ad_00247,2025-05-31_15-44-00,70.79611587524414,70.79611587524414,1588445,cnl-brain9,155.198.99.250,70.79611587524414,1,0.24,0.30000000000000004,1.2,203ad_00247
248,1.0,1.0,48.48000000000108,0.014580989284226575,1.25,0.05000000000000071,0.806750568477324,1.2395806779246628,0.0,0.0,,,0.0,0.05000000000000071,0.806750568477324,1.2395806779246628,0.0,0.0,,,0.5,0.05000000000000071,0.806750568477324,1.2395806779246628,1748702651,,False,1,203ad_00248,2025-05-31_15-44-11,81.95803213119507,81.95803213119507,1588435,cnl-brain9,155.198.99.250,81.95803213119507,1,0.24,0.35000000000000003,1.2,203ad_00248
249,1.0,1.0,50.550000000001155,0.022508750102041564,1.0,-0.049999999999998934,0.8898226958077524,1.076933306962588,0.0,0.0,,,0.75,-0.049999999999998934,0.8898226958077524,1.076933306962588,0.0,0.0,,,0.5,-0.049999999999998934,0.8898226958077524,1.076933306962588,1748702649,,False,1,203ad_00249,2025-05-31_15-44-09,78.2631950378418,78.2631950378418,1588484,cnl-brain9,155.198.99.250,78.2631950378418,1,0.24,0.4,1.2,203ad_00249
250,2.0,1.0,116.10000000000363,0.006667217654263258,1.0,-0.049999999999998934,0.5673337742245881,1.3761058713095355,0.0,0.0,,,0.25,-0.049999999999998934,0.5673337742245881,1.3761058713095355,1.0,1.0,823.8599999994925,-0.03945105901300883,1.0,-0.049999999999998934,0.6479511407445355,1.194939026702392,1748702655,,False,1,203ad_00250,2025-05-31_15-44-15,84.80820631980896,84.80820631980896,1588455,cnl-brain9,155.198.99.250,84.80820631980896,1,0.12,0.2,0.8,203ad_00250
251,3.0,2.0,48.30000000000107,-0.034967703645574666,1.0,-0.049999999999998934,0.7261592158665824,1.341144936656495,2.0,1.0,471.1799999998132,-0.035955391597790154,1.0,-0.049999999999998934,0.7783318303269344,1.302044183300164,0.0,0.0,,,0.75,-0.049999999999998934,0.7735797472635948,1.2123670632936023,1748702652,,False,1,203ad_00251,2025-05-31_15-44-12,80.38662481307983,80.38662481307983,1588543,cnl-brain9,155.198.99.250,80.38662481307983,1,0.12,0.25,0.8,203ad_00251
