,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_regularization_alpha,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
21,7,2,0,5,2,0,41.76000000000082,310.94999999995895,,24.0,37.75,0.0,0.7969164625905202,0.9803591350140292,0.9803591350140292,-0.018071935823904095,-0.042791034556378005,,1.5166666666666666,-0.0833333333333337,-0.0833333333333337,1740567890,,False,1,68432_00021,2025-02-26_11-04-50,37.05848026275635,37.05848026275635,988853,cnl-brain9,155.198.99.250,37.05848026275635,1,0.4,150.0,1.3,68432_00021
22,1,0,0,1,0,0,36.24000000000061,,,1.5,0.0,0.0,0.9453686641374109,0.9453686641374109,0.9453686641374109,-0.04011099149238162,,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740567893,,False,1,68432_00022,2025-02-26_11-04-53,39.909244537353516,39.909244537353516,988854,cnl-brain9,155.198.99.250,39.909244537353516,1,0.4,150.0,1.8,68432_00022
23,1,0,0,1,0,0,73.83000000000203,,,1.0,0.0,0.0,0.9585367388941655,0.9585367388941655,0.9585367388941655,-0.006771030584967308,,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740567891,,False,1,68432_00023,2025-02-26_11-04-51,37.93928861618042,37.93928861618042,988855,cnl-brain9,155.198.99.250,37.93928861618042,1,0.4,150.0,3.0,68432_00023
24,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740567894,,False,1,68432_00024,2025-02-26_11-04-54,40.8624472618103,40.8624472618103,988856,cnl-brain9,155.198.99.250,40.8624472618103,1,0.4,150.0,5.0,68432_00024
25,5,6,9,1,2,1,55.65000000000135,282.14999999998514,553.3799999997385,2.75,6.0,7.0,1.0696600158452565,0.9202825641390789,0.9224056743991115,-0.03074088170418854,-0.03932863374735196,0.03984325197585892,0.11666666666666647,-0.18333333333333357,-0.0833333333333337,1740567893,,False,1,68432_00025,2025-02-26_11-04-53,39.11776375770569,39.11776375770569,988857,cnl-brain9,155.198.99.250,39.11776375770569,1,0.5,50.0,0.8,68432_00025
26,4,3,3,1,1,1,36.570000000000626,382.2299999998941,569.279999999724,1.5,2.0,1.5,0.9214608725212254,1.0073471678321715,1.046799990020105,-0.07922084837328791,-0.012656749671384526,-0.021689194626311803,0.11666666666666647,0.016666666666666385,0.016666666666666385,1740567892,,False,1,68432_00026,2025-02-26_11-04-52,38.45617079734802,38.45617079734802,988858,cnl-brain9,155.198.99.250,38.45617079734802,1,0.5,50.0,1.3,68432_00026
27,3,2,0,1,1,0,38.430000000000696,306.56999999996293,,1.25,1.5,0.5,1.0458982363700133,0.9846817989787321,0.9846817989787321,-0.0609036317959204,0.013356806990917125,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740567893,,False,1,68432_00027,2025-02-26_11-04-53,39.24406695365906,39.24406695365906,988859,cnl-brain9,155.198.99.250,39.24406695365906,1,0.5,50.0,1.8,68432_00027
28,1,0,1,1,0,1,131.0700000000042,,627.2399999996713,1.0,0.75,1.0,0.9549192013180353,0.9549192013180353,0.9211664653796702,-0.014660609185455753,,0.027994998674148786,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740567894,,False,1,68432_00028,2025-02-26_11-04-54,40.430121421813965,40.430121421813965,988860,cnl-brain9,155.198.99.250,40.430121421813965,1,0.5,50.0,3.0,68432_00028
29,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740567893,,False,1,68432_00029,2025-02-26_11-04-53,39.79472327232361,39.79472327232361,988861,cnl-brain9,155.198.99.250,39.79472327232361,1,0.5,50.0,5.0,68432_00029
30,7,5,9,2,2,1,41.49000000000081,284.75999999998277,561.5099999997311,4.75,5.25,5.0,1.0857678222991858,1.060104467832763,0.9775772160625256,-0.09694526596929953,-0.09977953630060998,0.04360043520296797,0.016666666666666385,-0.28333333333333366,-0.0833333333333337,1740567893,,False,1,68432_00030,2025-02-26_11-04-53,39.72850728034973,39.72850728034973,988862,cnl-brain9,155.198.99.250,39.72850728034973,1,0.5,75.0,0.8,68432_00030
