,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
342,1,1,45.60000000000097,1.0,1.2662180144925799,-0.038319745746392186,-0.05000000000000071,1746725598,,False,1,494fe_00342,2025-05-08_18-33-18,24.47896456718445,24.47896456718445,2717015,cnl-brain9,155.198.99.250,24.47896456718445,1,0.16999999999999998,0.4,1.2,494fe_00342
343,1,1,43.140000000000875,1.0,0.6965520164131596,-0.04380597547212339,0.14999999999999902,1746725596,,False,1,494fe_00343,2025-05-08_18-33-16,23.150373935699463,23.150373935699463,2717022,cnl-brain9,155.198.99.250,23.150373935699463,1,0.16999999999999998,0.5,1.2,494fe_00343
344,1,1,116.31000000000364,1.75,0.9953131488885563,0.007412560221832898,0.049999999999998934,1746725596,,False,1,494fe_00344,2025-05-08_18-33-16,21.61575675010681,21.61575675010681,2716998,cnl-brain9,155.198.99.250,21.61575675010681,1,0.16999999999999998,0.6,1.2,494fe_00344
345,0,0,,0.5,,,,1746725598,,False,1,494fe_00345,2025-05-08_18-33-18,23.263991594314575,23.263991594314575,2717023,cnl-brain9,155.198.99.250,23.263991594314575,1,0.16999999999999998,0.2,1.8,494fe_00345
346,0,0,,0.75,,,,1746725594,,False,1,494fe_00346,2025-05-08_18-33-14,23.875575065612793,23.875575065612793,2717086,cnl-brain9,155.198.99.250,23.875575065612793,1,0.16999999999999998,0.3,1.8,494fe_00346
347,0,0,,0.75,,,,1746725599,,False,1,494fe_00347,2025-05-08_18-33-19,24.162315845489502,24.162315845489502,2717196,cnl-brain9,155.198.99.250,24.162315845489502,1,0.16999999999999998,0.4,1.8,494fe_00347
348,1,1,77.04000000000215,1.0,0.9817993585003373,-0.005745188963615977,0.049999999999998934,1746725600,,False,1,494fe_00348,2025-05-08_18-33-20,25.225187301635742,25.225187301635742,2717080,cnl-brain9,155.198.99.250,25.225187301635742,1,0.16999999999999998,0.5,1.8,494fe_00348
349,2,2,153.99000000000507,1.0,1.0140941726649346,-0.03968884835612441,-0.05000000000000071,1746725597,,False,1,494fe_00349,2025-05-08_18-33-17,21.96229100227356,21.96229100227356,2717052,cnl-brain9,155.198.99.250,21.96229100227356,1,0.16999999999999998,0.6,1.8,494fe_00349
350,7,3,47.97000000000106,21.0,0.9076830292453872,-0.03529632879508915,0.14999999999999902,1746725602,,False,1,494fe_00350,2025-05-08_18-33-22,26.66080594062805,26.66080594062805,2717005,cnl-brain9,155.198.99.250,26.66080594062805,1,0.19,0.2,0.6,494fe_00350
351,7,3,48.39000000000107,14.0,1.0439303107211102,-0.027095759862235447,0.14999999999999902,1746725602,,False,1,494fe_00351,2025-05-08_18-33-22,26.845480918884277,26.845480918884277,2717000,cnl-brain9,155.198.99.250,26.845480918884277,1,0.19,0.3,0.6,494fe_00351
352,7,3,48.660000000001084,23.25,1.1825682819348233,-0.061440995665220655,0.14999999999999902,1746725604,,False,1,494fe_00352,2025-05-08_18-33-24,28.04818320274353,28.04818320274353,2717134,cnl-brain9,155.198.99.250,28.04818320274353,1,0.19,0.4,0.6,494fe_00352
353,7,3,41.73000000000082,20.75,1.1111139868408357,-0.03266746354030792,0.14999999999999902,1746725596,,False,1,494fe_00353,2025-05-08_18-33-16,20.599811553955078,20.599811553955078,2716983,cnl-brain9,155.198.99.250,20.599811553955078,1,0.19,0.5,0.6,494fe_00353
354,7,3,50.37000000000115,26.5,1.6163333884976765,0.017110094469783732,0.049999999999998934,1746725601,,False,1,494fe_00354,2025-05-08_18-33-21,25.10341739654541,25.10341739654541,2717064,cnl-brain9,155.198.99.250,25.10341739654541,1,0.19,0.6,0.6,494fe_00354
355,1,1,43.7700000000009,1.0,0.923004451870515,-0.014936700217046628,0.049999999999998934,1746725602,,False,1,494fe_00355,2025-05-08_18-33-22,25.38788938522339,25.38788938522339,2717075,cnl-brain9,155.198.99.250,25.38788938522339,1,0.19,0.2,0.8,494fe_00355
356,2,1,47.46000000000104,1.25,0.8795089646519277,-0.028882912133897154,0.049999999999998934,1746725602,,False,1,494fe_00356,2025-05-08_18-33-22,25.8842556476593,25.8842556476593,2716992,cnl-brain9,155.198.99.250,25.8842556476593,1,0.19,0.3,0.8,494fe_00356
357,5,2,44.88000000000094,10.0,1.1092668144836553,-0.060387748086778714,0.049999999999998934,1746725600,,False,1,494fe_00357,2025-05-08_18-33-20,23.74694514274597,23.74694514274597,2717167,cnl-brain9,155.198.99.250,23.74694514274597,1,0.19,0.4,0.8,494fe_00357
358,5,2,53.01000000000125,22.25,0.9725359982478816,-0.019103867355514392,0.049999999999998934,1746725603,,False,1,494fe_00358,2025-05-08_18-33-23,24.154957056045532,24.154957056045532,2716996,cnl-brain9,155.198.99.250,24.154957056045532,1,0.19,0.5,0.8,494fe_00358
359,4,2,47.25000000000103,8.5,1.3404835854077417,-0.03055182260999345,-0.05000000000000071,1746725603,,False,1,494fe_00359,2025-05-08_18-33-23,22.01246976852417,22.01246976852417,2716988,cnl-brain9,155.198.99.250,22.01246976852417,1,0.19,0.6,0.8,494fe_00359
360,1,1,245.55000000000854,1.0,,-0.03319821536001477,,1746725602,,False,1,494fe_00360,2025-05-08_18-33-22,20.54283332824707,20.54283332824707,2717088,cnl-brain9,155.198.99.250,20.54283332824707,1,0.19,0.2,1.0,494fe_00360
361,1,1,86.73000000000252,1.25,1.030528023920701,0.016465154807463023,0.049999999999998934,1746725608,,False,1,494fe_00361,2025-05-08_18-33-28,22.89778780937195,22.89778780937195,2717007,cnl-brain9,155.198.99.250,22.89778780937195,1,0.19,0.3,1.0,494fe_00361
362,1,1,53.01000000000125,1.5,0.929623574909896,-0.00489854904813436,0.049999999999998934,1746725606,,False,1,494fe_00362,2025-05-08_18-33-26,20.637203693389893,20.637203693389893,2717105,cnl-brain9,155.198.99.250,20.637203693389893,1,0.19,0.4,1.0,494fe_00362
363,2,1,85.44000000000247,1.25,1.047906878341801,-0.019687003400600478,0.049999999999998934,1746725608,,False,1,494fe_00363,2025-05-08_18-33-28,21.67112922668457,21.67112922668457,2717184,cnl-brain9,155.198.99.250,21.67112922668457,1,0.19,0.5,1.0,494fe_00363
364,2,1,41.820000000000825,1.75,1.2676886005123893,-0.013901463995040775,-0.05000000000000071,1746725608,,False,1,494fe_00364,2025-05-08_18-33-28,21.8317449092865,21.8317449092865,2717071,cnl-brain9,155.198.99.250,21.8317449092865,1,0.19,0.6,1.0,494fe_00364
365,0,0,,0.75,,,,1746725609,,False,1,494fe_00365,2025-05-08_18-33-29,22.31938338279724,22.31938338279724,2717008,cnl-brain9,155.198.99.250,22.31938338279724,1,0.19,0.2,1.2,494fe_00365
366,1,1,48.930000000001094,1.0,0.9340487688707207,-0.02528049436161961,0.049999999999998934,1746725611,,False,1,494fe_00366,2025-05-08_18-33-31,24.66472291946411,24.66472291946411,2717072,cnl-brain9,155.198.99.250,24.66472291946411,1,0.19,0.3,1.2,494fe_00366
367,1,1,46.68000000000101,1.0,1.043715436972652,-0.05189041254200033,0.049999999999998934,1746725609,,False,1,494fe_00367,2025-05-08_18-33-29,22.35665535926819,22.35665535926819,2717019,cnl-brain9,155.198.99.250,22.35665535926819,1,0.19,0.4,1.2,494fe_00367
368,2,1,40.05000000000076,1.0,1.497889958443568,-0.0572850820747588,-0.1500000000000008,1746725609,,False,1,494fe_00368,2025-05-08_18-33-29,21.550480127334595,21.550480127334595,2717093,cnl-brain9,155.198.99.250,21.550480127334595,1,0.19,0.5,1.2,494fe_00368
369,2,1,42.900000000000865,1.0,1.1156793152912794,-0.04555217546595758,-0.05000000000000071,1746725609,,False,1,494fe_00369,2025-05-08_18-33-29,21.675445079803467,21.675445079803467,2717018,cnl-brain9,155.198.99.250,21.675445079803467,1,0.19,0.6,1.2,494fe_00369
370,0,0,,0.5,,,,1746725613,,False,1,494fe_00370,2025-05-08_18-33-33,25.773270845413208,25.773270845413208,2717043,cnl-brain9,155.198.99.250,25.773270845413208,1,0.19,0.2,1.8,494fe_00370
371,0,0,,0.75,,,,1746725610,,False,1,494fe_00371,2025-05-08_18-33-30,22.65264320373535,22.65264320373535,2717003,cnl-brain9,155.198.99.250,22.65264320373535,1,0.19,0.3,1.8,494fe_00371
372,0,0,,0.75,,,,1746725609,,False,1,494fe_00372,2025-05-08_18-33-29,21.560524463653564,21.560524463653564,2717004,cnl-brain9,155.198.99.250,21.560524463653564,1,0.19,0.4,1.8,494fe_00372
373,0,0,,0.75,,,,1746725610,,False,1,494fe_00373,2025-05-08_18-33-30,21.52862811088562,21.52862811088562,2715305,cnl-brain9,155.198.99.250,21.52862811088562,1,0.19,0.5,1.8,494fe_00373
374,1,1,47.19000000000103,1.0,0.9336010948491971,-0.03749312558836593,0.049999999999998934,1746725611,,False,1,494fe_00374,2025-05-08_18-33-31,22.503854274749756,22.503854274749756,2716981,cnl-brain9,155.198.99.250,22.503854274749756,1,0.19,0.6,1.8,494fe_00374
375,7,2,47.100000000001025,9.25,0.9944687659413851,-0.06577353115610629,0.049999999999998934,1746725610,,False,1,494fe_00375,2025-05-08_18-33-30,22.075316667556763,22.075316667556763,2717078,cnl-brain9,155.198.99.250,22.075316667556763,1,0.11,0.2,0.6,494fe_00375
376,7,2,41.040000000000795,8.5,1.0109383365569333,-0.06419429972607871,0.049999999999998934,1746725610,,False,1,494fe_00376,2025-05-08_18-33-30,21.668994665145874,21.668994665145874,2717026,cnl-brain9,155.198.99.250,21.668994665145874,1,0.11,0.3,0.6,494fe_00376
377,6,2,83.6700000000024,3.0,1.0465941582726088,0.0033941627200722024,0.049999999999998934,1746725614,,False,1,494fe_00377,2025-05-08_18-33-34,25.47958493232727,25.47958493232727,2717030,cnl-brain9,155.198.99.250,25.47958493232727,1,0.11,0.4,0.6,494fe_00377
378,7,2,40.08000000000076,12.75,0.999591911879935,-0.044584958381709505,0.049999999999998934,1746725611,,False,1,494fe_00378,2025-05-08_18-33-31,21.98647952079773,21.98647952079773,2716995,cnl-brain9,155.198.99.250,21.98647952079773,1,0.11,0.5,0.6,494fe_00378
379,7,2,42.630000000000855,7.0,0.8752729994322721,-0.00970474949103961,0.049999999999998934,1746725614,,False,1,494fe_00379,2025-05-08_18-33-34,24.073559284210205,24.073559284210205,2717063,cnl-brain9,155.198.99.250,24.073559284210205,1,0.11,0.6,0.6,494fe_00379
380,2,2,50.16000000000114,1.25,1.201422835401511,0.002557781102414225,-0.05000000000000071,1746725613,,False,1,494fe_00380,2025-05-08_18-33-33,23.43379831314087,23.43379831314087,2717130,cnl-brain9,155.198.99.250,23.43379831314087,1,0.11,0.2,0.8,494fe_00380
381,3,1,46.860000000001016,1.5,1.4573691401485174,-0.05023606188803731,-0.05000000000000071,1746725613,,False,1,494fe_00381,2025-05-08_18-33-33,23.388635396957397,23.388635396957397,2717056,cnl-brain9,155.198.99.250,23.388635396957397,1,0.11,0.3,0.8,494fe_00381
382,4,1,47.100000000001025,1.5,0.988563624964649,-0.02523459692842156,0.049999999999998934,1746725615,,False,1,494fe_00382,2025-05-08_18-33-35,25.20830798149109,25.20830798149109,2716980,cnl-brain9,155.198.99.250,25.20830798149109,1,0.11,0.4,0.8,494fe_00382
383,6,2,47.340000000001034,6.5,0.9463294547554474,-0.0012195955669134229,0.049999999999998934,1746725617,,False,1,494fe_00383,2025-05-08_18-33-37,27.22605276107788,27.22605276107788,2717025,cnl-brain9,155.198.99.250,27.22605276107788,1,0.11,0.5,0.8,494fe_00383
384,5,2,75.6300000000021,1.75,1.1944411245747082,-0.029383755982818283,-0.05000000000000071,1746725613,,False,1,494fe_00384,2025-05-08_18-33-33,22.024489879608154,22.024489879608154,2717039,cnl-brain9,155.198.99.250,22.024489879608154,1,0.11,0.6,0.8,494fe_00384
385,2,1,153.81000000000506,1.0,1.3163860773388245,-0.01726505428993086,-0.05000000000000071,1746725618,,False,1,494fe_00385,2025-05-08_18-33-38,26.939399242401123,26.939399242401123,2717101,cnl-brain9,155.198.99.250,26.939399242401123,1,0.11,0.2,1.0,494fe_00385
386,2,2,47.85000000000105,1.25,1.0315468792283857,-0.0024082863184835546,0.049999999999998934,1746725619,,False,1,494fe_00386,2025-05-08_18-33-39,27.767411470413208,27.767411470413208,2716999,cnl-brain9,155.198.99.250,27.767411470413208,1,0.11,0.3,1.0,494fe_00386
387,2,1,45.72000000000097,1.25,0.9711659221436855,-0.02297294927878868,0.049999999999998934,1746725617,,False,1,494fe_00387,2025-05-08_18-33-37,25.55627703666687,25.55627703666687,2717171,cnl-brain9,155.198.99.250,25.55627703666687,1,0.11,0.4,1.0,494fe_00387
388,2,1,47.79000000000105,1.25,1.016169921892732,-0.03145843138946791,0.049999999999998934,1746725611,,False,1,494fe_00388,2025-05-08_18-33-31,19.402504205703735,19.402504205703735,2717033,cnl-brain9,155.198.99.250,19.402504205703735,1,0.11,0.5,1.0,494fe_00388
389,4,2,45.66000000000097,1.75,0.9303215035128635,-0.03819573761326245,0.049999999999998934,1746725612,,False,1,494fe_00389,2025-05-08_18-33-32,20.29778218269348,20.29778218269348,2717192,cnl-brain9,155.198.99.250,20.29778218269348,1,0.11,0.6,1.0,494fe_00389
390,0,0,,0.75,,,,1746725618,,False,1,494fe_00390,2025-05-08_18-33-38,26.669130325317383,26.669130325317383,2717027,cnl-brain9,155.198.99.250,26.669130325317383,1,0.11,0.2,1.2,494fe_00390
391,2,1,47.82000000000105,1.0,0.8656007201438259,-0.0241419406741179,0.049999999999998934,1746725620,,False,1,494fe_00391,2025-05-08_18-33-40,28.2550630569458,28.2550630569458,2717001,cnl-brain9,155.198.99.250,28.2550630569458,1,0.11,0.3,1.2,494fe_00391
392,2,1,42.69000000000086,1.0,1.276868151517592,-0.03353275381618426,-0.05000000000000071,1746725621,,False,1,494fe_00392,2025-05-08_18-33-41,28.04912567138672,28.04912567138672,2717024,cnl-brain9,155.198.99.250,28.04912567138672,1,0.11,0.4,1.2,494fe_00392
