,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_FWHM_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_FWHM_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_FWHM_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
10,1.0,1.0,53.64000000000127,-0.00236798926366788,1.0,-0.049999999999998934,0.6601049110786703,1.1609106586357119,0.0,0.0,,,0.0,-0.049999999999998934,0.6601049110786703,1.1609106586357119,0.0,0.0,,,0.0,-0.049999999999998934,0.6601049110786703,1.1609106586357119,1748700690,,False,1,f444b_00010,2025-05-31_15-11-30,79.53519606590271,79.53519606590271,1539309,cnl-brain9,155.198.99.250,79.53519606590271,1,0.12,0.2,1.0,f444b_00010
11,1.0,1.0,52.98000000000125,0.007318489091481251,1.25,-0.049999999999998934,0.7336683208932087,1.1207125615004785,0.0,0.0,,,0.75,-0.049999999999998934,0.7336683208932087,1.1207125615004785,0.0,0.0,,,0.75,-0.049999999999998934,0.7336683208932087,1.1207125615004785,1748700692,,False,1,f444b_00011,2025-05-31_15-11-32,81.29357051849365,81.29357051849365,1539308,cnl-brain9,155.198.99.250,81.29357051849365,1,0.12,0.25,1.0,f444b_00011
12,1.0,1.0,54.12000000000129,0.008480103004802508,1.25,-0.049999999999998934,0.700920772212478,1.1281841920052358,0.0,0.0,,,0.75,-0.049999999999998934,0.700920772212478,1.1281841920052358,0.0,0.0,,,0.75,-0.049999999999998934,0.700920772212478,1.1281841920052358,1748700684,,False,1,f444b_00012,2025-05-31_15-11-24,72.95727157592773,72.95727157592773,1539314,cnl-brain9,155.198.99.250,72.95727157592773,1,0.12,0.30000000000000004,1.0,f444b_00012
13,2.0,1.0,55.08000000000133,0.009631427663743697,1.25,-0.049999999999998934,0.7004606646717453,1.1716400170688466,0.0,0.0,,,0.0,-0.049999999999998934,0.7004606646717453,1.1716400170688466,0.0,0.0,,,0.0,-0.049999999999998934,0.7004606646717453,1.1716400170688466,1748700689,,False,1,f444b_00013,2025-05-31_15-11-29,78.22108149528503,78.22108149528503,1539315,cnl-brain9,155.198.99.250,78.22108149528503,1,0.12,0.35000000000000003,1.0,f444b_00013
14,2.0,1.0,55.590000000001346,0.0011103018941160947,1.5,-0.049999999999998934,0.6425048410896408,1.2563359716855271,0.0,0.0,,,0.0,-0.049999999999998934,0.6425048410896408,1.2563359716855271,0.0,0.0,,,0.0,-0.049999999999998934,0.6425048410896408,1.2563359716855271,1748700690,,False,1,f444b_00014,2025-05-31_15-11-30,79.03268837928772,79.03268837928772,1539316,cnl-brain9,155.198.99.250,79.03268837928772,1,0.12,0.4,1.0,f444b_00014
15,1.0,1.0,216.09000000000742,0.000511425886005501,1.0,-0.049999999999998934,0.6285112550049212,1.1903800543578709,0.0,0.0,,,0.0,-0.049999999999998934,0.6285112550049212,1.1903800543578709,0.0,0.0,,,0.0,-0.049999999999998934,0.6285112550049212,1.1903800543578709,1748700687,,False,1,f444b_00015,2025-05-31_15-11-27,76.20579195022583,76.20579195022583,1539317,cnl-brain9,155.198.99.250,76.20579195022583,1,0.12,0.2,1.1,f444b_00015
16,1.0,1.0,55.74000000000135,0.009194147132855601,1.0,-0.049999999999998934,0.7170992592901877,1.115638741539691,0.0,0.0,,,0.0,-0.049999999999998934,0.7170992592901877,1.115638741539691,0.0,0.0,,,0.0,-0.049999999999998934,0.7170992592901877,1.115638741539691,1748700689,,False,1,f444b_00016,2025-05-31_15-11-29,78.40630602836609,78.40630602836609,1539318,cnl-brain9,155.198.99.250,78.40630602836609,1,0.12,0.25,1.1,f444b_00016
17,1.0,1.0,54.63000000000131,0.006014521721301236,1.0,-0.049999999999998934,0.6552588753975064,1.1508906028674328,0.0,0.0,,,0.0,-0.049999999999998934,0.6552588753975064,1.1508906028674328,0.0,0.0,,,0.0,-0.049999999999998934,0.6552588753975064,1.1508906028674328,1748700678,,False,1,f444b_00017,2025-05-31_15-11-18,67.8728551864624,67.8728551864624,1539319,cnl-brain9,155.198.99.250,67.8728551864624,1,0.12,0.30000000000000004,1.1,f444b_00017
18,1.0,1.0,55.50000000000134,0.0006726037091380199,1.25,-0.049999999999998934,0.6426884753894369,1.1559847150414755,0.0,0.0,,,0.5,-0.049999999999998934,0.6426884753894369,1.1559847150414755,0.0,0.0,,,0.75,-0.049999999999998934,0.6426884753894369,1.1559847150414755,1748700692,,False,1,f444b_00018,2025-05-31_15-11-32,81.01361966133118,81.01361966133118,1539320,cnl-brain9,155.198.99.250,81.01361966133118,1,0.12,0.35000000000000003,1.1,f444b_00018
19,1.0,1.0,56.580000000001384,0.007378957862021807,1.25,-0.049999999999998934,0.6745415320451285,1.1407164473359648,1.0,1.0,494.8499999997917,-0.00982935867046697,1.0,-0.049999999999998934,0.6641727165920308,1.020962734080422,0.0,0.0,,,0.0,-0.049999999999998934,0.6641727165920308,1.020962734080422,1748700695,,False,1,f444b_00019,2025-05-31_15-11-35,84.27841687202454,84.27841687202454,1539321,cnl-brain9,155.198.99.250,84.27841687202454,1,0.12,0.4,1.1,f444b_00019
