,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
23,1,1,0,1,1,0,81.39000000000232,215.97000000000742,,3.0,2.75,0.0,1.3086216444618424,1.2015073598888324,1.2015073598888324,0.05364790306046879,-0.08131173479607734,,0.078125,-0.109375,-0.109375,1722393567,,False,1,09e20_00023,2024-07-31_03-39-27,25.437618017196655,25.437618017196655,62484,cnl-brain10,155.198.100.139,25.437618017196655,1,0.45,200.0,2.5,09e20_00023
24,1,1,0,1,1,0,79.05000000000223,222.93000000000768,,3.5,3.0,0.0,1.3525082532004973,1.0914659703870326,1.0914659703870326,0.06707652567618161,-0.08680944308043304,,0.078125,-0.109375,-0.109375,1722393566,,False,1,09e20_00024,2024-07-31_03-39-26,24.15583372116089,24.15583372116089,62483,cnl-brain10,155.198.100.139,24.15583372116089,1,0.5,200.0,2.5,09e20_00024
25,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393565,,False,1,09e20_00025,2024-07-31_03-39-25,23.274348258972168,23.274348258972168,62482,cnl-brain10,155.198.100.139,23.274348258972168,1,0.3,200.0,2.0,09e20_00025
26,1,0,0,1,0,0,81.90000000000234,,,2.5,0.0,0.0,0.928516787048911,0.928516787048911,0.928516787048911,0.003923232388062692,,,0.078125,0.078125,0.078125,1722393564,,False,1,09e20_00026,2024-07-31_03-39-24,22.21478509902954,22.21478509902954,62521,cnl-brain10,155.198.100.139,22.21478509902954,1,0.35,200.0,2.0,09e20_00026
27,1,1,0,1,1,0,80.43000000000228,217.17000000000746,,3.5,3.75,0.0,1.1581563793389469,1.1118374670591817,1.1118374670591817,0.03711970525611924,-0.08010530574177332,,0.078125,-0.109375,-0.109375,1722393566,,False,1,09e20_00027,2024-07-31_03-39-26,23.700860738754272,23.700860738754272,62520,cnl-brain10,155.198.100.139,23.700860738754272,1,0.4,200.0,2.0,09e20_00027
28,1,1,1,1,1,1,79.98000000000226,218.97000000000753,381.269999999895,4.0,4.75,2.0,1.3063625251423665,1.2125959838665759,1.0803108649289626,0.05805095365210006,-0.07957833757724342,0.05890227054793978,0.078125,-0.109375,0.078125,1722393567,,False,1,09e20_00028,2024-07-31_03-39-27,25.081866025924683,25.081866025924683,62503,cnl-brain10,155.198.100.139,25.081866025924683,1,0.45,200.0,2.0,09e20_00028
29,1,1,1,1,1,1,79.47000000000224,220.5900000000076,386.5499999998902,5.0,4.75,2.5,1.401433765943376,1.1003570481920724,1.0962228541985928,0.06493428363432274,-0.08725066265428838,0.07974475087905492,0.078125,-0.109375,0.078125,1722393568,,False,1,09e20_00029,2024-07-31_03-39-28,25.522870540618896,25.522870540618896,62502,cnl-brain10,155.198.100.139,25.522870540618896,1,0.5,200.0,2.0,09e20_00029
30,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393567,,False,1,09e20_00030,2024-07-31_03-39-27,25.50286030769348,25.50286030769348,62522,cnl-brain10,155.198.100.139,25.50286030769348,1,0.3,250.0,4.5,09e20_00030
31,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393567,,False,1,09e20_00031,2024-07-31_03-39-27,24.592615842819214,24.592615842819214,62526,cnl-brain10,155.198.100.139,24.592615842819214,1,0.35,250.0,4.5,09e20_00031
32,1,0,0,1,0,0,80.9400000000023,,,1.25,0.0,0.0,0.9197391323045951,0.9197391323045951,0.9197391323045951,0.02114080817951447,,,0.078125,0.078125,0.078125,1722393565,,False,1,09e20_00032,2024-07-31_03-39-25,22.81718635559082,22.81718635559082,62525,cnl-brain10,155.198.100.139,22.81718635559082,1,0.4,250.0,4.5,09e20_00032
33,1,0,1,1,0,1,79.68000000000225,,374.0099999999016,1.25,0.0,1.0,1.3238570552907578,1.3238570552907578,1.2010540048297869,0.04600231511502706,,-0.07425281828859698,0.078125,0.078125,-0.109375,1722393565,,False,1,09e20_00033,2024-07-31_03-39-25,23.639437437057495,23.639437437057495,62524,cnl-brain10,155.198.100.139,23.639437437057495,1,0.45,250.0,4.5,09e20_00033
34,1,1,0,1,1,0,79.71000000000225,221.43000000000762,,1.25,1.0,0.0,1.278580028202695,1.073978621903828,1.073978621903828,0.05924403229932945,-0.0805128594976039,,0.078125,-0.109375,-0.109375,1722393568,,False,1,09e20_00034,2024-07-31_03-39-28,25.86501383781433,25.86501383781433,62523,cnl-brain10,155.198.100.139,25.86501383781433,1,0.5,250.0,4.5,09e20_00034
35,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393566,,False,1,09e20_00035,2024-07-31_03-39-26,24.089794874191284,24.089794874191284,62529,cnl-brain10,155.198.100.139,24.089794874191284,1,0.3,250.0,4.0,09e20_00035
36,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393568,,False,1,09e20_00036,2024-07-31_03-39-28,25.592804670333862,25.592804670333862,62528,cnl-brain10,155.198.100.139,25.592804670333862,1,0.35,250.0,4.0,09e20_00036
37,1,0,0,1,0,0,81.93000000000234,,,1.25,0.0,0.0,1.0511426570519706,1.0511426570519706,1.0511426570519706,0.024793178518050907,,,0.078125,0.078125,0.078125,1722393566,,False,1,09e20_00037,2024-07-31_03-39-26,23.63753080368042,23.63753080368042,62527,cnl-brain10,155.198.100.139,23.63753080368042,1,0.4,250.0,4.0,09e20_00037
38,1,1,0,1,1,0,85.02000000000245,250.56000000000873,,1.5,1.25,0.0,1.2990853521533217,1.1835093287619252,1.1835093287619252,0.0437727080471102,-0.07815279008886378,,0.078125,-0.109375,-0.109375,1722393567,,False,1,09e20_00038,2024-07-31_03-39-27,25.54183793067932,25.54183793067932,62530,cnl-brain10,155.198.100.139,25.54183793067932,1,0.45,250.0,4.0,09e20_00038
39,1,1,0,1,1,0,78.90000000000222,219.60000000000755,,1.5,1.25,0.0,1.3490946318211323,1.141926773523914,1.141926773523914,0.060148597472333365,-0.08556560464793761,,0.078125,-0.109375,-0.109375,1722393568,,False,1,09e20_00039,2024-07-31_03-39-28,26.07328152656555,26.07328152656555,62531,cnl-brain10,155.198.100.139,26.07328152656555,1,0.5,250.0,4.0,09e20_00039
40,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393587,,False,1,09e20_00040,2024-07-31_03-39-47,23.703840494155884,23.703840494155884,62257,cnl-brain10,155.198.100.139,23.703840494155884,1,0.3,250.0,3.5,09e20_00040
