,metric/num_BTSP_events_(shifted_0),metric/num_BTSP_positions_(shifted_0),metric/first_BTSP_time_(shifted_0),metric/first_BTSP_relative_position_(shifted_0),metric/max_BTSP_ramp_(shifted_0),metric/PC_weight_peak_relative_position_(shifted_0),metric/PC_weight_width_(shifted_0),metric/PC_weight_ratio_pre_post_(shifted_0),metric/num_BTSP_events_(shifted_1),metric/num_BTSP_positions_(shifted_1),metric/first_BTSP_time_(shifted_1),metric/first_BTSP_relative_position_(shifted_1),metric/max_BTSP_ramp_(shifted_1),metric/PC_weight_peak_relative_position_(shifted_1),metric/PC_weight_width_(shifted_1),metric/PC_weight_ratio_pre_post_(shifted_1),metric/num_BTSP_events_(shifted_2),metric/num_BTSP_positions_(shifted_2),metric/first_BTSP_time_(shifted_2),metric/first_BTSP_relative_position_(shifted_2),metric/max_BTSP_ramp_(shifted_2),metric/PC_weight_peak_relative_position_(shifted_2),metric/PC_weight_width_(shifted_2),metric/PC_weight_ratio_pre_post_(shifted_2),metric/num_BTSP_events_(shifted_3),metric/num_BTSP_positions_(shifted_3),metric/first_BTSP_time_(shifted_3),metric/first_BTSP_relative_position_(shifted_3),metric/max_BTSP_ramp_(shifted_3),metric/PC_weight_peak_relative_position_(shifted_3),metric/PC_weight_width_(shifted_3),metric/PC_weight_ratio_pre_post_(shifted_3),metric/num_BTSP_events_(shifted_4),metric/num_BTSP_positions_(shifted_4),metric/first_BTSP_time_(shifted_4),metric/first_BTSP_relative_position_(shifted_4),metric/max_BTSP_ramp_(shifted_4),metric/PC_weight_peak_relative_position_(shifted_4),metric/PC_weight_width_(shifted_4),metric/PC_weight_ratio_pre_post_(shifted_4),metric/num_BTSP_events_(shifted_5),metric/num_BTSP_positions_(shifted_5),metric/first_BTSP_time_(shifted_5),metric/first_BTSP_relative_position_(shifted_5),metric/max_BTSP_ramp_(shifted_5),metric/PC_weight_peak_relative_position_(shifted_5),metric/PC_weight_width_(shifted_5),metric/PC_weight_ratio_pre_post_(shifted_5),metric/num_BTSP_events_(shifted_6),metric/num_BTSP_positions_(shifted_6),metric/first_BTSP_time_(shifted_6),metric/first_BTSP_relative_position_(shifted_6),metric/max_BTSP_ramp_(shifted_6),metric/PC_weight_peak_relative_position_(shifted_6),metric/PC_weight_width_(shifted_6),metric/PC_weight_ratio_pre_post_(shifted_6),metric/num_BTSP_events_(shifted_7),metric/num_BTSP_positions_(shifted_7),metric/first_BTSP_time_(shifted_7),metric/first_BTSP_relative_position_(shifted_7),metric/max_BTSP_ramp_(shifted_7),metric/PC_weight_peak_relative_position_(shifted_7),metric/PC_weight_width_(shifted_7),metric/PC_weight_ratio_pre_post_(shifted_7),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
10,1.0,1.0,55.260000000001334,0.0041468040456313915,1.0,-0.049999999999998934,0.5127631356194473,1.148256977299546,1.0,1.0,336.98999999993526,-0.011523391402719074,1.0,0.050000000000001155,0.6018010047254765,1.2741762991796066,1.0,1.0,578.5799999997156,-0.0017212471373402316,1.0,0.45000000000000107,0.9259351519258208,1.5312159741769906,2.0,2.0,817.829999999498,0.007209558487527801,1.0,-0.04999999999999938,0.527632972682142,0.7085819427413489,2.0,1.0,1140.6899999992045,0.010169859569949535,1.0,-0.049999999999999156,0.5704421083228681,0.7406855926583296,2.0,2.0,1300.8299999990588,0.018229401771558962,1.0,-0.04999999999999927,0.6335204958615337,0.9596625517287471,1.0,1.0,1563.7199999988197,0.0019450489131305204,1.0,1.1500000000000004,0.6274020746529556,0.9577263147490029,2.0,1.0,1802.9699999986021,0.010959193991781468,1.0,-0.04999999999999849,1.3601767973245704,2.0946395456886737,1759200334,,False,1,32438_00010,2025-09-30_03-45-34,142.472154378891,142.472154378891,4006609,cnl-brain9,155.198.99.250,142.472154378891,1,0.12,0.2,1.0,32438_00010
11,1.0,1.0,54.93000000000132,0.005098891540533224,1.25,-0.049999999999998934,0.5783600021236084,1.1403203324351519,1.0,1.0,337.6199999999347,-0.017779050352857872,1.25,0.050000000000001155,0.6337377151750254,1.2521455634845096,1.0,1.0,578.2799999997159,-0.0013385725267314186,1.0,0.350000000000001,0.9583810551275551,1.0074132743954594,2.0,2.0,821.2799999994949,0.009632540456004257,1.0,-0.04999999999999938,0.5028882789199383,0.6791746693669793,2.0,1.0,1062.9599999992752,0.01918597272264222,1.25,-0.049999999999999156,0.6648310417898124,0.7546283063036847,2.0,2.0,1303.2299999990566,0.011696061831817706,1.25,-0.04999999999999927,0.6202437783277357,0.9527439028831135,1.0,1.0,1565.699999998818,0.011843614413256098,1.0,1.1500000000000004,0.6104092809910524,0.9509006812688487,2.0,1.0,1802.8799999986022,0.014274258241995241,1.0,2.550000000000001,0.6072940247231156,0.9521445265797346,1759200340,,False,1,32438_00011,2025-09-30_03-45-40,148.33594512939453,148.33594512939453,4006610,cnl-brain9,155.198.99.250,148.33594512939453,1,0.12,0.25,1.0,32438_00011
12,1.0,1.0,56.67000000000139,0.020410604525886722,1.0,-0.049999999999998934,0.6464744675882104,1.0895807583257409,1.0,1.0,335.36999999993674,-0.00695495435483906,1.25,0.050000000000001155,0.6315678429575438,1.2835006256146448,1.0,1.0,579.2999999997149,-0.01474685237807316,1.5,0.45000000000000107,0.9504646352705692,1.4898196562814512,2.0,2.0,818.1899999994977,0.008551670162147751,1.25,-0.04999999999999938,0.4662128465102171,0.6577770287294308,2.0,1.0,1058.3099999992794,0.009873996877165503,1.5,0.7500000000000007,0.5394359061356275,0.674288579294509,2.0,1.0,1297.0499999990623,0.01521990395735473,1.25,-0.04999999999999927,0.6429667255906997,0.9462205183524464,1.0,1.0,1559.5199999988236,0.008787306573622367,1.0,1.1500000000000004,0.6385159671054572,0.9447332423259001,2.0,1.0,1798.649999998606,0.01917382346268859,1.25,-0.04999999999999849,1.4223495232342915,1.9509219304934844,1759200333,,False,1,32438_00012,2025-09-30_03-45-33,141.94524216651917,141.94524216651917,4006611,cnl-brain9,155.198.99.250,141.94524216651917,1,0.12,0.30000000000000004,1.0,32438_00012
13,2.0,2.0,55.590000000001346,-6.783970746093715e-05,1.5,-0.049999999999998934,0.5231704565993427,1.1557098334294345,0.0,0.0,,,0.75,0.15000000000000124,0.5133197336933835,1.287987004255167,2.0,2.0,582.5999999997119,-0.0007850687918615762,1.5,0.05000000000000071,1.0501700359729407,0.9172529449254946,2.0,2.0,823.2599999994931,0.01941378694566609,1.5,0.5500000000000007,1.6478681495419876,0.9813428691697262,2.0,1.0,1098.269999999243,0.01741910985248807,1.5,-0.049999999999999156,0.6316795617369626,0.6500827220071433,2.0,1.0,1338.5699999990245,0.012111954671655156,1.25,2.3500000000000005,1.7858240828775491,0.8941486554240278,1.0,1.0,1599.749999998787,-0.003566459085193152,1.5,-2.4499999999999993,1.7761335244753926,0.9033640101960448,2.0,1.0,1837.9499999985703,0.02397558833313873,1.0,-0.34999999999999876,2.005091829585518,0.6634449247557112,1759200336,,False,1,32438_00013,2025-09-30_03-45-36,144.94413471221924,144.94413471221924,4006612,cnl-brain9,155.198.99.250,144.94413471221924,1,0.12,0.35000000000000003,1.0,32438_00013
14,2.0,1.0,55.74000000000135,0.00393271239514581,1.5,-0.049999999999998934,0.5354921791912961,1.2036326700249278,1.0,1.0,338.09999999993425,0.006102041329697272,1.0,0.15000000000000124,0.620519995579389,1.7119169653412172,2.0,2.0,575.9999999997179,-0.0005396813039686421,1.5,0.05000000000000071,0.9977660806297166,0.6785446760839717,2.0,2.0,814.4399999995011,0.014308824341251913,1.75,0.6500000000000008,1.59677179527475,0.754274507037844,3.0,1.0,1055.1299999992823,0.013682898780030817,1.75,-0.049999999999999156,0.5409213104846533,0.6471710732131938,3.0,2.0,1293.1499999990658,0.019500535535831753,1.5,-0.04999999999999927,0.5190405006324902,0.9291629559082544,2.0,2.0,1557.2099999988257,0.007140713986717451,1.5,1.1500000000000004,0.5130176543780149,0.9263792512396845,2.0,1.0,1796.459999998608,0.025246868188181892,1.25,2.550000000000001,0.5108196483499614,0.9298105848283068,1759200339,,False,1,32438_00014,2025-09-30_03-45-39,147.40517473220825,147.40517473220825,4006613,cnl-brain9,155.198.99.250,147.40517473220825,1,0.12,0.4,1.0,32438_00014
15,1.0,1.0,54.96000000000132,-0.00019640781371510485,1.0,-0.049999999999998934,0.4668390705425316,1.1944292594243384,1.0,1.0,499.28999999978765,-0.012061075699070223,1.0,0.15000000000000124,0.4668390705425316,1.1944292594243384,1.0,1.0,577.4099999997167,0.002642432705109332,1.0,0.45000000000000107,0.9201124010456021,1.5089824002362722,1.0,1.0,856.8599999994625,0.007991640811730871,1.0,1.0500000000000012,0.9592041431083285,1.489639732319739,0.0,0.0,,,0.75,1.8500000000000012,0.9592041431083285,1.489639732319739,1.0,1.0,1333.2899999990293,0.005966488448619023,1.0,2.8500000000000014,1.559090480852451,1.4885691750114012,1.0,1.0,1556.6699999988261,0.0020556537547617992,1.0,-1.9499999999999988,1.7041505218171809,1.5432143174061257,0.0,0.0,,,0.75,-0.5499999999999985,1.7041505218171809,1.5432143174061257,1759200329,,False,1,32438_00015,2025-09-30_03-45-29,137.88787388801575,137.88787388801575,4006614,cnl-brain9,155.198.99.250,137.88787388801575,1,0.12,0.2,1.1,32438_00015
16,1.0,1.0,54.990000000001324,0.0020751467794033474,1.0,-0.049999999999998934,0.48483627652526096,1.1561482436227843,1.0,1.0,336.149999999936,-0.013078605655791442,1.0,0.050000000000001155,0.611562954164218,1.232789908529097,1.0,1.0,576.5699999997174,-0.0010668192135949717,1.25,0.45000000000000107,0.9355380969869955,1.4555422541574947,2.0,2.0,857.8499999994616,0.01906150158483122,1.0,-0.04999999999999938,0.5979992811457908,0.6857297693811387,2.0,1.0,1057.52999999928,0.012853275401670361,1.0,-0.049999999999999156,0.6354501108573138,0.6933910997572205,2.0,2.0,1373.6099999989926,0.011484962650911257,1.0,-0.04999999999999927,0.5900110293483098,0.9282897992752728,1.0,1.0,1593.9899999987922,0.0030026327508245743,1.0,1.1500000000000004,0.5837177265918958,0.9268097034446044,2.0,1.0,1832.2199999985755,0.00948926512277204,1.0,2.550000000000001,0.5787266264245956,0.9291530466094576,1759200342,,False,1,32438_00016,2025-09-30_03-45-42,150.28618621826172,150.28618621826172,4006615,cnl-brain9,155.198.99.250,150.28618621826172,1,0.12,0.25,1.1,32438_00016
17,1.0,1.0,55.50000000000134,0.0038230263248211216,1.25,-0.049999999999998934,0.5601109991444271,1.1472827526176053,1.0,1.0,338.66999999993374,-0.007763140385827594,1.25,0.050000000000001155,0.6589610705929476,1.2435997241230086,1.0,1.0,580.0499999997143,-0.0001746520683489905,1.0,0.45000000000000107,0.9676180397336811,1.4978130959049782,2.0,2.0,821.099999999495,0.009102779320512955,1.0,-0.04999999999999938,0.5795482613248262,0.6711068471934242,2.0,1.0,1064.0399999992742,0.01884578425063621,1.0,-0.049999999999999156,0.5980578664598022,0.6991938071917108,2.0,2.0,1303.3199999990566,0.012453484036494489,1.25,-0.04999999999999927,0.569736064751988,0.9246930111740057,1.0,1.0,1565.0699999988185,0.019217954010363414,1.0,1.1500000000000004,0.5597029993640626,0.9222950324622962,2.0,1.0,1803.9599999986012,0.025206510204341726,1.0,2.550000000000001,0.555160406000083,0.9263794686713535,1759200340,,False,1,32438_00017,2025-09-30_03-45-40,148.89646410942078,148.89646410942078,4006616,cnl-brain9,155.198.99.250,148.89646410942078,1,0.12,0.30000000000000004,1.1,32438_00017
18,1.0,1.0,54.66000000000131,0.007605624943715306,1.0,-0.049999999999998934,0.5296277671394103,1.1306681527675435,1.0,1.0,335.03999999993704,-0.011391738692030362,1.25,0.050000000000001155,0.6110349573432599,1.2374901307873365,1.0,1.0,576.2699999997177,0.00021396512330662532,1.25,0.45000000000000107,0.9167684564401437,1.4897007895661243,2.0,2.0,815.3099999995003,0.01959092381151173,1.25,-0.04999999999999938,0.6153007881469406,0.6833242110843651,2.0,1.0,1093.859999999247,0.013509759421873824,1.25,-0.049999999999999156,0.6560567255288416,0.6755733176962047,2.0,2.0,1333.1099999990295,0.008434508870351465,1.25,-0.04999999999999927,0.6186899017653025,0.9368695941599835,2.0,2.0,1594.9199999987914,0.013774567414608363,1.0,-0.049999999999998934,0.8253034684001985,0.7652027111449562,2.0,1.0,1831.2899999985764,0.010277624806136032,1.25,1.450000000000002,0.727225830175934,1.1240569744213187,1759200335,,False,1,32438_00018,2025-09-30_03-45-35,143.42041182518005,143.42041182518005,4006617,cnl-brain9,155.198.99.250,143.42041182518005,1,0.12,0.35000000000000003,1.1,32438_00018
19,1.0,1.0,54.990000000001324,0.0022880427591966956,1.25,-0.049999999999998934,0.5090787260131449,1.1480363446358992,1.0,1.0,333.7799999999382,-0.015886425914676483,1.5,0.050000000000001155,0.5811244966725941,1.329597356780524,1.0,1.0,576.7199999997173,-0.003582199352449855,1.5,0.45000000000000107,0.9146387761892179,1.5879450553462564,2.0,2.0,816.3899999994993,0.002490613811151121,1.5,-0.04999999999999938,0.518854261724564,0.673047749236733,2.0,1.0,1055.6399999992818,0.01814107801766318,1.5,-0.049999999999999156,0.618327216774452,0.7509914704920798,2.0,2.0,1294.3799999990647,0.011759336839171186,1.5,-0.04999999999999927,0.5977189315193103,0.977146253457289,2.0,1.0,1557.1799999988257,0.005107455975886133,1.5,-0.049999999999998934,0.7863138859919943,0.7525114722951103,2.0,1.0,1796.7299999986078,0.016978370417538358,1.25,1.3500000000000014,0.7223922501049627,0.6726475468787227,1759200332,,False,1,32438_00019,2025-09-30_03-45-32,139.9918074607849,139.9918074607849,4006618,cnl-brain9,155.198.99.250,139.9918074607849,1,0.12,0.4,1.1,32438_00019
