,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
36,2,0,0,2,0,0,77.22000000000216,,,1.0,0.5,0.0,0.9870361970671143,0.9870361970671143,0.9870361970671143,-0.05017568371910164,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725732,,False,1,a232c_00036,2025-05-08_18-35-32,84.84372329711914,84.84372329711914,2731135,cnl-brain9,155.198.99.250,84.84372329711914,1,0.13,0.3,1.0,a232c_00036
37,3,0,0,1,0,0,52.47000000000123,,,1.25,0.0,0.75,1.2328278928813179,1.2328278928813179,1.2328278928813179,-0.024583208409964197,,,-0.05000000000000071,-0.05000000000000071,-0.05000000000000071,1746725721,,False,1,a232c_00037,2025-05-08_18-35-21,74.19114875793457,74.19114875793457,2731136,cnl-brain9,155.198.99.250,74.19114875793457,1,0.13,0.4,1.0,a232c_00037
38,2,5,10,1,2,4,48.81000000000109,282.59999999998473,566.5199999997266,1.75,12.5,33.5,0.9893094337359487,1.1884580663318869,0.8709735218310927,0.007379428316448777,0.020016405983074748,0.1548648549826881,0.049999999999998934,-0.05000000000000071,0.049999999999998934,1746725720,,False,1,a232c_00038,2025-05-08_18-35-20,72.2869975566864,72.2869975566864,2731137,cnl-brain9,155.198.99.250,72.2869975566864,1,0.13,0.5,1.0,a232c_00038
39,3,2,9,1,1,4,46.23000000000099,363.17999999991144,573.5999999997201,1.25,1.5,29.75,1.0519372200362311,1.0534779267304348,1.0733885978654536,-0.05024979131066454,0.008814233616307288,0.007848556562569886,-0.05000000000000071,-0.05000000000000071,-0.05000000000000071,1746725727,,False,1,a232c_00039,2025-05-08_18-35-27,79.68017625808716,79.68017625808716,2731138,cnl-brain9,155.198.99.250,79.68017625808716,1,0.13,0.6,1.0,a232c_00039
40,0,0,0,0,0,0,,,,0.75,0.75,0.75,,,,,,,,,,1746725719,,False,1,a232c_00040,2025-05-08_18-35-19,72.19657349586487,72.19657349586487,2731139,cnl-brain9,155.198.99.250,72.19657349586487,1,0.13,0.2,1.2,a232c_00040
41,1,1,0,1,1,0,41.820000000000825,296.4599999999721,,1.25,1.0,0.0,0.9882843106291223,0.9055438279544279,0.9055438279544279,0.010938527239313434,-0.0018971742667446279,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725722,,False,1,a232c_00041,2025-05-08_18-35-22,74.83716630935669,74.83716630935669,2731140,cnl-brain9,155.198.99.250,74.83716630935669,1,0.13,0.3,1.2,a232c_00041
42,1,1,0,1,1,0,75.12000000000208,318.3599999999522,,1.25,1.25,0.0,1.0325425234513714,0.8980583854185069,0.8980583854185069,0.0018987925251479076,0.01628659764979634,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725722,,False,1,a232c_00042,2025-05-08_18-35-22,74.35242652893066,74.35242652893066,2731141,cnl-brain9,155.198.99.250,74.35242652893066,1,0.13,0.4,1.2,a232c_00042
43,2,0,0,1,0,0,47.130000000001026,,,1.5,0.0,0.75,1.3172057574195775,1.3172057574195775,1.3172057574195775,-0.012457720892257829,,,-0.05000000000000071,-0.05000000000000071,-0.05000000000000071,1746725724,,False,1,a232c_00043,2025-05-08_18-35-24,76.97631096839905,76.97631096839905,2731143,cnl-brain9,155.198.99.250,76.97631096839905,1,0.13,0.5,1.2,a232c_00043
44,2,2,0,2,1,0,78.1500000000022,429.5099999998511,,1.5,1.0,0.5,0.9123715309322882,0.8887793366202563,0.8887793366202563,0.0017517365301373822,0.019911665516185728,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725726,,False,1,a232c_00044,2025-05-08_18-35-26,78.6954779624939,78.6954779624939,2731144,cnl-brain9,155.198.99.250,78.6954779624939,1,0.13,0.6,1.2,a232c_00044
45,0,0,0,0,0,0,,,,0.5,0.5,0.5,,,,,,,,,,1746725723,,False,1,a232c_00045,2025-05-08_18-35-23,75.99958610534668,75.99958610534668,2731145,cnl-brain9,155.198.99.250,75.99958610534668,1,0.13,0.2,1.8,a232c_00045
46,0,0,0,0,0,0,,,,0.75,0.75,0.75,,,,,,,,,,1746725717,,False,1,a232c_00046,2025-05-08_18-35-17,69.58797478675842,69.58797478675842,2731147,cnl-brain9,155.198.99.250,69.58797478675842,1,0.13,0.3,1.8,a232c_00046
47,0,1,0,0,1,0,,479.3399999998058,,0.75,1.0,0.0,,1.1269517076909015,1.1269517076909015,,0.015687427652088637,,,-0.05000000000000071,-0.05000000000000071,1746725725,,False,1,a232c_00047,2025-05-08_18-35-25,77.96894097328186,77.96894097328186,2731149,cnl-brain9,155.198.99.250,77.96894097328186,1,0.13,0.4,1.8,a232c_00047
48,1,0,0,1,0,0,83.4300000000024,,,1.0,0.5,0.75,0.953474916669114,0.953474916669114,0.953474916669114,-0.010921044915635836,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725726,,False,1,a232c_00048,2025-05-08_18-35-26,78.71065902709961,78.71065902709961,2731151,cnl-brain9,155.198.99.250,78.71065902709961,1,0.13,0.5,1.8,a232c_00048
49,2,0,0,1,0,0,79.38000000000224,,,1.0,0.0,0.0,1.0726189581125813,1.0726189581125813,1.0726189581125813,-0.03838332749948181,,,-0.05000000000000071,-0.05000000000000071,-0.05000000000000071,1746725721,,False,1,a232c_00049,2025-05-08_18-35-21,73.84777879714966,73.84777879714966,2731152,cnl-brain9,155.198.99.250,73.84777879714966,1,0.13,0.6,1.8,a232c_00049
50,7,6,9,3,2,3,47.58000000000104,334.1099999999379,581.9399999997125,15.0,36.0,40.0,1.1450642010559497,0.9179259234465716,1.1560079327418256,-0.03385176022473457,-0.12971466509014418,0.3666697583804024,0.049999999999998934,-0.05000000000000071,-0.2500000000000009,1746725713,,False,1,a232c_00050,2025-05-08_18-35-13,66.1467719078064,66.1467719078064,2731154,cnl-brain9,155.198.99.250,66.1467719078064,1,0.15,0.2,0.6,a232c_00050
51,6,7,9,2,2,2,49.0500000000011,302.60999999996653,577.2299999997168,9.5,34.5,54.0,1.0717332574445722,0.9899130933496225,1.0267432071711393,-0.01477321415944477,-0.09765734478675059,0.35590614915608043,0.049999999999998934,-0.1500000000000008,-0.350000000000001,1746725719,,False,1,a232c_00051,2025-05-08_18-35-19,71.84262585639954,71.84262585639954,2731155,cnl-brain9,155.198.99.250,71.84262585639954,1,0.15,0.3,0.6,a232c_00051
52,7,7,9,3,3,3,46.17000000000099,304.7099999999646,593.7599999997018,21.0,35.25,51.5,1.366331011757799,0.9445909370142115,1.0754297179367898,-0.04751800129898687,-0.08372916717737588,0.46286879020840566,0.049999999999998934,-0.05000000000000071,-0.5500000000000007,1746725726,,False,1,a232c_00052,2025-05-08_18-35-26,79.19890189170837,79.19890189170837,2731157,cnl-brain9,155.198.99.250,79.19890189170837,1,0.15,0.4,0.6,a232c_00052
53,7,7,9,3,2,3,46.620000000001006,298.52999999997024,584.72999999971,23.25,25.5,49.0,0.8872034563997638,1.058363592063336,0.917764219422347,-0.03088564225434398,-0.11584818371891892,0.34484475154687155,0.14999999999999902,-0.1500000000000008,-0.2500000000000009,1746725727,,False,1,a232c_00053,2025-05-08_18-35-27,80.24983835220337,80.24983835220337,2731158,cnl-brain9,155.198.99.250,80.24983835220337,1,0.15,0.5,0.6,a232c_00053
54,7,7,9,2,2,4,45.240000000000954,291.5399999999766,568.0799999997251,27.0,30.25,58.75,1.6236845762928924,1.0752555604660332,1.012955397008844,0.00803384231152382,-0.08119894682089335,0.40054499002485944,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746725727,,False,1,a232c_00054,2025-05-08_18-35-27,80.2115089893341,80.2115089893341,2731160,cnl-brain9,155.198.99.250,80.2115089893341,1,0.15,0.6,0.6,a232c_00054
55,2,0,0,1,0,0,51.600000000001195,,,1.0,0.5,0.5,0.957356654473253,0.957356654473253,0.957356654473253,-0.03179118412680282,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725724,,False,1,a232c_00055,2025-05-08_18-35-24,76.86973738670349,76.86973738670349,2731162,cnl-brain9,155.198.99.250,76.86973738670349,1,0.15,0.2,0.8,a232c_00055
56,6,7,9,2,2,3,46.470000000001,290.4299999999776,574.9799999997189,21.75,39.25,35.0,1.091089223132945,0.95743253953982,0.9763562643563294,0.020750455975523163,-0.09966064014192932,0.34240239305077136,0.049999999999998934,-0.05000000000000071,0.049999999999998934,1746725725,,False,1,a232c_00056,2025-05-08_18-35-25,77.72413158416748,77.72413158416748,2731164,cnl-brain9,155.198.99.250,77.72413158416748,1,0.15,0.3,0.8,a232c_00056
57,7,7,9,3,2,4,46.470000000001,297.4799999999712,573.8699999997199,25.75,38.5,49.75,1.3855428818987834,0.9568885735729891,0.8677801960014526,0.009566552284854257,-0.07779220752177807,0.4874504858612676,0.049999999999998934,-0.05000000000000071,0.4499999999999993,1746725718,,False,1,a232c_00057,2025-05-08_18-35-18,70.92231822013855,70.92231822013855,2731166,cnl-brain9,155.198.99.250,70.92231822013855,1,0.15,0.4,0.8,a232c_00057
58,6,7,9,2,3,2,76.11000000000212,277.0499999999898,556.109999999736,7.5,37.0,62.5,1.0139485345567099,1.1519042875784555,0.9144775399056339,-0.028948700158329732,-0.12386443457235163,0.3079378408210176,0.049999999999998934,-0.2500000000000009,-0.350000000000001,1746725718,,False,1,a232c_00058,2025-05-08_18-35-18,70.48679280281067,70.48679280281067,2731168,cnl-brain9,155.198.99.250,70.48679280281067,1,0.15,0.5,0.8,a232c_00058
59,8,7,9,3,2,4,46.14000000000099,300.29999999996863,576.2099999997178,18.0,28.0,53.0,1.1119765500896581,1.0363638212192468,1.0056272086618587,-0.029711143772956472,-0.044567219707324135,0.43322130052676533,0.14999999999999902,0.049999999999998934,0.14999999999999902,1746725730,,False,1,a232c_00059,2025-05-08_18-35-30,82.793785572052,82.793785572052,2731169,cnl-brain9,155.198.99.250,82.793785572052,1,0.15,0.6,0.8,a232c_00059
60,1,0,0,1,0,0,45.270000000000955,,,1.0,0.75,0.5,1.1739754107939084,1.1739754107939084,1.1739754107939084,-0.025769392159363136,,,-0.05000000000000071,-0.05000000000000071,-0.05000000000000071,1746725717,,False,1,a232c_00060,2025-05-08_18-35-17,69.44950604438782,69.44950604438782,2731170,cnl-brain9,155.198.99.250,69.44950604438782,1,0.15,0.2,1.0,a232c_00060
61,2,0,0,2,0,0,48.03000000000106,,,1.25,0.75,0.0,0.9832674176796172,0.9832674176796172,0.9832674176796172,-0.047889750743026926,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725720,,False,1,a232c_00061,2025-05-08_18-35-20,73.28551292419434,73.28551292419434,2731172,cnl-brain9,155.198.99.250,73.28551292419434,1,0.15,0.3,1.0,a232c_00061
62,2,1,0,1,1,0,47.100000000001025,388.979999999888,,1.25,1.0,0.0,0.952649804070867,0.8867125007945659,0.8867125007945659,-0.015024767679646445,0.020796745820467866,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725728,,False,1,a232c_00062,2025-05-08_18-35-28,81.39958930015564,81.39958930015564,2731173,cnl-brain9,155.198.99.250,81.39958930015564,1,0.15,0.4,1.0,a232c_00062
63,2,4,9,2,1,4,83.28000000000239,440.639999999841,617.0999999996806,1.75,7.5,26.5,0.9181785631461693,0.6896235498574084,1.0043763162754527,0.025180692614506395,-0.003278212374782097,0.15905568127070602,0.049999999999998934,0.049999999999998934,-0.05000000000000071,1746725728,,False,1,a232c_00063,2025-05-08_18-35-28,81.0537428855896,81.0537428855896,2731175,cnl-brain9,155.198.99.250,81.0537428855896,1,0.15,0.5,1.0,a232c_00063
64,3,7,9,1,3,4,48.990000000001096,292.199999999976,584.0099999997107,1.5,35.75,46.75,0.952421936101993,1.3718895888302918,1.083523182159923,-0.05291189315218903,0.04230804127739862,0.13008441531169757,0.049999999999998934,-0.350000000000001,-0.45000000000000107,1746725724,,False,1,a232c_00064,2025-05-08_18-35-24,77.09533548355103,77.09533548355103,2731176,cnl-brain9,155.198.99.250,77.09533548355103,1,0.15,0.6,1.0,a232c_00064
65,0,0,0,0,0,0,,,,0.75,0.75,0.75,,,,,,,,,,1746725725,,False,1,a232c_00065,2025-05-08_18-35-25,77.18978524208069,77.18978524208069,2731179,cnl-brain9,155.198.99.250,77.18978524208069,1,0.15,0.2,1.2,a232c_00065
66,1,1,0,1,1,0,53.49000000000127,459.50999999982383,,1.0,1.0,0.0,1.0198856989592837,1.002056120026687,1.002056120026687,-0.01828637745143258,0.04147482384815637,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725719,,False,1,a232c_00066,2025-05-08_18-35-19,71.9143557548523,71.9143557548523,2731180,cnl-brain9,155.198.99.250,71.9143557548523,1,0.15,0.3,1.2,a232c_00066
67,1,1,0,1,1,0,48.720000000001086,350.84999999992266,,1.0,1.25,0.0,0.9475202133169782,0.8349438898500849,0.8349438898500849,-0.030345215898178957,0.02053033843563634,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746725722,,False,1,a232c_00067,2025-05-08_18-35-22,74.98681163787842,74.98681163787842,2731184,cnl-brain9,155.198.99.250,74.98681163787842,1,0.15,0.4,1.2,a232c_00067
