,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
418,1.0,1.0,50.10000000000114,0.0024313717890285247,1.25,-0.049999999999998934,0.623831322267733,1.039489287241881,1.0,1.0,288.29999999997955,-0.030945811083031405,1.0,-0.049999999999998934,0.7914500952032237,1.0583154019707903,0.0,0.0,,,0.0,-0.049999999999998934,0.7914500952032237,1.0583154019707903,1759204256,,False,1,8b00c_00418,2025-09-30_04-50-56,53.43267369270325,53.43267369270325,4050750,cnl-brain9,155.198.99.250,53.43267369270325,1,0.15,0.35000000000000003,1.1,8b00c_00418
419,2.0,1.0,47.04000000000102,0.015919334826633325,1.25,0.05000000000000071,0.5308003720700953,1.1061682198713874,0.0,0.0,,,0.75,0.05000000000000071,0.5308003720700953,1.1061682198713874,0.0,0.0,,,0.0,0.05000000000000071,0.5308003720700953,1.1061682198713874,1759204257,,False,1,8b00c_00419,2025-09-30_04-50-57,54.12983727455139,54.12983727455139,4050756,cnl-brain9,155.198.99.250,54.12983727455139,1,0.15,0.4,1.1,8b00c_00419
420,0.0,0.0,,,0.75,,0.0,,0.0,0.0,,,0.75,,0.0,,0.0,0.0,,,0.75,,0.0,,1759204257,,False,1,8b00c_00420,2025-09-30_04-50-57,53.87713885307312,53.87713885307312,4050751,cnl-brain9,155.198.99.250,53.87713885307312,1,0.15,0.2,1.2,8b00c_00420
421,1.0,1.0,80.67000000000229,0.007706795943711153,1.0,0.05000000000000071,0.5855950561073118,1.15465699450818,0.0,0.0,,,0.5,0.05000000000000071,0.5855950561073118,1.15465699450818,0.0,0.0,,,0.75,0.05000000000000071,0.5855950561073118,1.15465699450818,1759204256,,False,1,8b00c_00421,2025-09-30_04-50-56,52.13471031188965,52.13471031188965,4050769,cnl-brain9,155.198.99.250,52.13471031188965,1,0.15,0.25,1.2,8b00c_00421
422,1.0,1.0,85.23000000000246,0.023915299837450554,1.0,-0.049999999999998934,0.545739650684073,0.9282946410629513,1.0,1.0,469.199999999815,-0.020125876072841553,1.0,-0.049999999999998934,0.8082177668732875,0.923580783141674,0.0,0.0,,,0.0,-0.049999999999998934,0.8082177668732875,0.923580783141674,1759204257,,False,1,8b00c_00422,2025-09-30_04-50-57,52.721325397491455,52.721325397491455,4050771,cnl-brain9,155.198.99.250,52.721325397491455,1,0.15,0.30000000000000004,1.2,8b00c_00422
423,1.0,1.0,44.760000000000936,0.008739558230102418,1.25,0.05000000000000071,0.6291762770649529,1.4181629859464189,1.0,1.0,412.52999999986656,-0.0012495628572173345,1.0,-0.049999999999998934,0.5518071846852677,1.2939384254208184,0.0,0.0,,,0.0,-0.049999999999998934,0.5518071846852677,1.2939384254208184,1759204256,,False,1,8b00c_00423,2025-09-30_04-50-56,51.739750385284424,51.739750385284424,4050797,cnl-brain9,155.198.99.250,51.739750385284424,1,0.15,0.35000000000000003,1.2,8b00c_00423
424,1.0,1.0,114.48000000000357,0.04218112158400977,1.0,-0.049999999999998934,0.684724824955599,1.0720315597748662,1.0,1.0,369.65999999990555,-0.01632320465891146,1.0,-0.049999999999998934,0.9064343029576993,0.9569068265427259,0.0,0.0,,,0.0,-0.049999999999998934,0.9064343029576993,0.9569068265427259,1759204257,,False,1,8b00c_00424,2025-09-30_04-50-57,52.37839150428772,52.37839150428772,4050773,cnl-brain9,155.198.99.250,52.37839150428772,1,0.15,0.4,1.2,8b00c_00424
425,1.0,1.0,54.4500000000013,0.011078793131546139,1.25,-0.049999999999998934,0.5358166183734041,1.3025051920185209,1.0,1.0,346.8299999999263,-0.009680123065651802,1.0,-0.049999999999998934,0.5054893845784671,1.0217420503550623,0.0,0.0,,,0.75,-0.049999999999998934,0.5054893845784671,1.0217420503550623,1759204260,,False,1,8b00c_00425,2025-09-30_04-51-00,54.685128688812256,54.685128688812256,4050800,cnl-brain9,155.198.99.250,54.685128688812256,1,0.18,0.2,0.8,8b00c_00425
426,2.0,2.0,48.48000000000108,0.018981575983624488,1.25,-0.049999999999998934,0.46316484320942886,1.4968831030108465,3.0,1.0,438.419999999843,0.0039328381213015184,1.5,-0.049999999999998934,0.510202670208737,1.0965234715426109,8.0,2.0,579.179999999715,-0.0032537349449741626,2.0,-0.049999999999998934,0.6371800256717308,1.0590330714397127,1759204259,,False,1,8b00c_00426,2025-09-30_04-50-59,53.081960916519165,53.081960916519165,4050761,cnl-brain9,155.198.99.250,53.081960916519165,1,0.18,0.25,0.8,8b00c_00426
427,3.0,1.0,48.690000000001085,0.03350500394501443,1.25,0.05000000000000071,0.8160061103475789,1.1157913489365208,5.0,2.0,318.9299999999517,0.008901948518187819,1.75,0.05000000000000071,0.6173768081366804,0.7193074128761672,8.0,2.0,564.5399999997284,-0.011142157369700811,2.25,0.05000000000000071,0.6028813407175222,0.8635979896649439,1759204258,,False,1,8b00c_00427,2025-09-30_04-50-58,51.28018522262573,51.28018522262573,4050772,cnl-brain9,155.198.99.250,51.28018522262573,1,0.18,0.30000000000000004,0.8,8b00c_00427
