,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr_fact,config/inhibit_weight,config/soma_regularization_alpha,logdir
541,5,5,6,1,2,4,9.92999999999998,42.21000000000084,68.94000000000185,1.75,1.5,1.75,0.7333119800428639,0.5818848330941354,0.6993649498142306,-0.03761384427859915,0.06307678455218069,0.036012542138382675,0.359375,-0.109375,0.359375,1704998017,,False,1,d26e6_00541,2024-01-11_18-33-37,4.958310127258301,4.958310127258301,89029,cnl-brain10,155.198.100.139,4.958310127258301,1,175.0,2.75,0.8500000000000001,d26e6_00541
542,5,5,4,1,2,3,9.719999999999985,41.64000000000082,72.30000000000197,1.75,1.5,1.75,0.7014342790340593,0.5614903262885171,0.6843685063778829,-0.042834536485075514,0.0616018605732912,0.05291789678100839,0.359375,-0.109375,0.359375,1704998019,,False,1,d26e6_00542,2024-01-11_18-33-39,4.958733081817627,4.958733081817627,88975,cnl-brain10,155.198.100.139,4.958733081817627,1,175.0,3.0,0.8500000000000001,d26e6_00542
543,5,5,5,2,1,2,10.019999999999978,42.03000000000083,72.48000000000198,1.75,1.5,1.5,0.6776529721720975,0.5589595751379742,0.8982805015354717,-0.0633699161930027,0.06389877391586174,0.06580388048436964,0.359375,-0.109375,-0.109375,1704998022,,False,1,d26e6_00543,2024-01-11_18-33-42,4.561780691146851,4.561780691146851,89118,cnl-brain10,155.198.100.139,4.561780691146851,1,175.0,3.25,0.8500000000000001,d26e6_00543
544,5,5,6,2,1,3,10.199999999999974,42.15000000000084,68.28000000000182,1.5,1.5,1.5,0.7349632131767727,0.5710966784570556,0.7197786509713171,-0.05010503284942902,0.0624398523622246,0.05842625345145114,0.359375,-0.109375,0.359375,1704998019,,False,1,d26e6_00544,2024-01-11_18-33-39,4.861353397369385,4.861353397369385,89106,cnl-brain10,155.198.100.139,4.861353397369385,1,175.0,3.5,0.8500000000000001,d26e6_00544
545,5,5,6,2,1,4,10.109999999999976,42.57000000000085,68.34000000000182,2.0,1.5,1.75,0.7705547508015037,0.5630461096978471,0.7438313797175775,-0.04824965763598954,0.05989478636045942,0.06200996285496757,0.359375,-0.109375,0.359375,1704998022,,False,1,d26e6_00545,2024-01-11_18-33-42,4.98369288444519,4.98369288444519,89116,cnl-brain10,155.198.100.139,4.98369288444519,1,200.0,2.5,0.8500000000000001,d26e6_00545
546,5,5,5,2,1,4,10.139999999999976,42.03000000000083,72.27000000000197,2.0,1.5,1.75,0.6534705482825599,0.591381240501412,0.8443555109896372,-0.06640799495503036,0.0663757534531344,0.06007041672606139,0.359375,-0.109375,-0.109375,1704998023,,False,1,d26e6_00546,2024-01-11_18-33-43,4.955690622329712,4.955690622329712,88725,cnl-brain10,155.198.100.139,4.955690622329712,1,200.0,2.75,0.8500000000000001,d26e6_00546
547,5,4,6,2,2,4,10.109999999999976,42.75000000000086,69.87000000000188,1.75,1.75,1.75,0.7822184809417007,0.5657707201714921,0.7278556487192772,-0.05334283512324456,0.05994804557852057,0.0580597558557539,0.359375,-0.109375,0.359375,1704998023,,False,1,d26e6_00547,2024-01-11_18-33-43,4.943082094192505,4.943082094192505,88984,cnl-brain10,155.198.100.139,4.943082094192505,1,200.0,3.0,0.8500000000000001,d26e6_00547
548,5,5,6,2,2,4,10.259999999999973,41.70000000000082,68.28000000000182,1.75,1.5,1.5,0.6897137179131162,0.48550991676275,0.6650776470700321,-0.04692717886999587,0.07719888003945796,0.03865561183482924,0.359375,-0.109375,0.359375,1704998023,,False,1,d26e6_00548,2024-01-11_18-33-43,4.886961936950684,4.886961936950684,88982,cnl-brain10,155.198.100.139,4.886961936950684,1,200.0,3.25,0.8500000000000001,d26e6_00548
549,5,5,5,1,1,4,10.199999999999974,41.1900000000008,72.06000000000196,1.75,1.5,1.5,0.7166212394907153,0.5356631681142224,0.9530600703379594,-0.03865105503089383,0.06812345015801241,0.06685491734261462,0.359375,-0.109375,-0.109375,1704998022,,False,1,d26e6_00549,2024-01-11_18-33-42,4.526339292526245,4.526339292526245,88726,cnl-brain10,155.198.100.139,4.526339292526245,1,200.0,3.5,0.8500000000000001,d26e6_00549
550,5,5,5,1,1,3,9.659999999999986,41.70000000000082,72.33000000000197,2.0,1.5,1.75,0.718311661544105,0.6264304098657872,0.7879877408697645,-0.03586789302937776,0.07763601277659571,0.050593025638976,0.359375,-0.109375,-0.015625,1704998023,,False,1,d26e6_00550,2024-01-11_18-33-43,4.918932199478149,4.918932199478149,89117,cnl-brain10,155.198.100.139,4.918932199478149,1,100.0,2.5,0.9,d26e6_00550
