,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
59,2.0,1.0,59.73,0.01856700596001426,1.5,-0.049999999999998934,0.5647757989186317,1.2781014906564934,1.0390087018213274,6.5958743471926935,1776479585,,False,1,c9cff_00059,2026-04-18_03-33-05,25.54395294189453,25.54395294189453,1586232,cnl-brain9,155.198.99.250,25.54395294189453,1,0.2,0.4,0.875,c9cff_00059
60,0.0,0.0,,,0.75,,0.0,,,0.7620586083288017,1776479585,,False,1,c9cff_00060,2026-04-18_03-33-05,25.869498014450073,25.869498014450073,1586233,cnl-brain9,155.198.99.250,25.869498014450073,1,0.2,0.2,1.25,c9cff_00060
61,1.0,1.0,106.29,0.01109689677558423,1.0,-0.049999999999998934,0.5150606038756438,1.2115535376549436,0.7973807573866026,3.693507327010238,1776479585,,False,1,c9cff_00061,2026-04-18_03-33-05,25.93302083015442,25.93302083015442,1586245,cnl-brain9,155.198.99.250,25.93302083015442,1,0.2,0.25,1.25,c9cff_00061
62,1.0,1.0,189.99,0.012201232705397747,1.0,-0.049999999999998934,0.5419404074718734,1.2204536029020476,0.7979294368317682,3.411932747321802,1776479585,,False,1,c9cff_00062,2026-04-18_03-33-05,25.35975408554077,25.35975408554077,1586259,cnl-brain9,155.198.99.250,25.35975408554077,1,0.2,0.30000000000000004,1.25,c9cff_00062
63,1.0,1.0,59.61,0.02433548600052271,1.0,-0.049999999999998934,0.5630441999113942,1.1572395649433092,0.7945484978960761,3.7711152595188993,1776479585,,False,1,c9cff_00063,2026-04-18_03-33-05,25.42958688735962,25.42958688735962,1586249,cnl-brain9,155.198.99.250,25.42958688735962,1,0.2,0.35000000000000003,1.25,c9cff_00063
64,1.0,1.0,58.71,0.01053740365092981,1.25,-0.049999999999998934,0.5068031920935954,1.1985859561624175,0.8010295307282416,4.031489240130049,1776479611,,False,1,c9cff_00064,2026-04-18_03-33-31,25.58880853652954,25.58880853652954,1588423,cnl-brain9,155.198.99.250,25.58880853652954,1,0.2,0.4,1.25,c9cff_00064
65,0.0,0.0,,,0.75,,0.0,,,0.7560184722428464,1776479611,,False,1,c9cff_00065,2026-04-18_03-33-31,25.17612075805664,25.17612075805664,1588424,cnl-brain9,155.198.99.250,25.17612075805664,1,0.2,0.2,1.625,c9cff_00065
66,0.0,0.0,,,0.75,,0.0,,,0.7537364261360693,1776479611,,False,1,c9cff_00066,2026-04-18_03-33-31,25.077492237091064,25.077492237091064,1588425,cnl-brain9,155.198.99.250,25.077492237091064,1,0.2,0.25,1.625,c9cff_00066
67,0.0,0.0,,,0.75,,0.0,,,0.7513584404432418,1776479613,,False,1,c9cff_00067,2026-04-18_03-33-33,24.843605518341064,24.843605518341064,1588656,cnl-brain9,155.198.99.250,24.843605518341064,1,0.2,0.30000000000000004,1.625,c9cff_00067
68,1.0,1.0,327.93,0.005945765161738947,1.0,-0.049999999999998934,0.4856718094945074,1.2980531350408693,0.8074273045005966,1.1616408965123424,1776479614,,False,1,c9cff_00068,2026-04-18_03-33-34,26.04950451850891,26.04950451850891,1588655,cnl-brain9,155.198.99.250,26.04950451850891,1,0.2,0.35000000000000003,1.625,c9cff_00068
69,1.0,1.0,58.65,0.006254979915621295,1.0,-0.049999999999998934,0.47657857796891756,1.2235992623151213,0.8061491763217015,3.9501290126099344,1776479613,,False,1,c9cff_00069,2026-04-18_03-33-33,24.638571739196777,24.638571739196777,1588662,cnl-brain9,155.198.99.250,24.638571739196777,1,0.2,0.4,1.625,c9cff_00069
70,0.0,0.0,,,0.5,,0.0,,,0.7522259938506125,1776479614,,False,1,c9cff_00070,2026-04-18_03-33-34,25.598368406295776,25.598368406295776,1588653,cnl-brain9,155.198.99.250,25.598368406295776,1,0.2,0.2,2.0,c9cff_00070
71,0.0,0.0,,,0.5,,0.0,,,0.7529916741434527,1776479613,,False,1,c9cff_00071,2026-04-18_03-33-33,24.662531852722168,24.662531852722168,1588659,cnl-brain9,155.198.99.250,24.662531852722168,1,0.2,0.25,2.0,c9cff_00071
72,0.0,0.0,,,0.5,,0.0,,,0.7482780429517044,1776479613,,False,1,c9cff_00072,2026-04-18_03-33-33,24.84068250656128,24.84068250656128,1588668,cnl-brain9,155.198.99.250,24.84068250656128,1,0.2,0.30000000000000004,2.0,c9cff_00072
73,0.0,0.0,,,0.75,,0.0,,,0.748041852390816,1776479612,,False,1,c9cff_00073,2026-04-18_03-33-32,24.412742853164673,24.412742853164673,1588658,cnl-brain9,155.198.99.250,24.412742853164673,1,0.2,0.35000000000000003,2.0,c9cff_00073
74,0.0,0.0,,,0.75,,0.0,,,0.749308114153235,1776479614,,False,1,c9cff_00074,2026-04-18_03-33-34,25.993248462677002,25.993248462677002,1588667,cnl-brain9,155.198.99.250,25.993248462677002,1,0.2,0.4,2.0,c9cff_00074
75,9.0,1.0,58.98,0.004172842990762149,6.75,-0.14999999999999902,0.4614085258179208,2.042900678779266,1.4125865395676442,6.835037614296169,1776479613,,False,1,c9cff_00075,2026-04-18_03-33-33,24.92443037033081,24.92443037033081,1588673,cnl-brain9,155.198.99.250,24.92443037033081,1,0.25,0.2,0.5,c9cff_00075
76,9.0,2.0,59.52,0.008176555547392717,7.5,-0.14999999999999902,0.4437089771374625,2.4286494862100887,1.4260064980248055,7.1284866778857925,1776479614,,False,1,c9cff_00076,2026-04-18_03-33-34,25.848382234573364,25.848382234573364,1588677,cnl-brain9,155.198.99.250,25.848382234573364,1,0.25,0.25,0.5,c9cff_00076
77,9.0,1.0,58.11,0.0055394007971880654,7.75,-0.14999999999999902,0.44216421428595654,2.7115681672158307,1.4324906593489162,7.255716147175618,1776479614,,False,1,c9cff_00077,2026-04-18_03-33-34,25.942277193069458,25.942277193069458,1588663,cnl-brain9,155.198.99.250,25.942277193069458,1,0.25,0.30000000000000004,0.5,c9cff_00077
78,9.0,1.0,59.31,0.0046914752347486655,7.25,-0.14999999999999902,0.43794496902062185,3.1888595226779777,1.4493858760594593,7.322782066422608,1776479614,,False,1,c9cff_00078,2026-04-18_03-33-34,26.012778520584106,26.012778520584106,1588680,cnl-brain9,155.198.99.250,26.012778520584106,1,0.25,0.35000000000000003,0.5,c9cff_00078
79,9.0,2.0,60.36,0.010385254744293082,7.75,-0.14999999999999902,0.4796235199344707,2.3927040360788316,1.4209784484365848,7.140470538667981,1776479614,,False,1,c9cff_00079,2026-04-18_03-33-34,25.90747594833374,25.90747594833374,1588674,cnl-brain9,155.198.99.250,25.90747594833374,1,0.25,0.4,0.5,c9cff_00079
