,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/max_normalization_(single),metric/98th_percentile_firingrate_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/max_normalization_(reverse),metric/98th_percentile_firingrate_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/max_normalization_(back_and_forth),metric/98th_percentile_firingrate_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
244,1.0,1.0,58.02,0.015638983781811167,1.0,-0.049999999999998934,0.5311191208887864,1.2666614975176698,0.9207806657634545,5.600029441021527,0.0,0.0,,,0.0,-0.049999999999998934,0.5311191208887864,1.2666614975176698,,5.806486878795136,0.0,0.0,,,0.0,-0.049999999999998934,0.5311191208887864,1.2666614975176698,,5.831815721941073,1776484120,,False,1,00146_00244,2026-04-18_04-48-40,76.4941897392273,76.4941897392273,1709582,cnl-brain9,155.198.99.250,76.4941897392273,1,0.3,0.4,1.625,00146_00244
245,0.0,0.0,,,0.5,,0.0,,,0.7535966137816978,0.0,0.0,,,0.5,,0.0,,,0.7517666418607872,0.0,0.0,,,0.5,,0.0,,,0.7511581052024444,1776484120,,False,1,00146_00245,2026-04-18_04-48-40,76.10486459732056,76.10486459732056,1709656,cnl-brain9,155.198.99.250,76.10486459732056,1,0.3,0.2,2.0,00146_00245
246,0.0,0.0,,,0.5,,0.0,,,0.7493137397021812,0.0,0.0,,,0.5,,0.0,,,0.7488403303238657,0.0,0.0,,,0.5,,0.0,,,0.7491583690322767,1776484121,,False,1,00146_00246,2026-04-18_04-48-41,75.71385383605957,75.71385383605957,1709802,cnl-brain9,155.198.99.250,75.71385383605957,1,0.3,0.25,2.0,00146_00246
247,0.0,0.0,,,0.5,,0.0,,,0.7507902320697488,0.0,0.0,,,0.75,,0.0,,,0.750958549841547,0.0,0.0,,,0.5,,0.0,,,0.7478481210644579,1776484122,,False,1,00146_00247,2026-04-18_04-48-42,76.28051114082336,76.28051114082336,1709882,cnl-brain9,155.198.99.250,76.28051114082336,1,0.3,0.30000000000000004,2.0,00146_00247
248,0.0,0.0,,,0.75,,0.0,,,0.7480701101988835,0.0,0.0,,,0.75,,0.0,,,0.7482687999502767,0.0,0.0,,,0.75,,0.0,,,0.7464208493074238,1776484122,,False,1,00146_00248,2026-04-18_04-48-42,75.71146178245544,75.71146178245544,1709894,cnl-brain9,155.198.99.250,75.71146178245544,1,0.3,0.35000000000000003,2.0,00146_00248
249,0.0,0.0,,,0.75,,0.0,,,0.7464344013046856,0.0,0.0,,,0.75,,0.0,,,0.7494942083823516,0.0,0.0,,,0.75,,0.0,,,0.7477235009355051,1776484124,,False,1,00146_00249,2026-04-18_04-48-44,77.45763063430786,77.45763063430786,1709983,cnl-brain9,155.198.99.250,77.45763063430786,1,0.3,0.4,2.0,00146_00249
250,9.0,1.0,58.89,-7.724066244563232e-05,6.0,-0.049999999999998934,0.5418622954023018,2.2665087043606453,1.156941781254899,6.1585591166918805,9.0,1.0,498.84,0.022548311227431395,6.0,0.05000000000000071,0.4708488828272266,0.5599129357764154,1.1676730502452084,7.115530833643718,9.0,2.0,952.47,-0.019974687675228697,5.5,0.05000000000000071,0.4703405519447945,0.6839362913039991,1.160702068642755,7.003899581875541,1776484124,,False,1,00146_00250,2026-04-18_04-48-44,77.23501634597778,77.23501634597778,1709970,cnl-brain9,155.198.99.250,77.23501634597778,1,0.1,0.2,0.5,00146_00250
251,9.0,2.0,59.31,0.01177507360189134,5.5,-0.049999999999998934,0.49066844681811395,2.7438707469367563,1.1704953006645333,6.469106897419472,9.0,1.0,499.62,0.01471193461959075,5.5,0.05000000000000071,0.4777371762786258,0.6266658195985653,1.1651022849851842,7.174042651624216,9.0,2.0,945.81,-0.023632105541788295,5.25,0.05000000000000071,0.4617959157149687,0.692840046386289,1.1700441075530397,7.058226506102354,1776484126,,False,1,00146_00251,2026-04-18_04-48-46,78.26338624954224,78.26338624954224,1710043,cnl-brain9,155.198.99.250,78.26338624954224,1,0.1,0.25,0.5,00146_00251
252,9.0,1.0,59.34,0.007786694575620423,6.0,-0.049999999999998934,0.5062999218401911,2.7055570693119915,1.162635324399212,6.224988964588767,9.0,1.0,502.92,0.027381788087368797,7.25,0.05000000000000071,0.47573789511700504,0.6044064866343096,1.1570138479459433,7.215115479877471,9.0,2.0,951.69,-0.034739076385301715,6.0,0.05000000000000071,0.45469587024153135,0.7124214250287894,1.1637112253591042,7.192703744612724,1776484126,,False,1,00146_00252,2026-04-18_04-48-46,78.15611219406128,78.15611219406128,1710284,cnl-brain9,155.198.99.250,78.15611219406128,1,0.1,0.30000000000000004,0.5,00146_00252
253,9.0,2.0,58.26,0.00811123468700714,5.5,-0.049999999999998934,0.5051512225844799,2.6285548134298935,1.1652564358835615,6.299826119792737,9.0,1.0,473.28,0.018315738114806912,5.75,0.05000000000000071,0.46664362654461033,0.5528230196663336,1.1638992288662078,7.301394919521444,9.0,2.0,921.42,-0.028557120036092787,6.25,0.05000000000000071,0.44567599220345455,0.6437090178740023,1.1678416086211465,7.264617370184667,1776484125,,False,1,00146_00253,2026-04-18_04-48-45,76.36364150047302,76.36364150047302,1710300,cnl-brain9,155.198.99.250,76.36364150047302,1,0.1,0.35000000000000003,0.5,00146_00253
