,metric/num_BTSP_events_(moved_0),metric/num_BTSP_positions_(moved_0),metric/first_BTSP_time_(moved_0),metric/first_BTSP_relative_position_(moved_0),metric/max_BTSP_ramp_(moved_0),metric/PC_weight_peak_relative_position_(moved_0),metric/PC_weight_FWHM_(moved_0),metric/PC_weight_ratio_pre_post_(moved_0),metric/num_BTSP_events_(moved_1),metric/num_BTSP_positions_(moved_1),metric/first_BTSP_time_(moved_1),metric/first_BTSP_relative_position_(moved_1),metric/max_BTSP_ramp_(moved_1),metric/PC_weight_peak_relative_position_(moved_1),metric/PC_weight_FWHM_(moved_1),metric/PC_weight_ratio_pre_post_(moved_1),metric/num_BTSP_events_(moved_2),metric/num_BTSP_positions_(moved_2),metric/first_BTSP_time_(moved_2),metric/first_BTSP_relative_position_(moved_2),metric/max_BTSP_ramp_(moved_2),metric/PC_weight_peak_relative_position_(moved_2),metric/PC_weight_FWHM_(moved_2),metric/PC_weight_ratio_pre_post_(moved_2),metric/num_BTSP_events_(moved_3),metric/num_BTSP_positions_(moved_3),metric/first_BTSP_time_(moved_3),metric/first_BTSP_relative_position_(moved_3),metric/max_BTSP_ramp_(moved_3),metric/PC_weight_peak_relative_position_(moved_3),metric/PC_weight_FWHM_(moved_3),metric/PC_weight_ratio_pre_post_(moved_3),metric/num_BTSP_events_(moved_4),metric/num_BTSP_positions_(moved_4),metric/first_BTSP_time_(moved_4),metric/first_BTSP_relative_position_(moved_4),metric/max_BTSP_ramp_(moved_4),metric/PC_weight_peak_relative_position_(moved_4),metric/PC_weight_FWHM_(moved_4),metric/PC_weight_ratio_pre_post_(moved_4),metric/num_BTSP_events_(moved_5),metric/num_BTSP_positions_(moved_5),metric/first_BTSP_time_(moved_5),metric/first_BTSP_relative_position_(moved_5),metric/max_BTSP_ramp_(moved_5),metric/PC_weight_peak_relative_position_(moved_5),metric/PC_weight_FWHM_(moved_5),metric/PC_weight_ratio_pre_post_(moved_5),metric/num_BTSP_events_(moved_6),metric/num_BTSP_positions_(moved_6),metric/first_BTSP_time_(moved_6),metric/first_BTSP_relative_position_(moved_6),metric/max_BTSP_ramp_(moved_6),metric/PC_weight_peak_relative_position_(moved_6),metric/PC_weight_FWHM_(moved_6),metric/PC_weight_ratio_pre_post_(moved_6),metric/num_BTSP_events_(moved_7),metric/num_BTSP_positions_(moved_7),metric/first_BTSP_time_(moved_7),metric/first_BTSP_relative_position_(moved_7),metric/max_BTSP_ramp_(moved_7),metric/PC_weight_peak_relative_position_(moved_7),metric/PC_weight_FWHM_(moved_7),metric/PC_weight_ratio_pre_post_(moved_7),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
10,1.0,1.0,95.55000000000285,0.0021573185712289167,1.0,-0.049999999999998934,0.6635070475957452,1.1674495121701265,1.0,1.0,338.8199999999336,-0.015523211960196015,1.0,0.050000000000001155,0.7163456635810457,1.2598791138442333,1.0,1.0,578.6999999997155,0.0006424636847448539,1.0,0.45000000000000107,0.9827234019423026,1.511556096726525,2.0,2.0,818.9999999994969,0.01146636125388234,1.0,-0.04999999999999938,1.7012257816875507,0.7031724819905025,2.0,1.0,1060.4699999992774,0.00968528478727504,1.0,-0.049999999999999156,2.55904364901691,0.6882888636929613,2.0,2.0,1336.1399999990267,0.016114890930990278,1.0,-0.04999999999999927,0.615871858615533,0.9687596673949425,1.0,1.0,1559.8199999988233,0.0007737431156034091,1.0,-4.85,0.6258236134060866,0.9670159004970506,2.0,1.0,1796.2799999986082,0.01612565770849006,1.0,-0.04999999999999849,1.2962947731031051,2.1178182057795767,1748699695,,False,1,68a36_00010,2025-05-31_14-54-55,177.7422001361847,177.7422001361847,1522309,cnl-brain9,155.198.99.250,177.7422001361847,1,0.12,0.2,1.0,68a36_00010
11,1.0,1.0,55.14000000000133,0.006835743126067495,1.25,-0.049999999999998934,0.7133267365677591,1.103382039794773,1.0,1.0,339.86999999993265,-0.008146662440703611,1.25,0.050000000000001155,0.7711580765863664,1.198866822917772,1.0,1.0,579.8399999997145,-0.004975783000990219,1.0,0.45000000000000107,1.0299709226122866,1.411336345803553,2.0,2.0,820.4399999994956,0.01739684899431193,1.0,-0.04999999999999938,1.7128948143883775,0.6928954063015964,2.0,1.0,1059.4799999992783,0.023304951764661297,1.0,-0.049999999999999156,2.566375957758394,0.6738300695463318,2.0,2.0,1303.2599999990566,0.01595956654107389,1.25,-0.04999999999999927,0.600783761538746,0.9533950468213157,1.0,1.0,1566.3299999988174,-0.000577134656698064,1.25,-4.85,0.6132201056578739,0.9520617675006294,1.0,1.0,1803.8399999986013,0.016114724721854046,1.0,-3.449999999999999,0.6135257426252834,0.9536264555242957,1748699686,,False,1,68a36_00011,2025-05-31_14-54-46,168.03276109695435,168.03276109695435,1522308,cnl-brain9,155.198.99.250,168.03276109695435,1,0.12,0.25,1.0,68a36_00011
12,1.0,1.0,56.340000000001375,0.010449579107123075,1.0,-0.049999999999998934,0.652125794244951,1.1305097919562366,1.0,1.0,338.1299999999342,-0.014209219619156332,1.25,0.050000000000001155,0.6920642576144935,1.2446006840486752,1.0,1.0,578.9399999997153,-0.0033752454533444443,1.25,0.350000000000001,0.9573275505041585,0.953166353973786,2.0,2.0,820.1399999994959,0.012298981179399426,1.25,-0.04999999999999938,1.691820906197555,0.7206354423827344,2.0,1.0,1061.039999999277,0.006495988031766542,1.25,-0.049999999999999156,0.7044905710071203,0.736507394073308,2.0,2.0,1300.739999999059,0.011513633483086316,1.25,-0.04999999999999927,0.6229227917862368,0.9845837537532033,1.0,1.0,1565.4599999988181,0.0034700950076054227,1.25,-4.85,0.6321867858389247,0.9825220514041791,2.0,1.0,1801.3799999986036,0.018495962419913248,1.25,-3.449999999999999,1.3580895933889172,0.9865771495114073,1748699693,,False,1,68a36_00012,2025-05-31_14-54-53,175.30137085914612,175.30137085914612,1522314,cnl-brain9,155.198.99.250,175.30137085914612,1,0.12,0.30000000000000004,1.0,68a36_00012
13,2.0,1.0,55.050000000001326,0.006038788799771488,1.25,-0.049999999999998934,0.6876610526947879,1.1254606040798176,0.0,0.0,,,0.75,0.15000000000000124,0.6755759713230267,1.2008114894513244,1.0,1.0,581.399999999713,0.003208755584544587,1.5,0.5500000000000012,1.0666219187779342,1.3155101754839986,2.0,2.0,823.0499999994933,0.014972952680176732,1.5,-0.04999999999999938,1.8166043748393537,0.7231812170103212,2.0,1.0,1059.839999999278,0.0124118651017191,1.25,1.9500000000000013,2.7123928381474904,1.1950261010465195,2.0,2.0,1300.9499999990587,0.011863306086693282,1.5,-0.04999999999999927,0.6428763774154822,0.9360852577983599,2.0,2.0,1564.7399999988188,0.01641302215443652,1.5,-0.049999999999998934,0.7825993306148256,0.7891250621504619,2.0,1.0,1801.979999998603,0.011019864364060439,1.25,-0.34999999999999876,0.97611477457724,0.5919863680236273,1748699674,,False,1,68a36_00013,2025-05-31_14-54-34,156.71979403495789,156.71979403495789,1522315,cnl-brain9,155.198.99.250,156.71979403495789,1,0.12,0.35000000000000003,1.0,68a36_00013
14,2.0,2.0,54.69000000000131,-0.0010887894581550484,1.5,-0.049999999999998934,0.6524764748854537,1.2938113752682905,1.0,1.0,337.31999999993496,0.005575982230059395,1.0,0.15000000000000124,0.7075589255820467,1.8524159558191138,2.0,1.0,618.0299999996797,-0.009821433299135318,1.75,0.05000000000000071,1.0858657155230915,0.7267309774593923,3.0,2.0,858.1499999994613,0.017956252689063312,1.75,-0.04999999999999938,1.6738810675870504,0.5638688005396952,3.0,1.0,1098.7199999992426,0.015656891488735614,1.5,-0.049999999999999156,2.546225409380141,0.6085309431633533,3.0,2.0,1339.8599999990233,0.007592271538210071,1.5,-0.04999999999999927,0.5568558612213514,0.9375522029977569,2.0,2.0,1600.799999998786,0.014442188959583824,1.75,-4.85,0.5719846995341935,0.9346126440048164,3.0,1.0,1838.5199999985698,0.031153991970826134,1.25,-3.449999999999999,1.3590599012981985,0.9406841776874634,1748699696,,False,1,68a36_00014,2025-05-31_14-54-56,179.0633363723755,179.0633363723755,1522316,cnl-brain9,155.198.99.250,179.0633363723755,1,0.12,0.4,1.0,68a36_00014
15,0.0,0.0,,,0.75,,0.0,,1.0,1.0,376.9799999998989,0.003873480298592469,1.0,-0.049999999999998934,0.6554376842196699,0.9602144861673676,1.0,1.0,577.7699999997163,0.003938187763347312,1.0,0.05000000000000071,0.8633811050137128,0.7793024803123577,1.0,1.0,861.9899999994578,0.005199880959314562,1.0,0.6500000000000008,1.4036050814140153,0.842881655823032,1.0,1.0,1101.71999999924,0.009008736887244462,1.0,1.4500000000000008,1.3954429045106789,0.8110850381027618,1.0,1.0,1301.729999999058,0.007835942721246991,1.0,2.450000000000001,1.5233209460203332,0.8079771941745929,1.0,1.0,1643.9099999987468,0.004489562582653761,1.0,-0.049999999999998934,2.3768215705415416,0.8297107765939171,1.0,1.0,1964.2199999984555,0.015325170927491527,1.0,1.3500000000000014,3.0141570294545708,0.7813753623917494,1748699700,,False,1,68a36_00015,2025-05-31_14-55-00,182.63635349273682,182.63635349273682,1522317,cnl-brain9,155.198.99.250,182.63635349273682,1,0.12,0.2,1.1,68a36_00015
16,1.0,1.0,54.480000000001304,0.016185748882581397,1.0,-0.049999999999998934,0.7230052096455806,1.0987598034821764,1.0,1.0,336.65999999993556,-0.00464717098382339,1.0,0.050000000000001155,0.7590044773392943,1.183968288597176,1.0,1.0,576.0899999997179,0.012637999331028826,1.0,0.350000000000001,0.9844883480303608,0.9972715652010168,2.0,2.0,816.1199999994996,0.009261907057802166,1.0,-0.04999999999999938,1.6686239131690201,0.6577456634949852,2.0,1.0,1058.4299999992793,0.008729518972248274,1.0,-0.049999999999999156,2.532009738409956,0.6985268820224553,2.0,2.0,1295.4899999990637,0.012895174433069534,1.0,-0.04999999999999927,2.5612028406936846,0.9535051851481932,1.0,1.0,1557.989999998825,0.014696048447647492,1.0,-4.85,0.6273155464531053,0.9517635821574734,2.0,1.0,1873.2299999985382,0.00811791637506154,1.0,-0.04999999999999849,1.3300140832631775,1.8931660096258336,1748699695,,False,1,68a36_00016,2025-05-31_14-54-55,177.66202640533447,177.66202640533447,1522318,cnl-brain9,155.198.99.250,177.66202640533447,1,0.12,0.25,1.1,68a36_00016
17,1.0,1.0,54.57000000000131,0.00926211370212604,1.0,-0.049999999999998934,0.7177769987851619,1.1152788670448088,1.0,1.0,339.7799999999327,-0.010701354852054479,1.25,0.050000000000001155,0.7541158824473051,1.2298165624910813,1.0,1.0,580.0799999997142,-0.001436337460573256,1.25,0.350000000000001,0.9702545674152043,1.0607014098164818,2.0,2.0,822.9599999994933,0.0065115325867552976,1.25,-0.04999999999999938,1.6664160996036972,0.6917068759037999,2.0,1.0,1061.7899999992762,0.010622859048609268,1.0,-0.049999999999999156,2.5550620496693908,0.7219729151109616,2.0,1.0,1300.7699999990589,0.013252366719369468,1.25,-0.04999999999999927,2.5691834224022205,0.9608253573223301,1.0,1.0,1561.9199999988214,0.002554513451668683,1.0,-4.85,0.6318981033649078,0.9595475007172571,1.0,1.0,1838.0699999985702,0.01643056502454776,1.0,-3.449999999999999,0.6322538395255342,0.9616914197598236,1748699684,,False,1,68a36_00017,2025-05-31_14-54-44,167.30187058448792,167.30187058448792,1522319,cnl-brain9,155.198.99.250,167.30187058448792,1,0.12,0.30000000000000004,1.1,68a36_00017
18,1.0,1.0,57.72000000000143,0.0027273193915102745,1.25,-0.049999999999998934,0.6721481248796168,1.1612022271731326,1.0,1.0,343.13999999992967,-0.015912810859419313,1.25,0.050000000000001155,0.6953490797637398,1.3300557389875443,1.0,1.0,588.089999999707,-0.0004198767948841997,1.25,0.350000000000001,0.962731024030052,0.9802345000513875,2.0,2.0,829.7099999994872,0.01542394617330567,1.25,-0.04999999999999938,1.6668586412600095,0.6835030931513036,2.0,1.0,1069.4099999992693,0.01641295966983769,1.25,-0.049999999999999156,2.510094922330089,0.6921509550622746,2.0,2.0,1307.4899999990528,0.009024767989060378,1.25,-0.04999999999999927,0.6017933173975923,0.9707277500749164,1.0,1.0,1570.3199999988137,-2.302817940780244e-05,1.25,-4.85,0.612323032670824,0.9687507224603411,2.0,1.0,1806.0599999985993,0.010440675753825346,1.25,-3.449999999999999,2.154636680531243,0.972729409610999,1748699699,,False,1,68a36_00018,2025-05-31_14-54-59,181.5332226753235,181.5332226753235,1522326,cnl-brain9,155.198.99.250,181.5332226753235,1,0.12,0.35000000000000003,1.1,68a36_00018
19,1.0,1.0,54.990000000001324,0.009789027495108904,1.25,-0.049999999999998934,0.6511668196543221,1.1391920384965488,1.0,1.0,337.6199999999347,-0.013899123667980628,1.5,0.050000000000001155,0.6972076096800137,1.2352184098235282,1.0,1.0,578.129999999716,0.002807594643520428,1.5,0.350000000000001,0.9511215232363397,0.9389583130198829,2.0,2.0,816.689999999499,0.006211593033929486,1.25,-0.04999999999999938,1.671321889059663,0.6943916841170258,2.0,1.0,1056.7799999992808,0.010930646950054301,1.5,0.7500000000000007,2.5509530034823666,0.7597807687496837,2.0,2.0,1295.7599999990634,0.008505261232176209,1.25,1.7500000000000007,2.522010524490467,0.6886812266241428,2.0,2.0,1557.899999998825,0.02145505131096126,1.25,-0.049999999999998934,0.8034849717288051,0.7817940998801882,2.0,1.0,1795.7099999986087,0.021979929898304107,1.25,1.3500000000000014,1.2040263031635008,0.6830317084640882,1748699695,,False,1,68a36_00019,2025-05-31_14-54-55,177.17127799987793,177.17127799987793,1522327,cnl-brain9,155.198.99.250,177.17127799987793,1,0.12,0.4,1.1,68a36_00019
