,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
291,1.0,1.0,220.35000000000758,0.0011854770408086246,1.0,-0.049999999999998934,0.3507335309005821,1.3821751486180238,1759202287,,False,1,d7f4a_00291,2025-09-30_04-18-07,16.347233533859253,16.347233533859253,4029889,cnl-brain9,155.198.99.250,16.347233533859253,1,0.15,0.25,1.1,d7f4a_00291
292,1.0,1.0,45.93000000000098,0.003952214397005438,1.25,-0.049999999999998934,0.4248382579129948,1.3035221127276633,1759202287,,False,1,d7f4a_00292,2025-09-30_04-18-07,16.553261041641235,16.553261041641235,4029882,cnl-brain9,155.198.99.250,16.553261041641235,1,0.15,0.30000000000000004,1.1,d7f4a_00292
293,1.0,1.0,46.590000000001005,-0.020229849599910033,1.25,-0.049999999999998934,0.4017390934088301,1.4864119096278297,1759202287,,False,1,d7f4a_00293,2025-09-30_04-18-07,16.222700357437134,16.222700357437134,4029901,cnl-brain9,155.198.99.250,16.222700357437134,1,0.15,0.35000000000000003,1.1,d7f4a_00293
294,2.0,2.0,50.58000000000116,-0.0004227539786549883,1.5,-0.049999999999998934,0.6890269981103243,1.0998985875316387,1759202287,,False,1,d7f4a_00294,2025-09-30_04-18-07,16.364983320236206,16.364983320236206,4029924,cnl-brain9,155.198.99.250,16.364983320236206,1,0.15,0.4,1.1,d7f4a_00294
295,0.0,0.0,,,0.75,,0.0,,1759202287,,False,1,d7f4a_00295,2025-09-30_04-18-07,16.216466903686523,16.216466903686523,4029902,cnl-brain9,155.198.99.250,16.216466903686523,1,0.15,0.2,1.2,d7f4a_00295
296,1.0,1.0,125.730000000004,0.0027680402449683505,1.0,-0.049999999999998934,0.42166602548148857,1.161109468623433,1759202288,,False,1,d7f4a_00296,2025-09-30_04-18-08,16.938782215118408,16.938782215118408,4029898,cnl-brain9,155.198.99.250,16.938782215118408,1,0.15,0.25,1.2,d7f4a_00296
297,1.0,1.0,80.7600000000023,0.010383255548836345,1.0,-0.049999999999998934,0.4551246953231902,1.3896800339393889,1759202288,,False,1,d7f4a_00297,2025-09-30_04-18-08,16.31123971939087,16.31123971939087,4029922,cnl-brain9,155.198.99.250,16.31123971939087,1,0.15,0.30000000000000004,1.2,d7f4a_00297
298,1.0,1.0,82.02000000000234,-0.011984594186282838,1.25,-0.049999999999998934,0.3744180179205814,1.4891771215495917,1759202288,,False,1,d7f4a_00298,2025-09-30_04-18-08,16.15012001991272,16.15012001991272,4029903,cnl-brain9,155.198.99.250,16.15012001991272,1,0.15,0.35000000000000003,1.2,d7f4a_00298
299,2.0,1.0,44.67000000000093,0.04451181273716465,1.0,0.05000000000000071,0.7661141078168039,1.0639997222455768,1759202288,,False,1,d7f4a_00299,2025-09-30_04-18-08,15.88174843788147,15.88174843788147,4029904,cnl-brain9,155.198.99.250,15.88174843788147,1,0.15,0.4,1.2,d7f4a_00299
300,1.0,1.0,47.31000000000103,0.0025828204448643532,1.25,-0.049999999999998934,0.3576071379024732,1.142210158871858,1759202297,,False,1,d7f4a_00300,2025-09-30_04-18-17,15.704332113265991,15.704332113265991,4029891,cnl-brain9,155.198.99.250,15.704332113265991,1,0.18,0.2,0.8,d7f4a_00300
301,2.0,2.0,44.37000000000092,-0.003308668506454282,1.5,-0.049999999999998934,0.637851124068201,1.290390177445154,1759202298,,False,1,d7f4a_00301,2025-09-30_04-18-18,16.381262063980103,16.381262063980103,4029876,cnl-brain9,155.198.99.250,16.381262063980103,1,0.18,0.25,0.8,d7f4a_00301
302,3.0,1.0,44.85000000000094,0.04780904114156881,1.0,0.05000000000000071,0.894231139519087,1.1190534167089343,1759202298,,False,1,d7f4a_00302,2025-09-30_04-18-18,15.972594022750854,15.972594022750854,4029925,cnl-brain9,155.198.99.250,15.972594022750854,1,0.18,0.30000000000000004,0.8,d7f4a_00302
303,2.0,1.0,48.690000000001085,0.015319859321917484,1.5,0.05000000000000071,0.611875109913179,1.3902519714107877,1759202297,,False,1,d7f4a_00303,2025-09-30_04-18-17,14.874138116836548,14.874138116836548,4029893,cnl-brain9,155.198.99.250,14.874138116836548,1,0.18,0.35000000000000003,0.8,d7f4a_00303
304,4.0,2.0,77.91000000000219,-0.018949412303900903,2.0,-0.049999999999998934,0.5500865401279427,1.332669026552931,1759202298,,False,1,d7f4a_00304,2025-09-30_04-18-18,15.663787364959717,15.663787364959717,4029888,cnl-brain9,155.198.99.250,15.663787364959717,1,0.18,0.4,0.8,d7f4a_00304
