,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
32,1,1,92.70000000000275,1.25,1.303754893270187,0.019382889864169695,0.046875,1705546056,,False,1,e826f_00032,2024-01-18_02-47-36,9.176419258117676,9.176419258117676,33721,cnl-brain10,155.198.100.139,9.176419258117676,1,0.4,250.0,4.5,e826f_00032
33,1,1,91.95000000000272,1.25,0.7829293521107789,0.045247622095843765,0.140625,1705546056,,False,1,e826f_00033,2024-01-18_02-47-36,9.26040768623352,9.26040768623352,33720,cnl-brain10,155.198.100.139,9.26040768623352,1,0.45,250.0,4.5,e826f_00033
34,1,1,92.07000000000272,1.5,0.8751793708190222,0.06128972580176617,0.140625,1705546056,,False,1,e826f_00034,2024-01-18_02-47-36,9.413901329040527,9.413901329040527,33719,cnl-brain10,155.198.100.139,9.413901329040527,1,0.5,250.0,4.5,e826f_00034
35,0,0,,0.0,,,,1705546056,,False,1,e826f_00035,2024-01-18_02-47-36,9.104655027389526,9.104655027389526,33725,cnl-brain10,155.198.100.139,9.104655027389526,1,0.3,250.0,4.0,e826f_00035
36,0,0,,0.0,,,,1705546056,,False,1,e826f_00036,2024-01-18_02-47-36,9.271003723144531,9.271003723144531,33724,cnl-brain10,155.198.100.139,9.271003723144531,1,0.35,250.0,4.0,e826f_00036
37,1,1,95.82000000000286,1.5,1.302693383871947,0.028031732687631594,0.046875,1705546056,,False,1,e826f_00037,2024-01-18_02-47-36,9.048033475875854,9.048033475875854,33723,cnl-brain10,155.198.100.139,9.048033475875854,1,0.4,250.0,4.0,e826f_00037
38,1,1,92.67000000000274,1.5,1.4853311423881461,0.04687164326328741,0.046875,1705546057,,False,1,e826f_00038,2024-01-18_02-47-37,9.371131181716919,9.371131181716919,33722,cnl-brain10,155.198.100.139,9.371131181716919,1,0.45,250.0,4.0,e826f_00038
39,1,1,92.31000000000273,1.5,0.8604708673661196,0.06067281319578477,0.140625,1705546056,,False,1,e826f_00039,2024-01-18_02-47-36,8.824136018753052,8.824136018753052,33728,cnl-brain10,155.198.100.139,8.824136018753052,1,0.5,250.0,4.0,e826f_00039
40,0,0,,0.0,,,,1705546056,,False,1,e826f_00040,2024-01-18_02-47-36,8.876709699630737,8.876709699630737,33727,cnl-brain10,155.198.100.139,8.876709699630737,1,0.3,250.0,3.5,e826f_00040
41,0,0,,0.0,,,,1705546056,,False,1,e826f_00041,2024-01-18_02-47-36,9.246983766555786,9.246983766555786,33726,cnl-brain10,155.198.100.139,9.246983766555786,1,0.35,250.0,3.5,e826f_00041
