,metric/num_BTSP_events_(moved_0),metric/num_BTSP_events_(moved_1),metric/num_BTSP_events_(moved_2),metric/num_BTSP_events_(moved_3),metric/num_BTSP_events_(moved_4),metric/num_BTSP_events_(moved_5),metric/num_BTSP_events_(moved_6),metric/num_BTSP_events_(moved_7),metric/num_BTSP_positions_(moved_0),metric/num_BTSP_positions_(moved_1),metric/num_BTSP_positions_(moved_2),metric/num_BTSP_positions_(moved_3),metric/num_BTSP_positions_(moved_4),metric/num_BTSP_positions_(moved_5),metric/num_BTSP_positions_(moved_6),metric/num_BTSP_positions_(moved_7),metric/first_BTSP_time_(moved_0),metric/first_BTSP_time_(moved_1),metric/first_BTSP_time_(moved_2),metric/first_BTSP_time_(moved_3),metric/first_BTSP_time_(moved_4),metric/first_BTSP_time_(moved_5),metric/first_BTSP_time_(moved_6),metric/first_BTSP_time_(moved_7),metric/max_BTSP_ramp_(moved_0),metric/max_BTSP_ramp_(moved_1),metric/max_BTSP_ramp_(moved_2),metric/max_BTSP_ramp_(moved_3),metric/max_BTSP_ramp_(moved_4),metric/max_BTSP_ramp_(moved_5),metric/max_BTSP_ramp_(moved_6),metric/max_BTSP_ramp_(moved_7),metric/PC_weight_ratio_pre_post_(moved_0),metric/PC_weight_ratio_pre_post_(moved_1),metric/PC_weight_ratio_pre_post_(moved_2),metric/PC_weight_ratio_pre_post_(moved_3),metric/PC_weight_ratio_pre_post_(moved_4),metric/PC_weight_ratio_pre_post_(moved_5),metric/PC_weight_ratio_pre_post_(moved_6),metric/PC_weight_ratio_pre_post_(moved_7),metric/first_BTSP_relative_position_(moved_0),metric/first_BTSP_relative_position_(moved_1),metric/first_BTSP_relative_position_(moved_2),metric/first_BTSP_relative_position_(moved_3),metric/first_BTSP_relative_position_(moved_4),metric/first_BTSP_relative_position_(moved_5),metric/first_BTSP_relative_position_(moved_6),metric/first_BTSP_relative_position_(moved_7),metric/PC_weight_peak_relative_position_(moved_0),metric/PC_weight_peak_relative_position_(moved_1),metric/PC_weight_peak_relative_position_(moved_2),metric/PC_weight_peak_relative_position_(moved_3),metric/PC_weight_peak_relative_position_(moved_4),metric/PC_weight_peak_relative_position_(moved_5),metric/PC_weight_peak_relative_position_(moved_6),metric/PC_weight_peak_relative_position_(moved_7),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,1747058439,,False,1,125a3_00010,2025-05-12_15-00-39,173.1821231842041,173.1821231842041,40214,cnl-brain9,155.198.99.250,173.1821231842041,1,0.12,0.2,1.3,125a3_00010
11,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,,,663.7499999996381,846.2999999994721,,1368.2999999989975,,,0.75,0.75,1.0,1.0,0.75,1.0,0.75,0.75,,,0.9318448601891067,1.2899237539163837,1.2899237539163837,1.3216537750800401,1.3216537750800401,1.3216537750800401,,,-0.010344455224963855,-0.011032721107234522,,-0.023710180540364778,,,,,0.04999999999999938,-0.1500000000000008,-0.35000000000000053,-0.5500000000000007,-0.7500000000000009,-0.9500000000000011,1747058446,,False,1,125a3_00011,2025-05-12_15-00-46,180.15440845489502,180.15440845489502,40215,cnl-brain9,155.198.99.250,180.15440845489502,1,0.12,0.25,1.3,125a3_00011
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,258.30000000000683,321.6599999999492,656.9099999996444,972.5999999993572,1146.599999999199,1390.919999998977,1605.9899999987813,1895.399999998518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.9519982889474647,0.9246563361711554,1.1155887433389517,0.9133147651193538,1.0255600218851464,1.0269294289403184,0.94925024298417,-0.03295813871840103,-0.02212224353130221,-0.026747205573306676,-0.006926064095114981,-0.027064655524615677,-0.005462960605914002,0.010943286823621001,-0.02098702271184605,,-0.050000000000001155,-0.1500000000000008,-0.350000000000001,-0.25000000000000044,-0.4500000000000006,-0.6500000000000008,-0.2500000000000009,1747058435,,False,1,125a3_00012,2025-05-12_15-00-35,169.0522165298462,169.0522165298462,40216,cnl-brain9,155.198.99.250,169.0522165298462,1,0.12,0.30000000000000004,1.3,125a3_00012
13,1,1,1,2,0,1,1,1,1,1,1,1,0,1,1,1,47.97000000000106,329.2799999999423,583.1399999997114,829.8299999994871,,1381.019999998986,1577.639999998807,1855.6199999985542,1.0,1.25,1.0,1.0,0.75,1.25,1.25,1.25,0.9610565947838459,0.9401842915242314,1.0559908292419058,1.2447346074679833,1.2447346074679833,1.2561684721494186,1.2720288552420076,1.2803471015293317,-0.02097410049062498,0.00804724437339921,-0.03889129638137856,-0.021455858802541083,,-0.014843432498523601,-0.008856477142883623,-0.009300463793356695,0.049999999999998934,-0.050000000000001155,-0.2500000000000009,-0.45000000000000107,-0.6500000000000008,-0.850000000000001,-1.0500000000000012,-1.2500000000000013,1747058428,,False,1,125a3_00013,2025-05-12_15-00-28,162.88657212257385,162.88657212257385,40217,cnl-brain9,155.198.99.250,162.88657212257385,1,0.12,0.35000000000000003,1.3,125a3_00013
14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50.97000000000117,334.16999999993783,643.0799999996569,881.1599999994404,1195.4099999991547,1408.319999998961,1803.8099999986014,1915.5899999984997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8324124708260192,0.8747184051973508,1.0669762767377657,0.9916216828014065,1.0721096578738618,1.1217680210661372,1.1217680210661372,1.0637587345203188,-0.05266384308067895,-0.040696446658982754,-0.036469434709095694,-0.019455566974411198,-0.036413189253725164,-0.02048698841317531,-0.03466142436057229,-0.013124336158926386,0.14999999999999902,-0.050000000000001155,-0.2500000000000009,-0.350000000000001,-0.5500000000000007,-0.7500000000000009,-0.9500000000000011,-0.5500000000000012,1747058443,,False,1,125a3_00014,2025-05-12_15-00-43,177.89189743995667,177.89189743995667,40218,cnl-brain9,155.198.99.250,177.89189743995667,1,0.12,0.4,1.3,125a3_00014
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,1747058430,,False,1,125a3_00015,2025-05-12_15-00-30,164.65398693084717,164.65398693084717,40219,cnl-brain9,155.198.99.250,164.65398693084717,1,0.12,0.2,1.4,125a3_00015
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,1747058424,,False,1,125a3_00016,2025-05-12_15-00-24,158.06423377990723,158.06423377990723,40220,cnl-brain9,155.198.99.250,158.06423377990723,1,0.12,0.25,1.4,125a3_00016
17,0,0,0,2,0,1,1,1,0,0,0,1,0,1,1,1,,,,819.3899999994966,,1351.9499999990123,1632.4499999987572,1904.4599999985098,0.75,0.75,0.75,1.0,0.0,1.0,1.0,1.0,,,,0.9690893830503499,1.032713470959494,0.9744139263742568,1.0990272343746814,0.9903042433506388,,,,-0.01708292794832955,,0.008244037065540777,-0.013027541832199674,0.0019514535636004915,,,,0.04999999999999938,-0.15000000000000036,-0.1500000000000008,-0.350000000000001,-0.350000000000001,1747058448,,False,1,125a3_00017,2025-05-12_15-00-48,181.47887301445007,181.47887301445007,40221,cnl-brain9,155.198.99.250,181.47887301445007,1,0.12,0.30000000000000004,1.4,125a3_00017
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,188.13000000000636,330.50999999994116,612.8999999996844,961.4399999993674,1092.0599999992487,1371.4499999989946,1647.2699999987437,1860.8099999985495,1.0,1.25,1.0,1.0,1.0,1.25,1.0,1.25,1.0214067863120038,1.3131260201746238,1.0629036152273643,1.228141389604158,0.8917117484106387,1.0027232291058787,1.0328025243001921,0.942210807513283,0.007476654752653911,-0.0020379799543910337,-0.005488221610621569,-0.01902738527106962,-0.016516548601158476,0.008579588456084863,-0.0046458031558573865,0.0008654450418386084,0.049999999999998934,-0.15000000000000124,-0.2500000000000009,-0.45000000000000107,-0.25000000000000044,-0.4500000000000006,-0.6500000000000008,-0.2500000000000009,1747058439,,False,1,125a3_00018,2025-05-12_15-00-39,173.26904702186584,173.26904702186584,40222,cnl-brain9,155.198.99.250,173.26904702186584,1,0.12,0.35000000000000003,1.4,125a3_00018
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83.37000000000239,342.62999999993013,596.2199999996996,912.1199999994122,1250.2499999991048,1427.069999998944,1633.3199999987564,1906.8299999985077,1.25,1.0,1.0,1.0,1.0,1.25,1.25,1.0,1.057592470648483,0.9332438107390012,1.2104935163234,1.0271248482174877,1.0838564342834922,1.1643718170281445,1.0485412541859374,0.9668510356673997,-0.009984860299003362,-0.011838165807391832,-0.020378206329623616,-0.02218480746903051,-0.02027496093142167,0.009029353077345093,-0.006520720309406869,0.002818389351638917,0.049999999999998934,-0.050000000000001155,-0.2500000000000009,-0.350000000000001,-0.5500000000000007,-0.7500000000000009,-0.850000000000001,-0.2500000000000009,1747058430,,False,1,125a3_00019,2025-05-12_15-00-30,163.99787759780884,163.99787759780884,40223,cnl-brain9,155.198.99.250,163.99787759780884,1,0.12,0.4,1.4,125a3_00019
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,1747058430,,False,1,125a3_00020,2025-05-12_15-00-30,163.76329493522644,163.76329493522644,40224,cnl-brain9,155.198.99.250,163.76329493522644,1,0.12,0.2,1.5,125a3_00020
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,1747058443,,False,1,125a3_00021,2025-05-12_15-00-43,177.35534930229187,177.35534930229187,40225,cnl-brain9,155.198.99.250,177.35534930229187,1,0.12,0.25,1.5,125a3_00021
22,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,49.1100000000011,425.42999999985483,,842.6999999994754,1118.9699999992242,1341.1799999990221,1580.039999998805,1904.9699999985094,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999465272265806,0.9733289665757533,0.9733289665757533,1.178907679614106,0.9455501877373161,1.1101811701322621,0.7766170000241986,1.1125879831964784,-0.0019115889116405604,-0.009172672723683384,,-0.014717286361606963,-0.003594920889379516,0.00637045818322024,-0.0032707119232937565,0.00879468896753055,0.049999999999998934,-0.050000000000001155,-0.2500000000000009,-0.45000000000000107,-0.15000000000000036,-0.2500000000000009,-0.1500000000000008,-0.6500000000000012,1747058424,,False,1,125a3_00022,2025-05-12_15-00-24,158.5207097530365,158.5207097530365,40226,cnl-brain9,155.198.99.250,158.5207097530365,1,0.12,0.30000000000000004,1.5,125a3_00022
23,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,260.1900000000051,345.26999999992773,689.129999999615,,1172.2799999991757,1372.139999998994,1655.5799999987362,1861.409999998549,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,,1.1443129995908476,0.9466323477881489,0.9466323477881489,0.9885464168634168,0.8944370943768665,1.0757366247476359,1.2126264461461314,-0.027064336763142016,-0.027580580824242862,0.014155008573867534,,-0.026842598169868115,-0.004731393256615757,-0.0053180905494123465,-0.005269256397524735,,-0.15000000000000124,-0.05000000000000071,-0.2500000000000009,-0.35000000000000053,-0.05000000000000071,-0.2500000000000009,-0.45000000000000107,1747058440,,False,1,125a3_00023,2025-05-12_15-00-40,174.11176776885986,174.11176776885986,40227,cnl-brain9,155.198.99.250,174.11176776885986,1,0.12,0.35000000000000003,1.5,125a3_00023
24,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,81.93000000000234,323.8499999999472,728.5799999995792,946.2299999993812,,1392.5099999989754,1683.8099999987105,1896.7199999985169,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.7926014426411613,0.8555013282070968,1.0124848704342935,1.1016952526911938,1.1016952526911938,0.9356637134307548,0.9306656243608968,0.996688943468961,-0.02121482004123898,-0.02839598135821575,-0.024936915233008783,-0.04104434602217211,,-0.021379279373986204,-0.02432869495355483,-0.02136797126966794,0.14999999999999902,-0.050000000000001155,-0.2500000000000009,-0.45000000000000107,-0.6500000000000008,-0.7500000000000009,-0.1500000000000008,-0.2500000000000009,1747058441,,False,1,125a3_00024,2025-05-12_15-00-41,175.35292172431946,175.35292172431946,40228,cnl-brain9,155.198.99.250,175.35292172431946,1,0.12,0.4,1.5,125a3_00024
25,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,49.0200000000011,449.399999999833,648.4199999996521,,1108.9199999992334,1321.1999999990403,1600.0199999987867,1822.5899999985843,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0028116892649312,0.9006142021786144,0.9240652433868327,0.9240652433868327,1.1786410718690115,0.9522855894077743,0.991098711076312,1.0924045268765292,-0.02169007178810345,-0.023765278269338275,-0.001292251042455117,,-0.018402059934379267,-0.02977134604144327,0.006834784050702147,-0.02522405138573669,0.049999999999998934,-0.050000000000001155,-0.05000000000000071,-0.2500000000000009,-0.4500000000000006,-0.4500000000000006,-0.2500000000000009,-0.45000000000000107,1747058444,,False,1,125a3_00025,2025-05-12_15-00-44,177.9209623336792,177.9209623336792,40229,cnl-brain9,155.198.99.250,177.9209623336792,1,0.13,0.2,1.1,125a3_00025
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118.98000000000374,332.27999999993955,621.9899999996761,835.9199999994815,1109.5199999992328,1341.5699999990218,1778.4299999986245,1845.3599999985636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9884526419702755,1.502551929709317,0.8244921584325646,0.9600883742986307,1.0854581588485108,1.0785250649778355,1.0785250649778355,1.0244298217162262,0.000513112424049833,-0.02499571037533821,0.018064261290128503,-0.027365840174277345,-0.012612515788879897,-0.022212153133609913,-0.012342459612187273,-0.06197000334484715,0.049999999999998934,-0.15000000000000124,-0.05000000000000071,-0.2500000000000009,-0.4500000000000006,-0.5500000000000007,-0.7500000000000009,-0.45000000000000107,1747058463,,False,1,125a3_00026,2025-05-12_15-01-03,197.62420916557312,197.62420916557312,40230,cnl-brain9,155.198.99.250,197.62420916557312,1,0.13,0.25,1.1,125a3_00026
27,2,1,1,0,1,1,5,6,1,1,1,0,1,1,2,2,80.49000000000228,427.0199999998534,674.1599999996287,,1096.4999999992447,1348.4099999990156,1590.869999998795,1838.9099999985694,1.0,1.0,1.0,0.0,1.25,1.0,12.25,34.5,1.0141055980596685,1.3310858711617932,0.9218770367277606,0.9218770367277606,0.9765991247386381,0.9469344583720232,1.046531380729389,0.9300500434636579,-0.03723209845443076,-0.01113785987032756,-0.03521961371574678,,-0.0054567954075448455,0.006492487062411456,-0.038597507618124194,-0.04181884580483031,0.049999999999998934,-0.15000000000000124,-0.2500000000000009,-0.45000000000000107,-0.6500000000000008,-0.850000000000001,-0.1500000000000008,-0.050000000000001155,1747058426,,False,1,125a3_00027,2025-05-12_15-00-26,160.48491764068604,160.48491764068604,40231,cnl-brain9,155.198.99.250,160.48491764068604,1,0.13,0.30000000000000004,1.1,125a3_00027
28,2,1,0,1,1,2,1,0,2,1,0,1,1,1,1,0,75.15000000000208,471.05999999981333,,815.6399999995,1212.8999999991388,1339.2599999990239,1587.539999998798,,1.25,1.0,0.75,1.0,1.0,1.5,1.25,0.75,0.9549032736390509,0.9736862836077398,0.9736862836077398,1.067601208757938,1.1312992723767799,1.2969967452968543,0.9616430665137675,0.9616430665137675,-0.03342549609468293,-0.043681240613350436,,-0.04043420064346659,-0.01664174101214977,0.0008868406399265005,-0.004006308151296878,,0.049999999999998934,-0.15000000000000124,-0.350000000000001,-0.5500000000000012,-0.25000000000000044,-0.4500000000000006,-0.2500000000000009,-0.45000000000000107,1747058441,,False,1,125a3_00028,2025-05-12_15-00-41,175.55504059791565,175.55504059791565,40232,cnl-brain9,155.198.99.250,175.55504059791565,1,0.13,0.35000000000000003,1.1,125a3_00028
