,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr_fact,config/inhibit_weight,config/soma_regularization_alpha,logdir
28,5,2,10.079999999999977,1.5,0.6874368997640846,-0.05512606318616442,0.359375,1704997846,,False,1,85ac0_00028,2024-01-11_18-30-46,1.7001683712005615,1.7001683712005615,76815,cnl-brain10,155.198.100.139,1.7001683712005615,1,100.0,3.25,0.8500000000000001,85ac0_00028
29,5,2,10.199999999999974,1.75,0.7532198871595855,-0.05739454314014525,0.359375,1704997846,,False,1,85ac0_00029,2024-01-11_18-30-46,1.6939027309417725,1.6939027309417725,76814,cnl-brain10,155.198.100.139,1.6939027309417725,1,100.0,3.5,0.8500000000000001,85ac0_00029
30,5,1,10.109999999999976,2.0,0.7525993597232906,-0.026901929851146145,0.359375,1704997846,,False,1,85ac0_00030,2024-01-11_18-30-46,1.690352201461792,1.690352201461792,76813,cnl-brain10,155.198.100.139,1.690352201461792,1,125.0,2.5,0.8500000000000001,85ac0_00030
31,5,2,9.869999999999981,2.0,0.7101646849562804,-0.05060936664822957,0.359375,1704997846,,False,1,85ac0_00031,2024-01-11_18-30-46,1.6569185256958008,1.6569185256958008,76818,cnl-brain10,155.198.100.139,1.6569185256958008,1,125.0,2.75,0.8500000000000001,85ac0_00031
32,5,1,9.779999999999983,1.75,0.7181920817140596,-0.04887987748985534,0.359375,1704997845,,False,1,85ac0_00032,2024-01-11_18-30-45,1.7087616920471191,1.7087616920471191,76817,cnl-brain10,155.198.100.139,1.7087616920471191,1,125.0,3.0,0.8500000000000001,85ac0_00032
33,5,1,9.659999999999986,1.75,0.7040669129894894,-0.0405683762482294,0.359375,1704997846,,False,1,85ac0_00033,2024-01-11_18-30-46,1.764474630355835,1.764474630355835,77064,cnl-brain10,155.198.100.139,1.764474630355835,1,125.0,3.25,0.8500000000000001,85ac0_00033
34,5,2,10.049999999999978,1.5,0.7027909380240117,-0.07381787230678227,0.359375,1704997846,,False,1,85ac0_00034,2024-01-11_18-30-46,1.6795804500579834,1.6795804500579834,77063,cnl-brain10,155.198.100.139,1.6795804500579834,1,125.0,3.5,0.8500000000000001,85ac0_00034
35,5,1,10.259999999999973,2.0,0.7582021292679367,-0.04937163584250304,0.359375,1704997846,,False,1,85ac0_00035,2024-01-11_18-30-46,1.7279431819915771,1.7279431819915771,77061,cnl-brain10,155.198.100.139,1.7279431819915771,1,150.0,2.5,0.8500000000000001,85ac0_00035
36,5,1,9.569999999999988,2.0,0.7001896149967949,-0.04506226258332091,0.359375,1704997846,,False,1,85ac0_00036,2024-01-11_18-30-46,1.6352248191833496,1.6352248191833496,77062,cnl-brain10,155.198.100.139,1.6352248191833496,1,150.0,2.75,0.8500000000000001,85ac0_00036
37,5,2,10.169999999999975,1.75,0.7286303466559655,-0.043542060871179844,0.359375,1704997846,,False,1,85ac0_00037,2024-01-11_18-30-46,1.453864336013794,1.453864336013794,77068,cnl-brain10,155.198.100.139,1.453864336013794,1,150.0,3.0,0.8500000000000001,85ac0_00037
